Text:  I ARRIVE REFRESHED RELAXED AND READY TO DO BUSINESS AND BY THE WAY THIS JOURNEY TOOK JUST OVER {NS} WHEREAS IN 2015 IT TOOK ME NEARLY 7 HOURS 
Conf:  1
Ref:   0LxPAY9yis8

FRAME 	X 	Y 	W 	H 
023646 	0.420 	0.181 	0.121 	0.308 
023647 	0.420 	0.178 	0.118 	0.307 
023648 	0.418 	0.171 	0.122 	0.315 
023649 	0.418 	0.171 	0.122 	0.315 
023650 	0.418 	0.166 	0.121 	0.315 
023651 	0.414 	0.157 	0.124 	0.321 
023652 	0.409 	0.155 	0.130 	0.323 
023653 	0.405 	0.149 	0.130 	0.330 
023654 	0.406 	0.154 	0.128 	0.327 
023655 	0.406 	0.154 	0.129 	0.325 
023656 	0.407 	0.153 	0.126 	0.329 
023657 	0.406 	0.157 	0.126 	0.329 
023658 	0.407 	0.156 	0.126 	0.332 
023659 	0.405 	0.155 	0.128 	0.331 
023660 	0.406 	0.158 	0.125 	0.329 
023661 	0.406 	0.157 	0.125 	0.330 
023662 	0.405 	0.159 	0.126 	0.319 
023663 	0.405 	0.160 	0.127 	0.314 
023664 	0.406 	0.163 	0.127 	0.314 
023665 	0.406 	0.163 	0.128 	0.314 
023666 	0.406 	0.162 	0.127 	0.315 
023667 	0.405 	0.163 	0.128 	0.313 
023668 	0.406 	0.160 	0.127 	0.313 
023669 	0.406 	0.160 	0.128 	0.314 
023670 	0.406 	0.164 	0.129 	0.311 
023671 	0.406 	0.161 	0.129 	0.315 
023672 	0.407 	0.160 	0.126 	0.314 
023673 	0.407 	0.160 	0.126 	0.314 
023674 	0.409 	0.159 	0.125 	0.316 
023675 	0.410 	0.159 	0.123 	0.319 
023676 	0.410 	0.158 	0.122 	0.318 
023677 	0.410 	0.155 	0.123 	0.325 
023678 	0.410 	0.154 	0.125 	0.326 
023679 	0.410 	0.155 	0.126 	0.324 
023680 	0.410 	0.154 	0.127 	0.323 
023681 	0.411 	0.152 	0.126 	0.325 
023682 	0.413 	0.153 	0.124 	0.323 
023683 	0.412 	0.152 	0.127 	0.322 
023684 	0.410 	0.152 	0.130 	0.318 
023685 	0.411 	0.152 	0.128 	0.320 
023686 	0.411 	0.153 	0.129 	0.319 
023687 	0.412 	0.154 	0.127 	0.321 
023688 	0.412 	0.151 	0.127 	0.332 
023689 	0.412 	0.150 	0.128 	0.335 
023690 	0.412 	0.152 	0.126 	0.330 
023691 	0.412 	0.154 	0.125 	0.327 
023692 	0.412 	0.157 	0.125 	0.323 
023693 	0.412 	0.155 	0.125 	0.328 
023694 	0.412 	0.154 	0.125 	0.328 
023695 	0.414 	0.153 	0.124 	0.328 
023696 	0.415 	0.152 	0.125 	0.328 
023697 	0.415 	0.152 	0.125 	0.328 
023698 	0.415 	0.151 	0.126 	0.323 
023699 	0.414 	0.152 	0.127 	0.321 
023700 	0.413 	0.151 	0.129 	0.324 
023701 	0.417 	0.149 	0.125 	0.327 
023702 	0.418 	0.147 	0.125 	0.324 
023703 	0.420 	0.146 	0.124 	0.328 
023704 	0.421 	0.146 	0.124 	0.332 
023705 	0.420 	0.144 	0.127 	0.336 
