Text:  ACHIEVE THESE SEAMLESS KINDS OF TRANSPORTATION IN THE FUTURE NOW OBVIOUSLY I'VE ONLY BEEN ABLE TO TOUCH THE TIP OF THE ICEBERG IN EXPLAINING THIS PROCESS TO YOU BECAUSE OF TIME BUT I DO BELIEVE THAT THIS CRUCIAL MISSING PIECE IS THE SOLUTION TO OUR SEAMLESS TRANSPORTATION AND REMAPPING FOR THE FUTURE AND I REALLY APPRECIATE YOU LISTENING TO ME THANK YOU SO MUCH 
Conf:  1
Ref:   0LxPAY9yis8

FRAME 	X 	Y 	W 	H 
024239 	0.408 	0.146 	0.127 	0.333 
024240 	0.410 	0.151 	0.124 	0.324 
024241 	0.409 	0.151 	0.126 	0.324 
024242 	0.411 	0.148 	0.123 	0.324 
024243 	0.409 	0.149 	0.124 	0.327 
024244 	0.411 	0.151 	0.122 	0.323 
024245 	0.413 	0.153 	0.122 	0.321 
024246 	0.411 	0.152 	0.122 	0.324 
024247 	0.409 	0.156 	0.124 	0.324 
024248 	0.410 	0.154 	0.123 	0.325 
024249 	0.411 	0.155 	0.122 	0.323 
024250 	0.410 	0.154 	0.123 	0.324 
024251 	0.410 	0.156 	0.122 	0.324 
024252 	0.411 	0.155 	0.120 	0.323 
024253 	0.410 	0.154 	0.123 	0.324 
024254 	0.408 	0.154 	0.125 	0.317 
024255 	0.408 	0.154 	0.124 	0.316 
024256 	0.406 	0.157 	0.127 	0.314 
024257 	0.408 	0.156 	0.124 	0.313 
024258 	0.409 	0.155 	0.124 	0.318 
024259 	0.409 	0.155 	0.124 	0.318 
024260 	0.410 	0.154 	0.123 	0.319 
024261 	0.411 	0.155 	0.121 	0.319 
024262 	0.412 	0.156 	0.121 	0.315 
024263 	0.411 	0.155 	0.122 	0.318 
024264 	0.413 	0.155 	0.120 	0.318 
024265 	0.412 	0.154 	0.121 	0.318 
024266 	0.412 	0.154 	0.121 	0.318 
024267 	0.413 	0.153 	0.121 	0.320 
024268 	0.413 	0.155 	0.121 	0.318 
024269 	0.412 	0.152 	0.124 	0.317 
024270 	0.413 	0.153 	0.123 	0.312 
024271 	0.414 	0.152 	0.122 	0.317 
024272 	0.416 	0.153 	0.121 	0.317 
024273 	0.416 	0.153 	0.123 	0.318 
024274 	0.418 	0.153 	0.122 	0.320 
024275 	0.416 	0.156 	0.125 	0.315 
024276 	0.418 	0.156 	0.121 	0.319 
024277 	0.417 	0.152 	0.123 	0.327 
024278 	0.419 	0.152 	0.121 	0.328 
024279 	0.418 	0.154 	0.123 	0.325 
024280 	0.418 	0.151 	0.123 	0.329 
024281 	0.418 	0.151 	0.125 	0.327 
024282 	0.419 	0.149 	0.123 	0.330 
024283 	0.419 	0.149 	0.123 	0.330 
024284 	0.419 	0.149 	0.122 	0.329 
024285 	0.419 	0.149 	0.122 	0.329 
024286 	0.418 	0.152 	0.124 	0.323 
024287 	0.416 	0.154 	0.127 	0.319 
