Text:  EACH OF US HAS A DREAM WHEN WE COME HERE A DREAM THAT USUALLY HAS TO BE REWRITTEN AND ALWAYS HAS TO BE REPURPOSED 
Conf:  1
Ref:   0d6iSvF1UmA

FRAME 	X 	Y 	W 	H 
000710 	0.603 	0.141 	0.173 	0.456 
000711 	0.601 	0.138 	0.171 	0.460 
000712 	0.601 	0.137 	0.171 	0.460 
000713 	0.600 	0.138 	0.172 	0.455 
000714 	0.599 	0.136 	0.169 	0.452 
000715 	0.599 	0.136 	0.169 	0.452 
000716 	0.599 	0.138 	0.170 	0.450 
000717 	0.597 	0.138 	0.171 	0.454 
000718 	0.597 	0.137 	0.171 	0.453 
000719 	0.596 	0.136 	0.176 	0.449 
000720 	0.596 	0.135 	0.175 	0.448 
000721 	0.597 	0.141 	0.175 	0.451 
000722 	0.597 	0.139 	0.174 	0.447 
000723 	0.598 	0.143 	0.174 	0.443 
000724 	0.598 	0.143 	0.174 	0.446 
000725 	0.598 	0.145 	0.174 	0.443 
000726 	0.600 	0.143 	0.174 	0.443 
000727 	0.600 	0.143 	0.174 	0.441 
000728 	0.600 	0.143 	0.173 	0.441 
000729 	0.601 	0.143 	0.174 	0.442 
000730 	0.600 	0.142 	0.174 	0.442 
000731 	0.601 	0.143 	0.175 	0.443 
000732 	0.602 	0.143 	0.173 	0.446 
000733 	0.601 	0.143 	0.173 	0.453 
000734 	0.603 	0.141 	0.172 	0.460 
000735 	0.602 	0.140 	0.172 	0.461 
000736 	0.601 	0.141 	0.172 	0.458 
000737 	0.600 	0.144 	0.174 	0.448 
000738 	0.602 	0.145 	0.174 	0.445 
000739 	0.601 	0.146 	0.174 	0.445 
000740 	0.601 	0.146 	0.174 	0.445 
000741 	0.601 	0.146 	0.173 	0.442 
000742 	0.601 	0.145 	0.172 	0.447 
000743 	0.600 	0.143 	0.172 	0.456 
000744 	0.600 	0.143 	0.173 	0.455 
000745 	0.599 	0.143 	0.172 	0.454 
000746 	0.599 	0.143 	0.173 	0.453 
000747 	0.598 	0.144 	0.175 	0.458 
000748 	0.597 	0.144 	0.174 	0.460 
000749 	0.596 	0.145 	0.173 	0.461 
000750 	0.594 	0.145 	0.175 	0.456 
000751 	0.594 	0.145 	0.173 	0.451 
000752 	0.592 	0.146 	0.175 	0.447 
000753 	0.592 	0.146 	0.175 	0.450 
000754 	0.591 	0.146 	0.174 	0.452 
000755 	0.590 	0.146 	0.172 	0.459 
000756 	0.588 	0.147 	0.171 	0.459 
000757 	0.589 	0.144 	0.170 	0.463 
000758 	0.586 	0.145 	0.172 	0.463 
000759 	0.584 	0.147 	0.172 	0.463 
000760 	0.582 	0.148 	0.175 	0.456 
000761 	0.581 	0.148 	0.177 	0.464 
000762 	0.578 	0.147 	0.175 	0.467 
000763 	0.577 	0.147 	0.174 	0.468 
000764 	0.576 	0.147 	0.174 	0.468 
000765 	0.576 	0.147 	0.174 	0.468 
000766 	0.575 	0.146 	0.174 	0.465 
000767 	0.573 	0.146 	0.176 	0.465 
000768 	0.573 	0.148 	0.177 	0.464 
000769 	0.572 	0.149 	0.178 	0.464 
000770 	0.571 	0.151 	0.177 	0.457 
