Text:  IMMIGRANTS TO RUN FOR PUBLIC OFFICE AND LEADING A MOVEMENT FOR INCLUSIVE DEMOCRACY 
Conf:  5
Ref:   0d6iSvF1UmA

FRAME 	X 	Y 	W 	H 
001118 	0.669 	0.133 	0.189 	0.482 
001119 	0.670 	0.134 	0.190 	0.480 
001120 	0.670 	0.133 	0.188 	0.484 
001121 	0.670 	0.135 	0.191 	0.483 
001122 	0.669 	0.140 	0.191 	0.471 
001123 	0.671 	0.137 	0.188 	0.475 
001124 	0.670 	0.141 	0.187 	0.476 
001125 	0.670 	0.140 	0.187 	0.478 
001126 	0.670 	0.142 	0.188 	0.474 
001127 	0.669 	0.142 	0.187 	0.473 
001128 	0.670 	0.142 	0.187 	0.474 
001129 	0.668 	0.142 	0.187 	0.480 
001130 	0.668 	0.144 	0.187 	0.477 
001131 	0.668 	0.143 	0.187 	0.478 
001132 	0.669 	0.142 	0.185 	0.477 
001133 	0.669 	0.141 	0.187 	0.479 
001134 	0.667 	0.143 	0.188 	0.478 
001135 	0.665 	0.146 	0.190 	0.469 
001136 	0.664 	0.147 	0.191 	0.466 
001137 	0.662 	0.145 	0.189 	0.477 
001138 	0.661 	0.144 	0.190 	0.485 
001139 	0.661 	0.145 	0.191 	0.484 
001140 	0.661 	0.145 	0.191 	0.484 
001141 	0.662 	0.145 	0.190 	0.477 
001142 	0.660 	0.145 	0.191 	0.475 
001143 	0.660 	0.144 	0.192 	0.474 
001144 	0.660 	0.146 	0.192 	0.470 
001145 	0.659 	0.142 	0.190 	0.477 
001146 	0.658 	0.142 	0.188 	0.483 
001147 	0.658 	0.141 	0.190 	0.487 
001148 	0.656 	0.139 	0.189 	0.497 
001149 	0.655 	0.137 	0.188 	0.505 
001150 	0.654 	0.139 	0.189 	0.497 
001151 	0.655 	0.139 	0.187 	0.495 
001152 	0.655 	0.139 	0.187 	0.494 
001153 	0.654 	0.140 	0.186 	0.495 
001154 	0.654 	0.139 	0.187 	0.503 
001155 	0.656 	0.135 	0.185 	0.504 
001156 	0.656 	0.138 	0.185 	0.497 
001157 	0.655 	0.140 	0.185 	0.495 
001158 	0.653 	0.140 	0.186 	0.499 
001159 	0.653 	0.143 	0.181 	0.491 
001160 	0.651 	0.145 	0.186 	0.485 
001161 	0.652 	0.148 	0.184 	0.482 
001162 	0.651 	0.149 	0.184 	0.483 
001163 	0.650 	0.148 	0.184 	0.488 
001164 	0.650 	0.149 	0.185 	0.487 
001165 	0.650 	0.149 	0.185 	0.487 
001166 	0.650 	0.150 	0.185 	0.484 
001167 	0.650 	0.151 	0.183 	0.483 
001168 	0.649 	0.151 	0.183 	0.484 
001169 	0.648 	0.151 	0.184 	0.483 
001170 	0.648 	0.152 	0.184 	0.482 
001171 	0.648 	0.151 	0.184 	0.482 
001172 	0.648 	0.151 	0.184 	0.480 
001173 	0.647 	0.150 	0.184 	0.480 
001174 	0.647 	0.149 	0.184 	0.486 
001175 	0.648 	0.147 	0.184 	0.489 
001176 	0.647 	0.147 	0.184 	0.492 
001177 	0.644 	0.145 	0.187 	0.498 
001178 	0.644 	0.144 	0.187 	0.498 
001179 	0.643 	0.140 	0.187 	0.503 
001180 	0.642 	0.139 	0.185 	0.502 
001181 	0.640 	0.136 	0.184 	0.502 
001182 	0.638 	0.135 	0.182 	0.506 
001183 	0.633 	0.136 	0.183 	0.504 
001184 	0.628 	0.133 	0.188 	0.505 
001185 	0.624 	0.132 	0.189 	0.489 
001186 	0.621 	0.129 	0.189 	0.482 
001187 	0.617 	0.126 	0.190 	0.479 
001188 	0.612 	0.124 	0.188 	0.475 
001189 	0.610 	0.122 	0.188 	0.474 
001190 	0.610 	0.122 	0.188 	0.474 
001191 	0.605 	0.120 	0.185 	0.480 
001192 	0.601 	0.120 	0.184 	0.476 
001193 	0.598 	0.119 	0.185 	0.477 
001194 	0.593 	0.116 	0.187 	0.482 
001195 	0.588 	0.118 	0.186 	0.478 
001196 	0.582 	0.111 	0.187 	0.490 
001197 	0.574 	0.113 	0.191 	0.486 
001198 	0.568 	0.111 	0.190 	0.490 
001199 	0.565 	0.112 	0.190 	0.485 
001200 	0.561 	0.113 	0.188 	0.482 
001201 	0.558 	0.116 	0.185 	0.471 
001202 	0.553 	0.114 	0.188 	0.466 
001203 	0.550 	0.112 	0.186 	0.475 
001204 	0.548 	0.112 	0.185 	0.484 
001205 	0.552 	0.106 	0.175 	0.485 
001206 	0.550 	0.106 	0.172 	0.482 
001207 	0.548 	0.109 	0.173 	0.474 
001208 	0.547 	0.111 	0.174 	0.475 
001209 	0.547 	0.114 	0.175 	0.475 
001210 	0.546 	0.114 	0.175 	0.485 
001211 	0.545 	0.112 	0.178 	0.487 
001212 	0.546 	0.114 	0.177 	0.487 
001213 	0.546 	0.118 	0.176 	0.479 
001214 	0.545 	0.115 	0.177 	0.476 
001215 	0.545 	0.115 	0.177 	0.476 
001216 	0.544 	0.121 	0.176 	0.470 
001217 	0.544 	0.123 	0.180 	0.464 
001218 	0.544 	0.125 	0.181 	0.462 
001219 	0.543 	0.125 	0.182 	0.462 
001220 	0.543 	0.123 	0.181 	0.468 
001221 	0.545 	0.124 	0.181 	0.470 
001222 	0.545 	0.122 	0.177 	0.480 
001223 	0.545 	0.122 	0.178 	0.484 
001224 	0.545 	0.121 	0.178 	0.486 
001225 	0.546 	0.123 	0.179 	0.482 
001226 	0.545 	0.126 	0.179 	0.477 
001227 	0.545 	0.126 	0.179 	0.476 
001228 	0.543 	0.128 	0.178 	0.475 
001229 	0.542 	0.127 	0.179 	0.475 
001230 	0.540 	0.130 	0.179 	0.475 
001231 	0.539 	0.132 	0.179 	0.472 
001232 	0.538 	0.132 	0.179 	0.475 
001233 	0.536 	0.131 	0.180 	0.475 
001234 	0.535 	0.130 	0.181 	0.477 
001235 	0.533 	0.131 	0.184 	0.471 
001236 	0.532 	0.131 	0.185 	0.472 
001237 	0.532 	0.132 	0.184 	0.468 
