Text:  AND I'VE LEARNED A FEW LESSONS ALONG THE WAY THAT I WANTED TO SHARE WITH YOU BECAUSE I THINK THAT TOGETHER WE CAN MAKE AMERICAN DEMOCRACY BETTER AND STRONGER 
Conf:  5
Ref:   0d6iSvF1UmA

FRAME 	X 	Y 	W 	H 
001502 	0.595 	0.097 	0.071 	0.194 
001503 	0.594 	0.096 	0.071 	0.196 
001504 	0.593 	0.095 	0.072 	0.197 
001505 	0.593 	0.093 	0.072 	0.196 
001506 	0.591 	0.092 	0.072 	0.196 
001507 	0.591 	0.099 	0.070 	0.184 
001508 	0.593 	0.095 	0.068 	0.185 
001509 	0.591 	0.100 	0.069 	0.173 
001510 	0.592 	0.095 	0.068 	0.182 
001511 	0.592 	0.095 	0.068 	0.183 
001512 	0.593 	0.094 	0.067 	0.188 
001513 	0.594 	0.095 	0.066 	0.188 
001514 	0.594 	0.095 	0.067 	0.188 
001515 	0.594 	0.095 	0.067 	0.188 
001516 	0.595 	0.096 	0.068 	0.186 
001517 	0.596 	0.097 	0.067 	0.187 
001518 	0.597 	0.097 	0.067 	0.187 
001519 	0.597 	0.098 	0.068 	0.186 
001520 	0.597 	0.099 	0.068 	0.186 
001521 	0.598 	0.100 	0.068 	0.187 
001522 	0.599 	0.098 	0.068 	0.188 
001523 	0.600 	0.098 	0.068 	0.187 
001524 	0.600 	0.100 	0.067 	0.185 
001525 	0.601 	0.100 	0.067 	0.185 
001526 	0.602 	0.097 	0.068 	0.190 
001527 	0.602 	0.098 	0.068 	0.190 
001528 	0.603 	0.099 	0.067 	0.189 
001529 	0.604 	0.098 	0.066 	0.189 
001530 	0.604 	0.099 	0.066 	0.188 
001531 	0.604 	0.100 	0.067 	0.190 
001532 	0.605 	0.101 	0.067 	0.188 
001533 	0.605 	0.103 	0.068 	0.186 
001534 	0.606 	0.103 	0.068 	0.184 
001535 	0.605 	0.102 	0.069 	0.186 
001536 	0.606 	0.106 	0.071 	0.179 
001537 	0.607 	0.105 	0.072 	0.180 
001538 	0.607 	0.103 	0.071 	0.182 
001539 	0.608 	0.102 	0.071 	0.184 
001540 	0.608 	0.102 	0.071 	0.184 
001541 	0.608 	0.103 	0.071 	0.182 
001542 	0.608 	0.103 	0.072 	0.185 
001543 	0.609 	0.104 	0.071 	0.184 
001544 	0.609 	0.105 	0.071 	0.185 
001545 	0.609 	0.106 	0.070 	0.185 
001546 	0.609 	0.107 	0.071 	0.184 
001547 	0.609 	0.107 	0.071 	0.181 
001548 	0.609 	0.107 	0.072 	0.180 
001549 	0.608 	0.107 	0.072 	0.180 
001550 	0.608 	0.106 	0.072 	0.180 
001551 	0.608 	0.106 	0.072 	0.182 
001552 	0.608 	0.106 	0.072 	0.182 
001553 	0.608 	0.106 	0.071 	0.186 
001554 	0.608 	0.106 	0.071 	0.185 
001555 	0.607 	0.106 	0.071 	0.186 
001556 	0.608 	0.107 	0.071 	0.184 
001557 	0.607 	0.106 	0.072 	0.183 
001558 	0.607 	0.106 	0.072 	0.183 
001559 	0.607 	0.106 	0.071 	0.184 
001560 	0.607 	0.105 	0.072 	0.185 
001561 	0.606 	0.105 	0.072 	0.186 
001562 	0.606 	0.104 	0.073 	0.185 
001563 	0.606 	0.104 	0.072 	0.182 
001564 	0.607 	0.101 	0.072 	0.184 
001565 	0.607 	0.101 	0.072 	0.184 
001566 	0.608 	0.101 	0.073 	0.188 
001567 	0.609 	0.102 	0.075 	0.187 
001568 	0.609 	0.102 	0.075 	0.186 
001569 	0.610 	0.102 	0.074 	0.182 
001570 	0.611 	0.103 	0.073 	0.180 
001571 	0.611 	0.102 	0.074 	0.182 
001572 	0.610 	0.102 	0.074 	0.181 
001573 	0.610 	0.103 	0.074 	0.181 
001574 	0.610 	0.103 	0.073 	0.181 
001575 	0.609 	0.103 	0.073 	0.182 
001576 	0.608 	0.104 	0.074 	0.183 
001577 	0.608 	0.103 	0.074 	0.183 
001578 	0.607 	0.103 	0.074 	0.182 
001579 	0.606 	0.104 	0.075 	0.182 
001580 	0.605 	0.105 	0.075 	0.179 
001581 	0.605 	0.105 	0.074 	0.178 
001582 	0.604 	0.105 	0.075 	0.179 
001583 	0.604 	0.104 	0.075 	0.182 
001584 	0.603 	0.104 	0.076 	0.181 
001585 	0.603 	0.104 	0.076 	0.181 
001586 	0.603 	0.104 	0.075 	0.180 
001587 	0.600 	0.103 	0.076 	0.179 
001588 	0.601 	0.104 	0.076 	0.178 
001589 	0.601 	0.104 	0.075 	0.178 
001590 	0.601 	0.104 	0.075 	0.178 
001591 	0.600 	0.104 	0.076 	0.178 
001592 	0.600 	0.104 	0.076 	0.179 
001593 	0.599 	0.102 	0.077 	0.184 
001594 	0.599 	0.100 	0.075 	0.190 
001595 	0.599 	0.101 	0.074 	0.191 
001596 	0.598 	0.099 	0.073 	0.193 
001597 	0.598 	0.098 	0.074 	0.191 
001598 	0.596 	0.096 	0.074 	0.189 
001599 	0.596 	0.095 	0.074 	0.189 
001600 	0.595 	0.094 	0.073 	0.192 
