Text:  WAS FOUR MY FAMILY MOVED TO BELIZE THE WORLD'S SMALLEST DEMOCRACY PERHAPS AND 
Conf:  1
Ref:   0d6iSvF1UmA

FRAME 	X 	Y 	W 	H 
001910 	0.465 	0.155 	0.191 	0.502 
001911 	0.465 	0.158 	0.190 	0.497 
001912 	0.466 	0.160 	0.191 	0.499 
001913 	0.466 	0.166 	0.192 	0.493 
001914 	0.467 	0.165 	0.195 	0.493 
001915 	0.467 	0.165 	0.195 	0.493 
001916 	0.467 	0.167 	0.195 	0.487 
001917 	0.465 	0.167 	0.195 	0.483 
001918 	0.466 	0.168 	0.192 	0.488 
001919 	0.467 	0.169 	0.189 	0.482 
001920 	0.469 	0.170 	0.188 	0.482 
001921 	0.470 	0.170 	0.192 	0.485 
001922 	0.471 	0.175 	0.190 	0.480 
001923 	0.473 	0.178 	0.189 	0.476 
001924 	0.473 	0.180 	0.190 	0.472 
001925 	0.472 	0.177 	0.190 	0.474 
001926 	0.470 	0.175 	0.192 	0.474 
001927 	0.471 	0.175 	0.195 	0.477 
001928 	0.471 	0.177 	0.193 	0.477 
001929 	0.471 	0.175 	0.193 	0.477 
001930 	0.472 	0.175 	0.192 	0.478 
001931 	0.471 	0.173 	0.192 	0.493 
001932 	0.471 	0.175 	0.195 	0.484 
001933 	0.471 	0.168 	0.197 	0.488 
001934 	0.472 	0.169 	0.199 	0.484 
001935 	0.474 	0.169 	0.194 	0.483 
001936 	0.473 	0.167 	0.191 	0.492 
001937 	0.473 	0.164 	0.192 	0.493 
001938 	0.474 	0.164 	0.192 	0.494 
001939 	0.476 	0.161 	0.188 	0.490 
001940 	0.476 	0.161 	0.188 	0.490 
001941 	0.475 	0.163 	0.188 	0.486 
001942 	0.475 	0.166 	0.188 	0.485 
001943 	0.475 	0.168 	0.190 	0.482 
001944 	0.475 	0.167 	0.188 	0.485 
001945 	0.475 	0.166 	0.186 	0.484 
001946 	0.474 	0.167 	0.187 	0.483 
001947 	0.475 	0.169 	0.186 	0.484 
001948 	0.473 	0.169 	0.188 	0.489 
001949 	0.473 	0.170 	0.188 	0.486 
001950 	0.473 	0.167 	0.186 	0.485 
001951 	0.473 	0.167 	0.188 	0.488 
001952 	0.473 	0.168 	0.191 	0.484 
001953 	0.472 	0.170 	0.193 	0.481 
001954 	0.472 	0.169 	0.195 	0.482 
001955 	0.474 	0.169 	0.190 	0.480 
001956 	0.474 	0.170 	0.193 	0.476 
001957 	0.474 	0.170 	0.193 	0.478 
001958 	0.475 	0.162 	0.187 	0.487 
001959 	0.476 	0.163 	0.186 	0.488 
001960 	0.475 	0.162 	0.188 	0.490 
001961 	0.474 	0.161 	0.189 	0.495 
001962 	0.474 	0.165 	0.188 	0.491 
001963 	0.473 	0.165 	0.191 	0.493 
001964 	0.473 	0.164 	0.188 	0.493 
001965 	0.473 	0.164 	0.188 	0.493 
001966 	0.473 	0.165 	0.188 	0.494 
001967 	0.473 	0.164 	0.191 	0.493 
001968 	0.473 	0.165 	0.192 	0.487 
001969 	0.474 	0.167 	0.191 	0.481 
001970 	0.475 	0.167 	0.190 	0.481 
001971 	0.474 	0.167 	0.191 	0.481 
001972 	0.474 	0.168 	0.189 	0.480 
001973 	0.473 	0.165 	0.190 	0.482 
001974 	0.473 	0.166 	0.190 	0.484 
001975 	0.474 	0.164 	0.190 	0.483 
001976 	0.474 	0.162 	0.190 	0.483 
001977 	0.475 	0.159 	0.184 	0.489 
001978 	0.478 	0.159 	0.183 	0.480 
001979 	0.479 	0.158 	0.181 	0.477 
001980 	0.483 	0.158 	0.185 	0.474 
001981 	0.487 	0.157 	0.179 	0.469 
001982 	0.491 	0.159 	0.183 	0.465 
001983 	0.495 	0.157 	0.181 	0.472 
001984 	0.499 	0.155 	0.179 	0.475 
001985 	0.502 	0.158 	0.179 	0.471 
001986 	0.505 	0.157 	0.182 	0.465 
001987 	0.509 	0.161 	0.186 	0.460 
001988 	0.510 	0.161 	0.185 	0.458 
001989 	0.513 	0.162 	0.184 	0.462 
001990 	0.513 	0.162 	0.184 	0.462 
001991 	0.516 	0.162 	0.188 	0.467 
001992 	0.517 	0.168 	0.184 	0.467 
001993 	0.518 	0.170 	0.181 	0.466 
001994 	0.518 	0.169 	0.182 	0.473 
001995 	0.519 	0.169 	0.179 	0.484 
001996 	0.517 	0.171 	0.177 	0.489 
001997 	0.517 	0.173 	0.176 	0.491 
001998 	0.517 	0.172 	0.179 	0.484 
001999 	0.515 	0.175 	0.178 	0.476 
002000 	0.513 	0.176 	0.179 	0.469 
002001 	0.512 	0.177 	0.180 	0.470 
002002 	0.513 	0.173 	0.182 	0.472 
002003 	0.514 	0.172 	0.180 	0.472 
002004 	0.513 	0.172 	0.180 	0.473 
002005 	0.512 	0.173 	0.178 	0.471 
002006 	0.510 	0.172 	0.177 	0.472 
002007 	0.508 	0.173 	0.177 	0.473 
002008 	0.507 	0.174 	0.176 	0.470 
002009 	0.505 	0.181 	0.175 	0.468 
002010 	0.507 	0.175 	0.174 	0.481 
002011 	0.507 	0.178 	0.175 	0.483 
002012 	0.506 	0.179 	0.177 	0.471 
002013 	0.504 	0.179 	0.175 	0.470 
002014 	0.502 	0.180 	0.173 	0.466 
002015 	0.502 	0.180 	0.173 	0.466 
002016 	0.500 	0.177 	0.173 	0.467 
002017 	0.498 	0.177 	0.175 	0.467 
002018 	0.497 	0.165 	0.177 	0.481 
002019 	0.493 	0.170 	0.177 	0.478 
002020 	0.493 	0.160 	0.178 	0.490 
002021 	0.492 	0.160 	0.178 	0.480 
002022 	0.492 	0.160 	0.179 	0.483 
002023 	0.491 	0.161 	0.174 	0.489 
002024 	0.491 	0.166 	0.174 	0.493 
002025 	0.491 	0.165 	0.172 	0.490 
002026 	0.490 	0.163 	0.172 	0.495 
002027 	0.489 	0.163 	0.173 	0.493 
002028 	0.489 	0.162 	0.173 	0.499 
002029 	0.488 	0.164 	0.175 	0.495 
002030 	0.488 	0.159 	0.174 	0.487 
002031 	0.487 	0.162 	0.176 	0.477 
002032 	0.487 	0.163 	0.178 	0.475 
002033 	0.487 	0.162 	0.177 	0.475 
002034 	0.488 	0.162 	0.175 	0.474 
002035 	0.488 	0.159 	0.176 	0.480 
002036 	0.486 	0.158 	0.177 	0.483 
002037 	0.486 	0.159 	0.180 	0.480 
002038 	0.486 	0.159 	0.179 	0.480 
002039 	0.485 	0.159 	0.178 	0.480 
002040 	0.485 	0.159 	0.178 	0.480 

WORD START END ASDSCORE
WAS 0.06 0.25 11.2
FOUR 0.25 0.72 8.4
MY 0.76 0.93 7.0
FAMILY 0.93 1.40 9.9
MOVED 1.40 1.75 5.2
TO 1.77 1.91 4.5
BELIZE 1.91 2.59 4.5
THE 2.73 2.83 3.0
WORLD'S 2.83 3.14 7.0
SMALLEST 3.14 3.81 4.4
DEMOCRACY 3.81 4.43 5.8
PERHAPS 4.43 5.00 5.4
AND 5.04 5.13 2.4
