Text:  I CAME BECAUSE I WANTED TO STUDY ENGLISH LITERATURE YOU SEE AS CHILD I BURIED MY NOSE IN BOOKS AND I THOUGHT WHY NOT MAKE A LIVING DOING THAT AS AN ADULT 
Conf:  4
Ref:   0d6iSvF1UmA

FRAME 	X 	Y 	W 	H 
002261 	0.622 	0.093 	0.071 	0.191 
002262 	0.622 	0.092 	0.072 	0.192 
002263 	0.623 	0.092 	0.071 	0.192 
002264 	0.625 	0.092 	0.071 	0.191 
002265 	0.625 	0.092 	0.071 	0.191 
002266 	0.625 	0.091 	0.073 	0.188 
002267 	0.626 	0.092 	0.074 	0.184 
002268 	0.626 	0.092 	0.074 	0.184 
002269 	0.627 	0.092 	0.074 	0.184 
002270 	0.627 	0.092 	0.073 	0.186 
002271 	0.628 	0.092 	0.074 	0.185 
002272 	0.628 	0.093 	0.073 	0.185 
002273 	0.629 	0.095 	0.073 	0.185 
002274 	0.629 	0.095 	0.073 	0.182 
002275 	0.629 	0.096 	0.073 	0.176 
002276 	0.629 	0.097 	0.072 	0.174 
002277 	0.629 	0.097 	0.071 	0.175 
002278 	0.629 	0.096 	0.072 	0.179 
002279 	0.628 	0.093 	0.074 	0.187 
002280 	0.628 	0.097 	0.073 	0.180 
002281 	0.628 	0.098 	0.073 	0.178 
002282 	0.627 	0.099 	0.074 	0.177 
002283 	0.627 	0.095 	0.074 	0.182 
002284 	0.625 	0.094 	0.076 	0.186 
002285 	0.625 	0.093 	0.075 	0.189 
002286 	0.626 	0.099 	0.073 	0.180 
002287 	0.626 	0.099 	0.072 	0.176 
002288 	0.626 	0.099 	0.072 	0.175 
002289 	0.625 	0.098 	0.073 	0.180 
002290 	0.625 	0.098 	0.073 	0.180 
002291 	0.625 	0.097 	0.074 	0.182 
002292 	0.626 	0.096 	0.074 	0.183 
002293 	0.625 	0.096 	0.074 	0.181 
002294 	0.626 	0.097 	0.073 	0.179 
002295 	0.626 	0.097 	0.074 	0.180 
002296 	0.626 	0.097 	0.075 	0.179 
002297 	0.627 	0.097 	0.074 	0.179 
002298 	0.627 	0.097 	0.074 	0.178 
002299 	0.627 	0.097 	0.074 	0.178 
002300 	0.627 	0.097 	0.074 	0.178 
002301 	0.628 	0.096 	0.073 	0.180 
