Text:  BUT AFTER I GRADUATED FROM COLLEGE AND GOT A GRADUATE DEGREE I FOUND MYSELF MOVING FROM ONE LESS IDEAL JOB TO ANOTHER MAYBE IT WAS THE OPTIMISM THAT I HAD ABOUT AMERICA THAT MADE 
Conf:  1
Ref:   0d6iSvF1UmA

FRAME 	X 	Y 	W 	H 
002515 	0.581 	0.117 	0.184 	0.511 
002516 	0.583 	0.115 	0.184 	0.502 
002517 	0.583 	0.116 	0.187 	0.488 
002518 	0.586 	0.111 	0.186 	0.484 
002519 	0.588 	0.109 	0.185 	0.487 
002520 	0.588 	0.107 	0.188 	0.488 
002521 	0.590 	0.106 	0.184 	0.500 
002522 	0.591 	0.110 	0.183 	0.498 
002523 	0.593 	0.116 	0.183 	0.486 
002524 	0.593 	0.119 	0.188 	0.476 
002525 	0.594 	0.124 	0.188 	0.461 
002526 	0.595 	0.127 	0.189 	0.453 
002527 	0.598 	0.131 	0.182 	0.462 
002528 	0.598 	0.130 	0.181 	0.476 
002529 	0.597 	0.130 	0.181 	0.480 
002530 	0.596 	0.130 	0.182 	0.479 
002531 	0.595 	0.134 	0.184 	0.474 
002532 	0.594 	0.135 	0.186 	0.481 
002533 	0.594 	0.135 	0.185 	0.479 
002534 	0.591 	0.137 	0.185 	0.470 
002535 	0.588 	0.137 	0.185 	0.477 
002536 	0.587 	0.138 	0.186 	0.478 
002537 	0.585 	0.137 	0.186 	0.494 
002538 	0.582 	0.141 	0.187 	0.487 
002539 	0.580 	0.144 	0.184 	0.480 
002540 	0.580 	0.144 	0.184 	0.480 
002541 	0.579 	0.145 	0.185 	0.486 
002542 	0.576 	0.144 	0.183 	0.488 
002543 	0.572 	0.145 	0.185 	0.490 
002544 	0.570 	0.145 	0.187 	0.489 
002545 	0.568 	0.143 	0.187 	0.497 
002546 	0.567 	0.147 	0.187 	0.493 
002547 	0.566 	0.146 	0.187 	0.480 
002548 	0.564 	0.146 	0.187 	0.480 
002549 	0.563 	0.146 	0.187 	0.481 
002550 	0.563 	0.146 	0.189 	0.484 
002551 	0.564 	0.145 	0.187 	0.484 
002552 	0.564 	0.146 	0.188 	0.484 
002553 	0.565 	0.145 	0.188 	0.484 
002554 	0.565 	0.142 	0.189 	0.498 
002555 	0.566 	0.142 	0.189 	0.502 
002556 	0.566 	0.142 	0.187 	0.504 
002557 	0.565 	0.139 	0.187 	0.511 
002558 	0.565 	0.140 	0.189 	0.503 
002559 	0.565 	0.141 	0.187 	0.494 
002560 	0.565 	0.142 	0.186 	0.487 
002561 	0.564 	0.143 	0.187 	0.482 
002562 	0.564 	0.143 	0.187 	0.481 
002563 	0.564 	0.141 	0.187 	0.482 
002564 	0.564 	0.141 	0.187 	0.484 
002565 	0.564 	0.141 	0.187 	0.484 
002566 	0.563 	0.143 	0.187 	0.480 
002567 	0.563 	0.142 	0.185 	0.484 
002568 	0.563 	0.141 	0.186 	0.484 
002569 	0.562 	0.141 	0.186 	0.486 
002570 	0.561 	0.140 	0.187 	0.486 
002571 	0.560 	0.143 	0.186 	0.484 
002572 	0.560 	0.143 	0.182 	0.482 
002573 	0.560 	0.144 	0.182 	0.478 
002574 	0.558 	0.145 	0.183 	0.478 
002575 	0.557 	0.143 	0.185 	0.484 
002576 	0.558 	0.141 	0.188 	0.491 
002577 	0.556 	0.138 	0.189 	0.499 
002578 	0.557 	0.132 	0.187 	0.508 
002579 	0.556 	0.133 	0.183 	0.505 
002580 	0.552 	0.133 	0.182 	0.502 
002581 	0.550 	0.130 	0.181 	0.501 
002582 	0.550 	0.127 	0.178 	0.500 
002583 	0.554 	0.118 	0.174 	0.498 
002584 	0.546 	0.130 	0.188 	0.488 
002585 	0.549 	0.126 	0.180 	0.478 
002586 	0.548 	0.129 	0.179 	0.476 
002587 	0.546 	0.134 	0.179 	0.473 
002588 	0.545 	0.136 	0.181 	0.474 
002589 	0.544 	0.138 	0.178 	0.478 
002590 	0.544 	0.138 	0.178 	0.478 
002591 	0.543 	0.140 	0.176 	0.480 
002592 	0.542 	0.143 	0.178 	0.479 
002593 	0.541 	0.142 	0.179 	0.473 
002594 	0.539 	0.140 	0.180 	0.474 
002595 	0.539 	0.141 	0.179 	0.471 
002596 	0.539 	0.140 	0.179 	0.468 
002597 	0.538 	0.140 	0.176 	0.471 
002598 	0.537 	0.138 	0.180 	0.477 
002599 	0.538 	0.139 	0.178 	0.481 
002600 	0.537 	0.140 	0.177 	0.475 
002601 	0.535 	0.143 	0.174 	0.468 
002602 	0.532 	0.138 	0.180 	0.469 
002603 	0.531 	0.138 	0.182 	0.472 
002604 	0.529 	0.139 	0.182 	0.472 
002605 	0.528 	0.140 	0.182 	0.472 
002606 	0.526 	0.140 	0.182 	0.474 
002607 	0.526 	0.140 	0.182 	0.476 
002608 	0.525 	0.139 	0.181 	0.473 
002609 	0.523 	0.138 	0.182 	0.468 
002610 	0.522 	0.139 	0.183 	0.463 
002611 	0.522 	0.143 	0.176 	0.458 
002612 	0.521 	0.142 	0.179 	0.463 
002613 	0.519 	0.143 	0.181 	0.468 
002614 	0.518 	0.143 	0.182 	0.475 
002615 	0.518 	0.143 	0.182 	0.475 
002616 	0.516 	0.142 	0.180 	0.476 
002617 	0.517 	0.140 	0.181 	0.477 
002618 	0.516 	0.141 	0.182 	0.476 
002619 	0.516 	0.140 	0.182 	0.480 
002620 	0.517 	0.139 	0.181 	0.480 
002621 	0.517 	0.141 	0.180 	0.480 
002622 	0.518 	0.140 	0.181 	0.482 
002623 	0.519 	0.139 	0.180 	0.486 
002624 	0.521 	0.137 	0.180 	0.487 
002625 	0.521 	0.138 	0.181 	0.488 
002626 	0.525 	0.137 	0.179 	0.493 
002627 	0.527 	0.136 	0.179 	0.495 
002628 	0.529 	0.133 	0.180 	0.494 
002629 	0.533 	0.137 	0.176 	0.488 
002630 	0.537 	0.134 	0.175 	0.491 
002631 	0.540 	0.134 	0.175 	0.494 
002632 	0.544 	0.132 	0.174 	0.498 
002633 	0.545 	0.131 	0.176 	0.496 
002634 	0.548 	0.131 	0.176 	0.492 
002635 	0.547 	0.127 	0.180 	0.484 
002636 	0.550 	0.128 	0.176 	0.472 
002637 	0.549 	0.128 	0.182 	0.466 
002638 	0.549 	0.129 	0.183 	0.470 
002639 	0.550 	0.129 	0.180 	0.481 
002640 	0.550 	0.129 	0.180 	0.481 
002641 	0.551 	0.131 	0.180 	0.484 
002642 	0.551 	0.132 	0.179 	0.478 
002643 	0.551 	0.132 	0.180 	0.471 
002644 	0.552 	0.133 	0.179 	0.469 
002645 	0.552 	0.133 	0.178 	0.474 
002646 	0.552 	0.136 	0.178 	0.483 
002647 	0.553 	0.134 	0.179 	0.486 
002648 	0.551 	0.136 	0.182 	0.484 
002649 	0.550 	0.137 	0.181 	0.482 
002650 	0.551 	0.138 	0.179 	0.480 
002651 	0.550 	0.141 	0.179 	0.479 
002652 	0.549 	0.141 	0.179 	0.480 
002653 	0.550 	0.141 	0.179 	0.478 
002654 	0.548 	0.142 	0.181 	0.473 
002655 	0.549 	0.142 	0.182 	0.474 
002656 	0.548 	0.142 	0.182 	0.470 
002657 	0.549 	0.144 	0.181 	0.467 
002658 	0.550 	0.145 	0.181 	0.467 
002659 	0.549 	0.144 	0.181 	0.474 
002660 	0.550 	0.145 	0.180 	0.480 
002661 	0.549 	0.145 	0.180 	0.484 
002662 	0.548 	0.145 	0.179 	0.478 
002663 	0.548 	0.145 	0.179 	0.476 
002664 	0.548 	0.146 	0.178 	0.477 
002665 	0.548 	0.146 	0.178 	0.477 
002666 	0.547 	0.148 	0.179 	0.476 
002667 	0.546 	0.148 	0.179 	0.478 
002668 	0.546 	0.148 	0.178 	0.470 
002669 	0.544 	0.147 	0.180 	0.469 
002670 	0.544 	0.150 	0.179 	0.468 
002671 	0.543 	0.150 	0.179 	0.463 
002672 	0.540 	0.148 	0.179 	0.467 
002673 	0.541 	0.148 	0.176 	0.471 
002674 	0.540 	0.146 	0.175 	0.472 
002675 	0.539 	0.142 	0.177 	0.476 
002676 	0.540 	0.142 	0.177 	0.477 
002677 	0.540 	0.143 	0.177 	0.479 
002678 	0.539 	0.141 	0.178 	0.490 
002679 	0.539 	0.140 	0.176 	0.495 
002680 	0.539 	0.143 	0.175 	0.491 
002681 	0.539 	0.143 	0.176 	0.485 
002682 	0.540 	0.143 	0.176 	0.483 
002683 	0.540 	0.143 	0.176 	0.481 
002684 	0.541 	0.142 	0.178 	0.484 
002685 	0.542 	0.142 	0.178 	0.483 
002686 	0.545 	0.143 	0.174 	0.480 
002687 	0.545 	0.143 	0.175 	0.481 
002688 	0.546 	0.142 	0.177 	0.484 
002689 	0.547 	0.138 	0.177 	0.493 
002690 	0.547 	0.138 	0.177 	0.493 
002691 	0.548 	0.139 	0.178 	0.490 
002692 	0.548 	0.137 	0.177 	0.492 
002693 	0.548 	0.134 	0.177 	0.496 
002694 	0.550 	0.134 	0.177 	0.499 
002695 	0.550 	0.133 	0.177 	0.499 
002696 	0.550 	0.134 	0.178 	0.495 
002697 	0.550 	0.137 	0.178 	0.491 
002698 	0.550 	0.140 	0.178 	0.487 
002699 	0.549 	0.144 	0.176 	0.482 
002700 	0.550 	0.143 	0.177 	0.484 
002701 	0.551 	0.142 	0.174 	0.491 
002702 	0.551 	0.141 	0.176 	0.492 
002703 	0.552 	0.141 	0.174 	0.488 
002704 	0.552 	0.140 	0.178 	0.483 
002705 	0.552 	0.139 	0.176 	0.483 
002706 	0.553 	0.138 	0.175 	0.482 
002707 	0.553 	0.138 	0.175 	0.483 
002708 	0.553 	0.138 	0.174 	0.483 
002709 	0.554 	0.139 	0.173 	0.478 
002710 	0.554 	0.139 	0.174 	0.478 
002711 	0.555 	0.140 	0.170 	0.476 
002712 	0.556 	0.138 	0.169 	0.483 
002713 	0.551 	0.144 	0.177 	0.488 
002714 	0.550 	0.144 	0.177 	0.491 
002715 	0.550 	0.144 	0.177 	0.491 
002716 	0.551 	0.141 	0.179 	0.501 
002717 	0.552 	0.140 	0.180 	0.503 
002718 	0.551 	0.140 	0.179 	0.503 
002719 	0.551 	0.141 	0.179 	0.498 
002720 	0.552 	0.142 	0.179 	0.489 
002721 	0.552 	0.143 	0.181 	0.489 
002722 	0.552 	0.143 	0.180 	0.485 
002723 	0.552 	0.144 	0.180 	0.482 
002724 	0.552 	0.144 	0.180 	0.485 
002725 	0.552 	0.144 	0.179 	0.487 
002726 	0.552 	0.143 	0.179 	0.488 
002727 	0.552 	0.143 	0.179 	0.487 
002728 	0.552 	0.143 	0.179 	0.490 
002729 	0.553 	0.144 	0.181 	0.487 
002730 	0.553 	0.145 	0.181 	0.487 
002731 	0.553 	0.144 	0.181 	0.491 
002732 	0.553 	0.142 	0.180 	0.496 
002733 	0.553 	0.144 	0.180 	0.494 
002734 	0.553 	0.145 	0.180 	0.489 
002735 	0.553 	0.145 	0.181 	0.489 
002736 	0.553 	0.146 	0.181 	0.486 
002737 	0.554 	0.147 	0.182 	0.485 
002738 	0.553 	0.146 	0.181 	0.484 
002739 	0.554 	0.148 	0.180 	0.480 
002740 	0.554 	0.148 	0.180 	0.480 
002741 	0.556 	0.147 	0.180 	0.482 
002742 	0.556 	0.150 	0.179 	0.478 
002743 	0.555 	0.149 	0.178 	0.478 
002744 	0.555 	0.148 	0.176 	0.482 
002745 	0.556 	0.147 	0.177 	0.482 
002746 	0.557 	0.148 	0.177 	0.479 
002747 	0.556 	0.150 	0.178 	0.477 
002748 	0.556 	0.150 	0.178 	0.477 
002749 	0.557 	0.150 	0.179 	0.476 
002750 	0.557 	0.148 	0.179 	0.478 
002751 	0.557 	0.149 	0.180 	0.476 
002752 	0.557 	0.150 	0.181 	0.475 
002753 	0.557 	0.149 	0.181 	0.477 
002754 	0.558 	0.150 	0.180 	0.479 
002755 	0.558 	0.148 	0.181 	0.481 
002756 	0.558 	0.147 	0.182 	0.489 
002757 	0.558 	0.147 	0.181 	0.488 
002758 	0.558 	0.147 	0.180 	0.492 
002759 	0.559 	0.144 	0.179 	0.500 
