Text:  THIS DOOR OF AMERICA THAT WOULD OPEN WIDE IF YOU HAD THE RIGHT NAME THE RIGHT SKIN COLOR THE RIGHT NETWORKS 
Conf:  5
Ref:   0d6iSvF1UmA

FRAME 	X 	Y 	W 	H 
003150 	0.634 	0.097 	0.073 	0.188 
003151 	0.634 	0.097 	0.074 	0.187 
003152 	0.634 	0.097 	0.074 	0.182 
003153 	0.634 	0.096 	0.074 	0.181 
003154 	0.633 	0.096 	0.073 	0.179 
003155 	0.633 	0.096 	0.073 	0.179 
003156 	0.632 	0.094 	0.074 	0.180 
003157 	0.632 	0.094 	0.074 	0.179 
003158 	0.632 	0.095 	0.073 	0.177 
003159 	0.632 	0.096 	0.073 	0.177 
003160 	0.632 	0.098 	0.072 	0.175 
003161 	0.634 	0.098 	0.070 	0.177 
003162 	0.635 	0.099 	0.070 	0.175 
003163 	0.636 	0.100 	0.070 	0.176 
003164 	0.638 	0.099 	0.070 	0.178 
003165 	0.638 	0.099 	0.070 	0.178 
003166 	0.637 	0.093 	0.072 	0.190 
003167 	0.638 	0.098 	0.070 	0.179 
003168 	0.639 	0.097 	0.069 	0.180 
003169 	0.640 	0.096 	0.068 	0.181 
003170 	0.640 	0.097 	0.069 	0.179 
003171 	0.641 	0.096 	0.070 	0.182 
003172 	0.641 	0.090 	0.072 	0.194 
003173 	0.642 	0.092 	0.071 	0.191 
003174 	0.643 	0.093 	0.070 	0.190 
003175 	0.643 	0.092 	0.070 	0.194 
003176 	0.643 	0.093 	0.070 	0.194 
003177 	0.644 	0.094 	0.069 	0.194 
003178 	0.645 	0.094 	0.069 	0.197 
003179 	0.646 	0.095 	0.068 	0.195 
003180 	0.645 	0.097 	0.071 	0.192 
003181 	0.645 	0.096 	0.071 	0.191 
003182 	0.645 	0.096 	0.072 	0.192 
003183 	0.645 	0.097 	0.072 	0.191 
003184 	0.645 	0.097 	0.072 	0.193 
003185 	0.645 	0.097 	0.072 	0.192 
003186 	0.645 	0.097 	0.073 	0.191 
003187 	0.645 	0.097 	0.073 	0.191 
003188 	0.645 	0.096 	0.073 	0.192 
003189 	0.645 	0.096 	0.074 	0.192 
003190 	0.645 	0.096 	0.074 	0.192 
003191 	0.645 	0.096 	0.072 	0.192 
003192 	0.645 	0.096 	0.072 	0.192 
003193 	0.644 	0.097 	0.072 	0.191 
003194 	0.644 	0.097 	0.072 	0.192 
003195 	0.644 	0.098 	0.072 	0.190 
003196 	0.644 	0.097 	0.072 	0.191 
003197 	0.644 	0.096 	0.072 	0.193 
003198 	0.644 	0.096 	0.071 	0.194 
003199 	0.643 	0.095 	0.071 	0.195 
003200 	0.643 	0.097 	0.071 	0.194 
003201 	0.642 	0.093 	0.073 	0.195 
003202 	0.641 	0.092 	0.073 	0.195 
003203 	0.641 	0.093 	0.073 	0.194 
003204 	0.641 	0.091 	0.072 	0.197 
003205 	0.641 	0.090 	0.072 	0.198 
003206 	0.640 	0.090 	0.071 	0.195 
003207 	0.640 	0.090 	0.069 	0.193 
003208 	0.640 	0.090 	0.070 	0.192 
003209 	0.640 	0.089 	0.070 	0.192 
003210 	0.640 	0.089 	0.072 	0.193 
003211 	0.640 	0.091 	0.072 	0.193 
003212 	0.641 	0.090 	0.071 	0.191 
003213 	0.642 	0.094 	0.069 	0.182 
003214 	0.642 	0.092 	0.071 	0.183 
003215 	0.642 	0.092 	0.071 	0.183 
003216 	0.641 	0.093 	0.072 	0.184 
003217 	0.641 	0.094 	0.072 	0.184 
003218 	0.642 	0.095 	0.072 	0.182 
003219 	0.641 	0.096 	0.072 	0.182 
003220 	0.642 	0.096 	0.072 	0.182 
003221 	0.640 	0.092 	0.075 	0.191 
003222 	0.641 	0.092 	0.074 	0.197 
003223 	0.640 	0.093 	0.074 	0.196 
003224 	0.640 	0.093 	0.073 	0.196 
003225 	0.640 	0.092 	0.074 	0.197 
003226 	0.640 	0.093 	0.073 	0.195 
003227 	0.639 	0.094 	0.074 	0.192 
003228 	0.638 	0.093 	0.074 	0.193 
003229 	0.638 	0.093 	0.074 	0.193 
003230 	0.638 	0.094 	0.074 	0.190 
003231 	0.638 	0.095 	0.074 	0.190 
003232 	0.637 	0.095 	0.074 	0.188 
003233 	0.637 	0.096 	0.075 	0.184 
003234 	0.637 	0.096 	0.075 	0.184 
003235 	0.636 	0.097 	0.075 	0.184 
003236 	0.637 	0.096 	0.075 	0.185 
003237 	0.637 	0.097 	0.073 	0.184 
003238 	0.637 	0.095 	0.074 	0.191 
003239 	0.637 	0.095 	0.073 	0.191 
003240 	0.637 	0.095 	0.073 	0.191 
003241 	0.636 	0.096 	0.074 	0.190 
003242 	0.636 	0.098 	0.074 	0.184 
003243 	0.636 	0.099 	0.075 	0.183 
003244 	0.635 	0.097 	0.076 	0.185 
003245 	0.634 	0.100 	0.075 	0.182 
003246 	0.634 	0.101 	0.075 	0.183 
003247 	0.634 	0.101 	0.075 	0.184 
003248 	0.635 	0.103 	0.074 	0.188 
003249 	0.635 	0.104 	0.074 	0.188 
003250 	0.635 	0.104 	0.074 	0.187 
003251 	0.634 	0.105 	0.075 	0.186 
003252 	0.634 	0.105 	0.075 	0.186 
003253 	0.634 	0.105 	0.075 	0.186 
003254 	0.634 	0.106 	0.074 	0.185 
003255 	0.634 	0.105 	0.074 	0.186 
003256 	0.633 	0.105 	0.074 	0.186 
003257 	0.633 	0.105 	0.075 	0.185 
003258 	0.632 	0.105 	0.074 	0.184 
003259 	0.632 	0.105 	0.075 	0.181 
003260 	0.632 	0.106 	0.074 	0.179 
003261 	0.632 	0.106 	0.075 	0.179 
003262 	0.631 	0.106 	0.076 	0.178 
003263 	0.632 	0.106 	0.076 	0.177 
003264 	0.631 	0.107 	0.076 	0.176 
003265 	0.631 	0.107 	0.076 	0.176 
003266 	0.632 	0.107 	0.076 	0.177 
003267 	0.631 	0.106 	0.076 	0.177 
003268 	0.631 	0.106 	0.076 	0.177 
003269 	0.631 	0.106 	0.076 	0.177 
003270 	0.631 	0.106 	0.076 	0.178 
003271 	0.631 	0.107 	0.075 	0.177 
003272 	0.631 	0.106 	0.076 	0.178 
003273 	0.631 	0.105 	0.076 	0.178 
003274 	0.631 	0.105 	0.076 	0.179 
003275 	0.631 	0.106 	0.075 	0.179 
003276 	0.632 	0.105 	0.074 	0.181 
003277 	0.632 	0.104 	0.075 	0.183 
003278 	0.632 	0.103 	0.074 	0.185 
003279 	0.632 	0.103 	0.073 	0.184 
003280 	0.632 	0.102 	0.074 	0.183 
003281 	0.633 	0.099 	0.076 	0.185 
003282 	0.633 	0.096 	0.075 	0.185 
003283 	0.634 	0.096 	0.073 	0.186 
003284 	0.636 	0.096 	0.075 	0.190 
003285 	0.636 	0.096 	0.075 	0.192 
003286 	0.637 	0.096 	0.074 	0.188 
003287 	0.638 	0.098 	0.074 	0.184 
003288 	0.638 	0.098 	0.074 	0.185 
003289 	0.638 	0.098 	0.074 	0.184 
003290 	0.638 	0.098 	0.074 	0.184 
003291 	0.638 	0.098 	0.075 	0.184 
003292 	0.637 	0.099 	0.075 	0.183 
003293 	0.637 	0.101 	0.075 	0.183 
003294 	0.638 	0.100 	0.075 	0.184 
003295 	0.638 	0.100 	0.075 	0.184 
003296 	0.638 	0.100 	0.075 	0.183 
003297 	0.638 	0.101 	0.075 	0.182 
003298 	0.638 	0.102 	0.075 	0.182 
003299 	0.638 	0.101 	0.075 	0.184 
003300 	0.638 	0.100 	0.075 	0.185 
003301 	0.638 	0.100 	0.075 	0.186 
003302 	0.638 	0.100 	0.075 	0.184 
003303 	0.638 	0.101 	0.075 	0.182 
003304 	0.638 	0.101 	0.075 	0.181 
003305 	0.638 	0.101 	0.075 	0.181 
003306 	0.637 	0.101 	0.075 	0.181 
003307 	0.638 	0.101 	0.075 	0.182 
003308 	0.638 	0.102 	0.075 	0.181 
003309 	0.637 	0.101 	0.076 	0.181 
003310 	0.637 	0.102 	0.075 	0.181 
003311 	0.637 	0.101 	0.076 	0.183 
003312 	0.637 	0.101 	0.075 	0.182 
003313 	0.637 	0.100 	0.075 	0.184 
003314 	0.637 	0.100 	0.075 	0.185 
003315 	0.637 	0.100 	0.075 	0.185 
003316 	0.637 	0.101 	0.075 	0.185 
003317 	0.637 	0.100 	0.074 	0.186 
003318 	0.637 	0.101 	0.074 	0.186 
003319 	0.637 	0.100 	0.074 	0.186 
003320 	0.636 	0.100 	0.075 	0.183 
003321 	0.635 	0.099 	0.076 	0.181 
003322 	0.634 	0.098 	0.076 	0.182 
003323 	0.633 	0.096 	0.075 	0.183 
003324 	0.633 	0.099 	0.074 	0.179 
003325 	0.632 	0.098 	0.074 	0.182 
003326 	0.632 	0.098 	0.075 	0.188 
003327 	0.633 	0.097 	0.074 	0.190 
003328 	0.633 	0.097 	0.074 	0.189 
003329 	0.634 	0.097 	0.075 	0.188 
003330 	0.634 	0.099 	0.075 	0.187 
003331 	0.635 	0.099 	0.074 	0.187 
003332 	0.635 	0.097 	0.074 	0.190 
003333 	0.635 	0.098 	0.075 	0.188 
003334 	0.635 	0.100 	0.075 	0.185 
003335 	0.635 	0.100 	0.074 	0.180 
003336 	0.635 	0.100 	0.074 	0.181 
003337 	0.635 	0.100 	0.075 	0.180 
003338 	0.636 	0.100 	0.075 	0.180 
003339 	0.636 	0.100 	0.075 	0.181 
003340 	0.636 	0.100 	0.075 	0.181 
003341 	0.636 	0.100 	0.075 	0.180 
003342 	0.636 	0.100 	0.075 	0.181 
003343 	0.636 	0.099 	0.075 	0.182 
003344 	0.636 	0.099 	0.075 	0.181 
003345 	0.636 	0.100 	0.075 	0.180 
003346 	0.636 	0.100 	0.075 	0.180 
003347 	0.636 	0.098 	0.076 	0.182 
003348 	0.636 	0.098 	0.076 	0.182 
003349 	0.636 	0.098 	0.076 	0.182 
003350 	0.636 	0.098 	0.076 	0.181 
003351 	0.636 	0.098 	0.075 	0.183 
003352 	0.637 	0.096 	0.075 	0.184 

WORD START END ASDSCORE
THIS 0.09 0.35 4.8
DOOR 0.35 0.83 6.2
OF 0.83 0.94 4.7
AMERICA 0.94 1.69 3.8
THAT 2.08 2.28 5.4
WOULD 2.28 2.42 6.9
OPEN 2.42 2.79 5.1
WIDE 2.79 3.18 8.8
IF 3.18 3.38 10.2
YOU 3.38 3.50 9.7
HAD 3.50 3.71 9.0
THE 3.71 3.80 9.0
RIGHT 3.80 4.07 8.6
NAME 4.07 4.62 5.2
THE 5.21 5.30 3.6
RIGHT 5.30 5.54 10.1
SKIN 5.54 5.88 7.3
COLOR 5.88 6.34 4.1
THE 6.84 6.95 2.3
RIGHT 6.95 7.20 7.3
NETWORKS 7.20 7.98 6.8
