Text:  BUT COULD JUST SLAM IN YOUR FACE IF YOU HAD THE WRONG RELIGION THE WRONG IMMIGRATION STATUS THE WRONG SKIN COLOR AND I JUST COULDN'T ACCEPT 
Conf:  5
Ref:   0d6iSvF1UmA

FRAME 	X 	Y 	W 	H 
003366 	0.547 	0.148 	0.183 	0.505 
003367 	0.555 	0.140 	0.177 	0.503 
003368 	0.547 	0.146 	0.183 	0.496 
003369 	0.548 	0.147 	0.182 	0.498 
003370 	0.548 	0.144 	0.182 	0.502 
003371 	0.554 	0.138 	0.177 	0.499 
003372 	0.547 	0.144 	0.182 	0.492 
003373 	0.547 	0.144 	0.184 	0.486 
003374 	0.547 	0.145 	0.182 	0.484 
003375 	0.547 	0.145 	0.182 	0.485 
003376 	0.548 	0.144 	0.182 	0.489 
003377 	0.548 	0.144 	0.181 	0.493 
003378 	0.557 	0.141 	0.173 	0.491 
003379 	0.548 	0.148 	0.181 	0.503 
003380 	0.549 	0.149 	0.181 	0.503 
003381 	0.549 	0.152 	0.182 	0.494 
003382 	0.550 	0.148 	0.183 	0.493 
003383 	0.549 	0.147 	0.182 	0.485 
003384 	0.549 	0.146 	0.184 	0.484 
003385 	0.549 	0.145 	0.183 	0.486 
003386 	0.549 	0.146 	0.183 	0.484 
003387 	0.549 	0.144 	0.184 	0.490 
003388 	0.549 	0.141 	0.184 	0.501 
003389 	0.551 	0.141 	0.182 	0.505 
003390 	0.551 	0.141 	0.182 	0.505 
003391 	0.551 	0.143 	0.184 	0.500 
003392 	0.551 	0.143 	0.185 	0.499 
003393 	0.551 	0.144 	0.183 	0.495 
003394 	0.551 	0.143 	0.181 	0.492 
003395 	0.551 	0.143 	0.183 	0.491 
003396 	0.551 	0.141 	0.182 	0.495 
003397 	0.551 	0.143 	0.180 	0.492 
003398 	0.551 	0.141 	0.179 	0.490 
003399 	0.550 	0.141 	0.180 	0.485 
003400 	0.550 	0.141 	0.180 	0.486 
003401 	0.550 	0.143 	0.181 	0.483 
003402 	0.550 	0.143 	0.182 	0.486 
003403 	0.548 	0.145 	0.182 	0.483 
003404 	0.555 	0.141 	0.176 	0.479 
003405 	0.547 	0.146 	0.185 	0.485 
003406 	0.554 	0.141 	0.179 	0.483 
003407 	0.554 	0.139 	0.176 	0.490 
003408 	0.554 	0.139 	0.177 	0.496 
003409 	0.552 	0.140 	0.177 	0.493 
003410 	0.552 	0.140 	0.176 	0.489 
003411 	0.551 	0.144 	0.176 	0.483 
003412 	0.550 	0.144 	0.177 	0.479 
003413 	0.550 	0.144 	0.177 	0.483 
003414 	0.549 	0.145 	0.177 	0.481 
003415 	0.549 	0.145 	0.177 	0.481 
003416 	0.548 	0.147 	0.176 	0.482 
003417 	0.548 	0.148 	0.176 	0.481 
003418 	0.548 	0.148 	0.177 	0.481 
003419 	0.547 	0.149 	0.177 	0.480 
003420 	0.548 	0.148 	0.177 	0.479 
003421 	0.548 	0.148 	0.176 	0.481 
003422 	0.548 	0.148 	0.176 	0.481 
003423 	0.548 	0.147 	0.176 	0.483 
003424 	0.549 	0.147 	0.177 	0.486 
003425 	0.549 	0.148 	0.175 	0.487 
