Text:  COULDN'T VOTE AND I COULDN'T RUN FOR OFFICE SO IN 2000 WHEN IT WAS ANNOUNCED THAT THE CITIZENSHIP APPLICATION FEE WAS GOING TO MORE THAN DOUBLE FROM 95 DOLLARS TO 225 DOLLARS I DECIDED IT WAS TIME TO APPLY BEFORE I COULD NO LONGER AFFORD IT I FILLED OUT A LONG APPLICATION ANSWERING QUESTIONS ABOUT MY CURRENT AND MY PAST AFFILIATIONS 
Conf:  2
Ref:   0d6iSvF1UmA

FRAME 	X 	Y 	W 	H 
004411 	0.542 	0.110 	0.141 	0.366 
004412 	0.537 	0.112 	0.140 	0.366 
004413 	0.533 	0.113 	0.144 	0.361 
004414 	0.528 	0.112 	0.142 	0.357 
004415 	0.528 	0.112 	0.142 	0.357 
004416 	0.525 	0.114 	0.141 	0.355 
004417 	0.521 	0.115 	0.143 	0.355 
004418 	0.515 	0.113 	0.150 	0.359 
004419 	0.510 	0.111 	0.155 	0.359 
004420 	0.511 	0.112 	0.147 	0.359 
004421 	0.507 	0.115 	0.146 	0.351 
004422 	0.504 	0.118 	0.144 	0.352 
004423 	0.500 	0.118 	0.143 	0.353 
004424 	0.498 	0.119 	0.143 	0.360 
004425 	0.495 	0.122 	0.142 	0.366 
004426 	0.491 	0.121 	0.143 	0.367 
004427 	0.486 	0.121 	0.144 	0.365 
004428 	0.483 	0.123 	0.144 	0.360 
004429 	0.479 	0.123 	0.147 	0.359 
004430 	0.476 	0.121 	0.147 	0.364 
004431 	0.474 	0.123 	0.147 	0.357 
004432 	0.471 	0.123 	0.148 	0.355 
004433 	0.468 	0.123 	0.148 	0.359 
004434 	0.469 	0.124 	0.147 	0.357 
004435 	0.467 	0.123 	0.148 	0.355 
004436 	0.466 	0.123 	0.147 	0.358 
004437 	0.466 	0.125 	0.148 	0.357 
004438 	0.465 	0.126 	0.147 	0.361 
004439 	0.466 	0.125 	0.146 	0.365 
004440 	0.466 	0.125 	0.146 	0.365 
004441 	0.468 	0.125 	0.144 	0.369 
004442 	0.469 	0.124 	0.145 	0.376 
004443 	0.468 	0.120 	0.146 	0.383 
004444 	0.469 	0.118 	0.147 	0.376 
004445 	0.472 	0.118 	0.148 	0.373 
004446 	0.474 	0.117 	0.147 	0.377 
004447 	0.476 	0.117 	0.145 	0.386 
004448 	0.479 	0.119 	0.145 	0.392 
004449 	0.479 	0.120 	0.145 	0.392 
004450 	0.482 	0.121 	0.147 	0.382 
004451 	0.483 	0.121 	0.148 	0.374 
004452 	0.484 	0.123 	0.147 	0.372 
004453 	0.486 	0.126 	0.147 	0.367 
004454 	0.487 	0.124 	0.148 	0.370 
004455 	0.489 	0.125 	0.146 	0.370 
004456 	0.489 	0.129 	0.147 	0.365 
004457 	0.490 	0.129 	0.146 	0.366 
004458 	0.491 	0.129 	0.146 	0.366 
004459 	0.493 	0.130 	0.147 	0.364 
004460 	0.495 	0.132 	0.145 	0.365 
004461 	0.497 	0.132 	0.145 	0.367 
004462 	0.499 	0.133 	0.144 	0.373 
004463 	0.501 	0.131 	0.144 	0.376 
004464 	0.502 	0.130 	0.145 	0.376 
004465 	0.502 	0.130 	0.145 	0.376 
004466 	0.503 	0.131 	0.144 	0.373 
004467 	0.506 	0.129 	0.146 	0.372 
004468 	0.508 	0.129 	0.145 	0.371 
004469 	0.510 	0.129 	0.147 	0.370 
004470 	0.512 	0.130 	0.147 	0.372 
004471 	0.514 	0.128 	0.146 	0.376 
004472 	0.511 	0.126 	0.150 	0.384 
004473 	0.515 	0.128 	0.149 	0.377 
004474 	0.516 	0.125 	0.148 	0.386 
004475 	0.519 	0.127 	0.148 	0.383 
004476 	0.522 	0.129 	0.147 	0.379 
004477 	0.524 	0.132 	0.149 	0.372 
004478 	0.525 	0.134 	0.149 	0.366 
004479 	0.530 	0.134 	0.149 	0.366 
004480 	0.532 	0.132 	0.149 	0.374 
004481 	0.536 	0.134 	0.148 	0.375 
004482 	0.542 	0.129 	0.143 	0.374 
004483 	0.545 	0.128 	0.146 	0.377 
004484 	0.547 	0.134 	0.145 	0.375 
004485 	0.551 	0.136 	0.144 	0.371 
004486 	0.553 	0.134 	0.145 	0.372 
004487 	0.556 	0.133 	0.145 	0.371 
004488 	0.559 	0.131 	0.149 	0.375 
004489 	0.563 	0.129 	0.147 	0.377 
004490 	0.563 	0.129 	0.147 	0.377 
004491 	0.566 	0.131 	0.146 	0.375 
004492 	0.563 	0.135 	0.154 	0.365 
004493 	0.567 	0.133 	0.152 	0.367 
004494 	0.571 	0.132 	0.151 	0.371 
004495 	0.576 	0.129 	0.149 	0.377 
004496 	0.578 	0.129 	0.149 	0.375 
004497 	0.580 	0.132 	0.148 	0.372 
004498 	0.583 	0.129 	0.147 	0.376 
004499 	0.585 	0.127 	0.149 	0.379 
004500 	0.586 	0.132 	0.148 	0.379 
004501 	0.588 	0.126 	0.147 	0.380 
004502 	0.590 	0.123 	0.147 	0.387 
004503 	0.591 	0.129 	0.150 	0.385 
004504 	0.593 	0.128 	0.147 	0.386 
004505 	0.593 	0.127 	0.150 	0.386 
004506 	0.594 	0.126 	0.149 	0.389 
004507 	0.597 	0.125 	0.146 	0.387 
004508 	0.596 	0.122 	0.148 	0.392 
004509 	0.596 	0.121 	0.151 	0.391 
004510 	0.596 	0.119 	0.152 	0.392 
004511 	0.597 	0.117 	0.153 	0.395 
004512 	0.597 	0.117 	0.154 	0.394 
004513 	0.598 	0.116 	0.154 	0.392 
004514 	0.599 	0.117 	0.154 	0.391 
004515 	0.599 	0.117 	0.154 	0.391 
004516 	0.599 	0.117 	0.153 	0.390 
004517 	0.599 	0.117 	0.153 	0.392 
004518 	0.599 	0.116 	0.154 	0.393 
004519 	0.599 	0.117 	0.153 	0.391 
004520 	0.600 	0.116 	0.151 	0.391 
004521 	0.601 	0.116 	0.149 	0.392 
004522 	0.600 	0.118 	0.150 	0.394 
004523 	0.600 	0.119 	0.152 	0.393 
004524 	0.600 	0.118 	0.152 	0.393 
004525 	0.599 	0.119 	0.151 	0.394 
004526 	0.600 	0.119 	0.153 	0.386 
004527 	0.600 	0.119 	0.155 	0.379 
004528 	0.601 	0.119 	0.155 	0.378 
004529 	0.602 	0.116 	0.156 	0.384 
004530 	0.602 	0.113 	0.154 	0.393 
004531 	0.602 	0.114 	0.156 	0.386 
004532 	0.603 	0.115 	0.157 	0.385 
004533 	0.605 	0.121 	0.154 	0.386 
004534 	0.605 	0.123 	0.154 	0.388 
004535 	0.605 	0.125 	0.153 	0.386 
004536 	0.604 	0.128 	0.153 	0.383 
004537 	0.602 	0.127 	0.155 	0.384 
004538 	0.602 	0.134 	0.154 	0.378 
004539 	0.600 	0.137 	0.156 	0.381 
004540 	0.600 	0.137 	0.156 	0.381 
004541 	0.598 	0.139 	0.155 	0.379 
004542 	0.597 	0.142 	0.155 	0.390 
004543 	0.593 	0.147 	0.156 	0.395 
004544 	0.593 	0.150 	0.157 	0.396 
004545 	0.589 	0.154 	0.159 	0.390 
004546 	0.588 	0.156 	0.158 	0.389 
004547 	0.584 	0.158 	0.159 	0.386 
004548 	0.583 	0.157 	0.157 	0.384 
004549 	0.580 	0.158 	0.158 	0.384 
004550 	0.575 	0.159 	0.160 	0.384 
004551 	0.573 	0.159 	0.162 	0.387 
004552 	0.569 	0.158 	0.163 	0.386 
004553 	0.567 	0.158 	0.164 	0.385 
004554 	0.564 	0.157 	0.164 	0.384 
004555 	0.562 	0.158 	0.165 	0.388 
004556 	0.560 	0.156 	0.163 	0.390 
004557 	0.557 	0.156 	0.167 	0.391 
004558 	0.554 	0.154 	0.167 	0.397 
004559 	0.559 	0.152 	0.162 	0.399 
004560 	0.557 	0.149 	0.161 	0.405 
004561 	0.556 	0.145 	0.161 	0.415 
004562 	0.553 	0.142 	0.160 	0.413 
004563 	0.552 	0.140 	0.160 	0.406 
004564 	0.550 	0.139 	0.159 	0.401 
004565 	0.550 	0.139 	0.159 	0.401 
004566 	0.547 	0.137 	0.161 	0.402 
004567 	0.546 	0.137 	0.158 	0.401 
004568 	0.544 	0.137 	0.158 	0.398 
004569 	0.543 	0.135 	0.158 	0.401 
004570 	0.542 	0.136 	0.159 	0.402 
004571 	0.542 	0.135 	0.158 	0.405 
004572 	0.541 	0.137 	0.158 	0.405 
004573 	0.542 	0.138 	0.156 	0.406 
004574 	0.542 	0.138 	0.156 	0.413 
004575 	0.539 	0.141 	0.159 	0.404 
004576 	0.539 	0.140 	0.160 	0.404 
004577 	0.539 	0.138 	0.160 	0.400 
004578 	0.537 	0.136 	0.160 	0.402 
004579 	0.537 	0.135 	0.160 	0.401 
004580 	0.536 	0.134 	0.159 	0.401 
004581 	0.534 	0.135 	0.160 	0.402 
004582 	0.534 	0.134 	0.161 	0.400 
004583 	0.533 	0.135 	0.160 	0.400 
004584 	0.531 	0.136 	0.161 	0.398 
004585 	0.529 	0.133 	0.163 	0.406 
004586 	0.529 	0.133 	0.162 	0.410 
004587 	0.528 	0.136 	0.163 	0.410 
004588 	0.526 	0.135 	0.163 	0.415 
004589 	0.524 	0.136 	0.162 	0.415 
004590 	0.524 	0.136 	0.162 	0.415 
004591 	0.523 	0.139 	0.159 	0.413 
004592 	0.520 	0.140 	0.160 	0.411 
004593 	0.518 	0.138 	0.163 	0.415 
004594 	0.516 	0.135 	0.163 	0.414 
004595 	0.515 	0.133 	0.164 	0.413 
004596 	0.513 	0.132 	0.165 	0.406 
004597 	0.510 	0.131 	0.167 	0.401 
004598 	0.508 	0.132 	0.166 	0.399 
004599 	0.508 	0.131 	0.167 	0.405 
004600 	0.504 	0.132 	0.167 	0.403 
004601 	0.502 	0.130 	0.168 	0.404 
004602 	0.508 	0.132 	0.159 	0.402 
004603 	0.505 	0.128 	0.161 	0.409 
004604 	0.504 	0.129 	0.160 	0.407 
004605 	0.503 	0.127 	0.160 	0.409 
004606 	0.501 	0.126 	0.161 	0.410 
004607 	0.501 	0.124 	0.159 	0.411 
004608 	0.500 	0.125 	0.161 	0.411 
004609 	0.499 	0.127 	0.160 	0.407 
004610 	0.499 	0.127 	0.160 	0.406 
004611 	0.498 	0.128 	0.160 	0.406 
004612 	0.497 	0.126 	0.160 	0.408 
004613 	0.496 	0.124 	0.161 	0.408 
004614 	0.497 	0.124 	0.161 	0.409 
004615 	0.497 	0.124 	0.161 	0.409 
004616 	0.498 	0.124 	0.158 	0.410 
004617 	0.497 	0.123 	0.159 	0.411 
004618 	0.497 	0.121 	0.159 	0.414 
004619 	0.496 	0.121 	0.161 	0.418 
004620 	0.496 	0.119 	0.162 	0.419 
004621 	0.497 	0.115 	0.162 	0.425 
004622 	0.497 	0.114 	0.160 	0.428 
004623 	0.498 	0.110 	0.161 	0.437 
004624 	0.499 	0.112 	0.161 	0.438 
004625 	0.500 	0.109 	0.161 	0.434 
004626 	0.500 	0.112 	0.161 	0.425 
004627 	0.501 	0.110 	0.160 	0.425 
004628 	0.500 	0.111 	0.161 	0.422 
004629 	0.501 	0.114 	0.162 	0.420 
004630 	0.502 	0.111 	0.161 	0.430 
004631 	0.502 	0.113 	0.162 	0.430 
004632 	0.504 	0.110 	0.162 	0.435 
004633 	0.505 	0.116 	0.161 	0.427 
004634 	0.507 	0.117 	0.161 	0.422 
004635 	0.508 	0.118 	0.160 	0.421 
004636 	0.508 	0.118 	0.161 	0.423 
004637 	0.501 	0.121 	0.171 	0.411 
