Text:  IN DECEMBER OF 2000 I JOINED HUNDREDS OF OTHER IMMIGRANTS IN A HALL IN BROOKLYN WHERE WE PLEDGED OUR LOYALTY TO A COUNTRY THAT WE HAD LONG CONSIDERED 
Conf:  2
Ref:   0d6iSvF1UmA

FRAME 	X 	Y 	W 	H 
005466 	0.657 	0.135 	0.190 	0.479 
005467 	0.658 	0.133 	0.188 	0.484 
005468 	0.658 	0.136 	0.189 	0.482 
005469 	0.660 	0.140 	0.190 	0.478 
005470 	0.660 	0.140 	0.189 	0.479 
005471 	0.660 	0.139 	0.188 	0.481 
005472 	0.660 	0.138 	0.189 	0.480 
005473 	0.659 	0.140 	0.186 	0.477 
005474 	0.658 	0.139 	0.190 	0.478 
005475 	0.659 	0.140 	0.189 	0.477 
005476 	0.657 	0.142 	0.190 	0.475 
005477 	0.655 	0.143 	0.194 	0.473 
005478 	0.657 	0.143 	0.191 	0.475 
005479 	0.657 	0.140 	0.192 	0.484 
005480 	0.657 	0.140 	0.190 	0.484 
005481 	0.658 	0.144 	0.193 	0.478 
005482 	0.658 	0.144 	0.191 	0.480 
005483 	0.659 	0.145 	0.190 	0.480 
005484 	0.658 	0.146 	0.190 	0.481 
005485 	0.658 	0.149 	0.190 	0.476 
005486 	0.657 	0.149 	0.191 	0.475 
005487 	0.656 	0.146 	0.194 	0.478 
005488 	0.656 	0.146 	0.193 	0.471 
005489 	0.654 	0.146 	0.193 	0.472 
005490 	0.654 	0.146 	0.193 	0.472 
005491 	0.655 	0.138 	0.176 	0.480 
005492 	0.655 	0.138 	0.178 	0.480 
005493 	0.653 	0.147 	0.193 	0.475 
005494 	0.654 	0.147 	0.194 	0.480 
005495 	0.653 	0.152 	0.196 	0.474 
005496 	0.653 	0.155 	0.194 	0.482 
005497 	0.653 	0.153 	0.194 	0.492 
005498 	0.650 	0.154 	0.199 	0.493 
005499 	0.650 	0.156 	0.200 	0.488 
005500 	0.651 	0.148 	0.187 	0.481 
005501 	0.649 	0.146 	0.185 	0.478 
005502 	0.649 	0.149 	0.187 	0.474 
005503 	0.649 	0.148 	0.187 	0.476 
005504 	0.648 	0.147 	0.182 	0.479 
005505 	0.648 	0.148 	0.182 	0.476 
005506 	0.648 	0.148 	0.184 	0.476 
005507 	0.646 	0.147 	0.181 	0.478 
005508 	0.647 	0.146 	0.183 	0.477 
