Text:  CITIZEN TOOK 16 YEARS A SHORT TIMELINE WHEN YOU COMPARE IT TO OTHER IMMIGRANT 
Conf:  2
Ref:   0d6iSvF1UmA

FRAME 	X 	Y 	W 	H 
005863 	0.605 	0.117 	0.073 	0.175 
005864 	0.605 	0.117 	0.073 	0.175 
005865 	0.605 	0.117 	0.073 	0.175 
005866 	0.605 	0.117 	0.073 	0.174 
005867 	0.605 	0.116 	0.073 	0.175 
005868 	0.605 	0.117 	0.073 	0.174 
005869 	0.606 	0.116 	0.073 	0.175 
005870 	0.606 	0.116 	0.073 	0.175 
005871 	0.607 	0.116 	0.073 	0.174 
005872 	0.606 	0.115 	0.075 	0.176 
005873 	0.606 	0.115 	0.074 	0.175 
005874 	0.606 	0.114 	0.075 	0.176 
005875 	0.607 	0.114 	0.074 	0.174 
005876 	0.607 	0.113 	0.074 	0.176 
005877 	0.607 	0.112 	0.074 	0.176 
005878 	0.607 	0.111 	0.074 	0.177 
005879 	0.607 	0.109 	0.074 	0.179 
005880 	0.607 	0.106 	0.073 	0.180 
005881 	0.607 	0.105 	0.074 	0.179 
005882 	0.605 	0.105 	0.074 	0.175 
005883 	0.605 	0.103 	0.074 	0.177 
005884 	0.605 	0.102 	0.075 	0.178 
005885 	0.604 	0.103 	0.075 	0.178 
005886 	0.605 	0.105 	0.075 	0.178 
005887 	0.605 	0.107 	0.076 	0.177 
005888 	0.605 	0.108 	0.073 	0.174 
005889 	0.605 	0.108 	0.074 	0.175 
005890 	0.605 	0.108 	0.074 	0.175 
005891 	0.605 	0.109 	0.074 	0.174 
005892 	0.605 	0.107 	0.073 	0.175 
005893 	0.605 	0.106 	0.075 	0.177 
005894 	0.605 	0.105 	0.074 	0.177 
005895 	0.605 	0.105 	0.074 	0.178 
005896 	0.605 	0.105 	0.073 	0.178 
005897 	0.605 	0.106 	0.074 	0.178 
005898 	0.605 	0.106 	0.075 	0.178 
005899 	0.605 	0.107 	0.075 	0.177 
005900 	0.605 	0.109 	0.075 	0.177 
005901 	0.605 	0.110 	0.074 	0.177 
005902 	0.606 	0.110 	0.074 	0.177 
005903 	0.606 	0.111 	0.074 	0.176 
005904 	0.606 	0.112 	0.073 	0.175 
005905 	0.607 	0.113 	0.073 	0.173 
005906 	0.607 	0.114 	0.073 	0.173 
005907 	0.607 	0.114 	0.073 	0.173 
005908 	0.607 	0.114 	0.072 	0.173 
005909 	0.607 	0.114 	0.073 	0.173 
005910 	0.607 	0.113 	0.073 	0.172 
005911 	0.607 	0.113 	0.073 	0.174 
005912 	0.608 	0.113 	0.072 	0.174 
005913 	0.608 	0.113 	0.073 	0.175 
005914 	0.608 	0.113 	0.072 	0.175 
005915 	0.608 	0.113 	0.072 	0.175 
005916 	0.608 	0.113 	0.073 	0.177 
005917 	0.609 	0.112 	0.073 	0.178 
005918 	0.609 	0.113 	0.072 	0.178 
005919 	0.610 	0.112 	0.072 	0.181 
005920 	0.611 	0.111 	0.070 	0.182 
005921 	0.611 	0.108 	0.071 	0.187 
005922 	0.611 	0.107 	0.071 	0.188 
005923 	0.611 	0.104 	0.071 	0.191 
005924 	0.612 	0.101 	0.071 	0.189 
005925 	0.611 	0.102 	0.072 	0.181 
005926 	0.611 	0.100 	0.071 	0.183 
005927 	0.612 	0.101 	0.070 	0.181 
005928 	0.613 	0.102 	0.069 	0.181 
005929 	0.614 	0.102 	0.070 	0.183 
005930 	0.615 	0.102 	0.068 	0.185 
005931 	0.616 	0.101 	0.067 	0.185 
005932 	0.617 	0.100 	0.068 	0.186 
005933 	0.617 	0.099 	0.069 	0.185 
005934 	0.617 	0.099 	0.071 	0.183 
005935 	0.617 	0.100 	0.071 	0.183 
005936 	0.618 	0.101 	0.071 	0.186 
005937 	0.619 	0.099 	0.070 	0.187 
005938 	0.621 	0.097 	0.071 	0.190 
005939 	0.621 	0.097 	0.071 	0.190 
005940 	0.621 	0.097 	0.071 	0.190 
005941 	0.623 	0.096 	0.072 	0.191 
005942 	0.624 	0.096 	0.071 	0.190 
005943 	0.625 	0.095 	0.071 	0.189 
005944 	0.627 	0.096 	0.071 	0.192 
005945 	0.628 	0.098 	0.072 	0.191 
005946 	0.629 	0.097 	0.073 	0.192 
005947 	0.632 	0.101 	0.073 	0.185 
005948 	0.635 	0.099 	0.072 	0.185 
005949 	0.636 	0.099 	0.074 	0.184 
005950 	0.639 	0.098 	0.073 	0.186 
005951 	0.640 	0.097 	0.072 	0.185 
005952 	0.642 	0.098 	0.071 	0.185 
005953 	0.644 	0.099 	0.071 	0.184 
005954 	0.646 	0.097 	0.071 	0.187 
005955 	0.646 	0.099 	0.072 	0.186 
005956 	0.649 	0.097 	0.071 	0.188 
005957 	0.651 	0.097 	0.071 	0.191 
005958 	0.652 	0.097 	0.070 	0.190 
005959 	0.652 	0.097 	0.072 	0.192 
005960 	0.655 	0.097 	0.071 	0.191 
005961 	0.655 	0.098 	0.072 	0.193 
005962 	0.656 	0.100 	0.073 	0.190 
005963 	0.659 	0.101 	0.073 	0.185 
005964 	0.661 	0.099 	0.075 	0.187 
005965 	0.661 	0.099 	0.075 	0.187 
005966 	0.664 	0.099 	0.073 	0.188 
005967 	0.665 	0.099 	0.073 	0.188 
005968 	0.667 	0.098 	0.071 	0.189 
005969 	0.669 	0.098 	0.071 	0.186 
005970 	0.671 	0.098 	0.071 	0.185 
005971 	0.672 	0.097 	0.072 	0.189 
005972 	0.674 	0.096 	0.072 	0.193 
005973 	0.676 	0.095 	0.073 	0.193 
005974 	0.678 	0.098 	0.072 	0.189 
005975 	0.681 	0.100 	0.072 	0.187 
005976 	0.683 	0.100 	0.073 	0.185 
005977 	0.685 	0.097 	0.076 	0.186 
005978 	0.688 	0.097 	0.076 	0.188 
005979 	0.691 	0.097 	0.074 	0.186 
005980 	0.694 	0.100 	0.073 	0.181 
005981 	0.697 	0.098 	0.072 	0.184 
005982 	0.699 	0.098 	0.072 	0.192 
005983 	0.701 	0.101 	0.072 	0.191 
005984 	0.703 	0.102 	0.071 	0.189 
005985 	0.704 	0.102 	0.073 	0.188 
005986 	0.705 	0.102 	0.074 	0.187 
005987 	0.705 	0.101 	0.074 	0.188 
