Text:  THE ATTACKS OF SEPTEMBER 11 2001 CHANGED THE IMMIGRATION LANDSCAPE FOR DECADES TO COME 
Conf:  4
Ref:   0d6iSvF1UmA

FRAME 	X 	Y 	W 	H 
006178 	0.736 	0.106 	0.071 	0.190 
006179 	0.735 	0.104 	0.073 	0.190 
006180 	0.734 	0.102 	0.073 	0.188 
006181 	0.733 	0.100 	0.072 	0.189 
006182 	0.732 	0.100 	0.072 	0.189 
006183 	0.731 	0.100 	0.070 	0.190 
006184 	0.730 	0.100 	0.072 	0.189 
006185 	0.728 	0.100 	0.073 	0.188 
006186 	0.727 	0.102 	0.070 	0.186 
006187 	0.726 	0.101 	0.068 	0.191 
006188 	0.725 	0.101 	0.069 	0.192 
006189 	0.724 	0.099 	0.069 	0.192 
006190 	0.724 	0.099 	0.069 	0.192 
006191 	0.721 	0.102 	0.070 	0.187 
006192 	0.718 	0.104 	0.073 	0.182 
006193 	0.714 	0.109 	0.072 	0.177 
006194 	0.711 	0.112 	0.074 	0.173 
006195 	0.711 	0.104 	0.069 	0.184 
006196 	0.710 	0.107 	0.068 	0.183 
006197 	0.708 	0.107 	0.069 	0.182 
006198 	0.706 	0.104 	0.068 	0.185 
006199 	0.705 	0.105 	0.070 	0.185 
006200 	0.704 	0.103 	0.068 	0.186 
006201 	0.702 	0.102 	0.067 	0.187 
006202 	0.701 	0.104 	0.067 	0.186 
006203 	0.698 	0.106 	0.067 	0.185 
006204 	0.696 	0.106 	0.067 	0.181 
006205 	0.693 	0.107 	0.069 	0.179 
006206 	0.690 	0.107 	0.072 	0.178 
006207 	0.688 	0.110 	0.070 	0.175 
006208 	0.687 	0.111 	0.070 	0.174 
006209 	0.686 	0.103 	0.065 	0.187 
006210 	0.684 	0.103 	0.066 	0.188 
006211 	0.682 	0.104 	0.066 	0.190 
006212 	0.680 	0.104 	0.067 	0.189 
006213 	0.677 	0.102 	0.069 	0.190 
006214 	0.676 	0.102 	0.069 	0.189 
006215 	0.676 	0.102 	0.069 	0.189 
006216 	0.675 	0.101 	0.069 	0.190 
006217 	0.674 	0.102 	0.069 	0.190 
006218 	0.672 	0.101 	0.069 	0.191 
006219 	0.670 	0.102 	0.069 	0.188 
006220 	0.668 	0.105 	0.069 	0.185 
006221 	0.666 	0.106 	0.070 	0.182 
006222 	0.664 	0.106 	0.071 	0.182 
006223 	0.662 	0.107 	0.071 	0.180 
006224 	0.661 	0.108 	0.071 	0.179 
006225 	0.660 	0.107 	0.072 	0.179 
006226 	0.659 	0.107 	0.073 	0.181 
006227 	0.659 	0.103 	0.068 	0.188 
006228 	0.657 	0.102 	0.068 	0.190 
006229 	0.656 	0.101 	0.069 	0.187 
006230 	0.656 	0.101 	0.068 	0.187 
006231 	0.655 	0.101 	0.068 	0.187 
006232 	0.655 	0.100 	0.067 	0.187 
006233 	0.654 	0.101 	0.068 	0.187 
006234 	0.653 	0.100 	0.069 	0.188 
006235 	0.653 	0.100 	0.067 	0.190 
006236 	0.652 	0.101 	0.068 	0.189 
006237 	0.652 	0.102 	0.067 	0.190 
006238 	0.652 	0.103 	0.067 	0.189 
006239 	0.651 	0.102 	0.068 	0.189 
006240 	0.651 	0.102 	0.068 	0.189 
006241 	0.651 	0.102 	0.068 	0.189 
006242 	0.650 	0.101 	0.068 	0.192 
006243 	0.650 	0.102 	0.068 	0.192 
006244 	0.649 	0.100 	0.069 	0.193 
006245 	0.649 	0.101 	0.069 	0.192 
006246 	0.649 	0.102 	0.068 	0.191 
006247 	0.649 	0.100 	0.069 	0.192 
006248 	0.649 	0.099 	0.070 	0.192 
006249 	0.649 	0.097 	0.071 	0.193 
006250 	0.650 	0.095 	0.071 	0.193 
006251 	0.650 	0.093 	0.071 	0.193 
006252 	0.650 	0.092 	0.072 	0.192 
006253 	0.650 	0.092 	0.071 	0.192 
006254 	0.650 	0.098 	0.072 	0.184 
006255 	0.649 	0.091 	0.072 	0.194 
006256 	0.650 	0.090 	0.072 	0.195 
006257 	0.651 	0.089 	0.073 	0.195 
006258 	0.652 	0.096 	0.073 	0.184 
006259 	0.654 	0.096 	0.073 	0.183 
006260 	0.654 	0.097 	0.072 	0.180 
006261 	0.654 	0.098 	0.073 	0.178 
006262 	0.655 	0.097 	0.073 	0.179 
006263 	0.656 	0.097 	0.073 	0.178 
006264 	0.656 	0.094 	0.073 	0.184 
006265 	0.656 	0.094 	0.073 	0.184 
006266 	0.657 	0.097 	0.072 	0.178 
006267 	0.656 	0.094 	0.074 	0.185 
006268 	0.657 	0.096 	0.075 	0.179 
006269 	0.657 	0.095 	0.074 	0.181 
006270 	0.657 	0.094 	0.074 	0.181 
006271 	0.657 	0.096 	0.075 	0.178 
006272 	0.657 	0.097 	0.074 	0.175 
006273 	0.657 	0.098 	0.076 	0.181 
006274 	0.658 	0.098 	0.073 	0.175 
006275 	0.659 	0.098 	0.073 	0.174 
006276 	0.659 	0.098 	0.074 	0.180 
006277 	0.660 	0.097 	0.073 	0.180 
006278 	0.660 	0.099 	0.073 	0.179 
006279 	0.660 	0.098 	0.073 	0.181 
006280 	0.660 	0.098 	0.073 	0.181 
006281 	0.660 	0.099 	0.073 	0.180 
006282 	0.660 	0.098 	0.074 	0.182 
006283 	0.660 	0.098 	0.074 	0.183 
006284 	0.659 	0.099 	0.073 	0.183 
006285 	0.659 	0.100 	0.074 	0.185 
006286 	0.659 	0.099 	0.074 	0.185 
006287 	0.658 	0.101 	0.074 	0.182 
006288 	0.658 	0.100 	0.074 	0.181 
006289 	0.658 	0.101 	0.075 	0.180 
006290 	0.658 	0.101 	0.075 	0.180 
006291 	0.659 	0.101 	0.074 	0.179 
006292 	0.658 	0.101 	0.075 	0.179 
