Text:  AND IN THE MIDST OF IT WE WERE IN AN ELECTION CYCLE TWO THINGS HAPPENED AS WE COPED WITH LOSS AND RECOVERY IN NEW YORK CITY 
Conf:  4
Ref:   0d6iSvF1UmA

FRAME 	X 	Y 	W 	H 
006506 	0.605 	0.145 	0.178 	0.488 
006507 	0.603 	0.151 	0.177 	0.484 
006508 	0.605 	0.138 	0.179 	0.497 
006509 	0.602 	0.137 	0.180 	0.490 
006510 	0.601 	0.135 	0.179 	0.478 
006511 	0.601 	0.137 	0.179 	0.470 
006512 	0.601 	0.136 	0.179 	0.468 
006513 	0.600 	0.137 	0.181 	0.472 
006514 	0.599 	0.137 	0.182 	0.465 
006515 	0.599 	0.137 	0.182 	0.465 
006516 	0.597 	0.138 	0.181 	0.465 
006517 	0.599 	0.139 	0.184 	0.471 
006518 	0.599 	0.139 	0.186 	0.477 
006519 	0.599 	0.143 	0.183 	0.479 
006520 	0.599 	0.148 	0.185 	0.478 
006521 	0.599 	0.149 	0.185 	0.471 
006522 	0.600 	0.150 	0.186 	0.469 
006523 	0.603 	0.149 	0.187 	0.465 
006524 	0.604 	0.147 	0.187 	0.460 
006525 	0.606 	0.148 	0.187 	0.458 
006526 	0.607 	0.150 	0.186 	0.467 
006527 	0.607 	0.150 	0.187 	0.468 
006528 	0.608 	0.151 	0.188 	0.466 
006529 	0.611 	0.152 	0.187 	0.465 
006530 	0.611 	0.151 	0.187 	0.466 
006531 	0.609 	0.152 	0.188 	0.466 
006532 	0.610 	0.151 	0.188 	0.466 
006533 	0.611 	0.152 	0.187 	0.466 
006534 	0.612 	0.151 	0.185 	0.470 
006535 	0.613 	0.153 	0.186 	0.470 
006536 	0.614 	0.152 	0.187 	0.473 
006537 	0.613 	0.151 	0.188 	0.476 
006538 	0.616 	0.157 	0.183 	0.468 
006539 	0.617 	0.152 	0.180 	0.473 
006540 	0.617 	0.152 	0.180 	0.473 
006541 	0.618 	0.152 	0.178 	0.473 
006542 	0.618 	0.155 	0.177 	0.467 
006543 	0.622 	0.153 	0.177 	0.468 
006544 	0.625 	0.150 	0.182 	0.478 
006545 	0.626 	0.152 	0.184 	0.471 
006546 	0.628 	0.150 	0.181 	0.472 
006547 	0.630 	0.147 	0.184 	0.482 
006548 	0.633 	0.152 	0.182 	0.475 
006549 	0.635 	0.150 	0.183 	0.482 
006550 	0.637 	0.149 	0.186 	0.491 
006551 	0.639 	0.147 	0.184 	0.493 
006552 	0.642 	0.149 	0.182 	0.483 
006553 	0.643 	0.150 	0.185 	0.481 
006554 	0.645 	0.149 	0.180 	0.481 
006555 	0.644 	0.148 	0.183 	0.479 
006556 	0.646 	0.148 	0.184 	0.477 
006557 	0.648 	0.147 	0.182 	0.478 
006558 	0.648 	0.149 	0.184 	0.477 
006559 	0.647 	0.151 	0.184 	0.482 
006560 	0.647 	0.156 	0.184 	0.478 
006561 	0.646 	0.159 	0.184 	0.469 
006562 	0.646 	0.160 	0.183 	0.467 
006563 	0.646 	0.162 	0.183 	0.468 
006564 	0.647 	0.161 	0.182 	0.470 
006565 	0.647 	0.161 	0.182 	0.470 
006566 	0.645 	0.163 	0.182 	0.472 
006567 	0.645 	0.165 	0.184 	0.470 
006568 	0.644 	0.168 	0.183 	0.468 
006569 	0.642 	0.169 	0.183 	0.468 
006570 	0.640 	0.174 	0.183 	0.467 
006571 	0.639 	0.170 	0.184 	0.478 
006572 	0.638 	0.169 	0.182 	0.473 
006573 	0.637 	0.170 	0.184 	0.471 
006574 	0.636 	0.169 	0.186 	0.470 
006575 	0.634 	0.169 	0.184 	0.467 
006576 	0.633 	0.169 	0.185 	0.465 
006577 	0.633 	0.169 	0.185 	0.462 
006578 	0.632 	0.167 	0.185 	0.461 
006579 	0.630 	0.167 	0.186 	0.462 
006580 	0.630 	0.168 	0.187 	0.461 
006581 	0.630 	0.168 	0.186 	0.458 
006582 	0.629 	0.168 	0.187 	0.456 
006583 	0.629 	0.168 	0.186 	0.457 
006584 	0.629 	0.168 	0.184 	0.457 
006585 	0.629 	0.167 	0.185 	0.458 
006586 	0.629 	0.167 	0.185 	0.458 
006587 	0.629 	0.166 	0.186 	0.459 
006588 	0.628 	0.165 	0.186 	0.462 
006589 	0.629 	0.165 	0.185 	0.462 
006590 	0.629 	0.165 	0.185 	0.462 
006591 	0.629 	0.166 	0.184 	0.460 
006592 	0.628 	0.167 	0.184 	0.457 
006593 	0.629 	0.170 	0.182 	0.453 
006594 	0.629 	0.169 	0.183 	0.455 
