Text:  ELECTED MICHAEL BLOOMBERG MAYOR OF NEW YORK CITY WE ALSO ADOPTED BY BALLOT REFERENDUM THE OFFICE OF IMMIGRANT AFFAIRS FOR THE CITY OF NEW YORK 
Conf:  6
Ref:   0d6iSvF1UmA

FRAME 	X 	Y 	W 	H 
006778 	0.640 	0.098 	0.074 	0.184 
006779 	0.639 	0.098 	0.073 	0.184 
006780 	0.638 	0.099 	0.073 	0.185 
006781 	0.638 	0.099 	0.073 	0.185 
006782 	0.636 	0.099 	0.074 	0.185 
006783 	0.636 	0.100 	0.074 	0.185 
006784 	0.635 	0.100 	0.073 	0.185 
006785 	0.636 	0.100 	0.073 	0.187 
006786 	0.635 	0.102 	0.074 	0.185 
006787 	0.635 	0.101 	0.075 	0.181 
006788 	0.635 	0.102 	0.074 	0.180 
006789 	0.636 	0.100 	0.075 	0.183 
006790 	0.636 	0.100 	0.075 	0.183 
006791 	0.637 	0.101 	0.074 	0.181 
006792 	0.638 	0.102 	0.073 	0.179 
006793 	0.639 	0.102 	0.074 	0.177 
006794 	0.640 	0.104 	0.072 	0.175 
006795 	0.641 	0.104 	0.072 	0.182 
006796 	0.642 	0.104 	0.071 	0.186 
006797 	0.642 	0.105 	0.072 	0.186 
006798 	0.642 	0.106 	0.072 	0.183 
006799 	0.643 	0.105 	0.072 	0.182 
006800 	0.644 	0.104 	0.072 	0.182 
006801 	0.644 	0.104 	0.072 	0.181 
006802 	0.645 	0.105 	0.072 	0.179 
006803 	0.646 	0.106 	0.072 	0.179 
006804 	0.646 	0.106 	0.072 	0.182 
006805 	0.647 	0.106 	0.072 	0.180 
006806 	0.647 	0.106 	0.072 	0.179 
006807 	0.647 	0.106 	0.071 	0.178 
006808 	0.648 	0.105 	0.071 	0.180 
006809 	0.648 	0.104 	0.072 	0.182 
006810 	0.649 	0.105 	0.071 	0.182 
006811 	0.650 	0.105 	0.070 	0.183 
006812 	0.650 	0.104 	0.070 	0.184 
006813 	0.650 	0.105 	0.071 	0.184 
006814 	0.651 	0.104 	0.072 	0.186 
006815 	0.651 	0.104 	0.072 	0.186 
006816 	0.651 	0.104 	0.073 	0.186 
006817 	0.651 	0.103 	0.073 	0.187 
