Text:  FIVE MONTHS AFTER THAT ELECTION THE NEWLY ELECTED MAYOR APPOINTED ME THE FIRST COMMISSIONER OF IMMIGRANT AFFAIRS FOR THIS NEWLY ESTABLISHED OFFICE 
Conf:  4
Ref:   0d6iSvF1UmA

FRAME 	X 	Y 	W 	H 
007087 	0.570 	0.142 	0.188 	0.467 
007088 	0.571 	0.142 	0.184 	0.462 
007089 	0.572 	0.146 	0.183 	0.461 
007090 	0.572 	0.146 	0.183 	0.461 
007091 	0.575 	0.146 	0.183 	0.472 
007092 	0.579 	0.142 	0.181 	0.487 
007093 	0.583 	0.139 	0.182 	0.501 
007094 	0.587 	0.142 	0.182 	0.484 
007095 	0.592 	0.144 	0.182 	0.472 
007096 	0.593 	0.149 	0.185 	0.454 
007097 	0.595 	0.148 	0.184 	0.459 
007098 	0.599 	0.148 	0.185 	0.464 
007099 	0.602 	0.151 	0.183 	0.467 
007100 	0.604 	0.154 	0.184 	0.464 
007101 	0.607 	0.157 	0.185 	0.460 
007102 	0.612 	0.156 	0.188 	0.457 
007103 	0.614 	0.155 	0.187 	0.457 
007104 	0.619 	0.151 	0.185 	0.463 
007105 	0.624 	0.151 	0.184 	0.466 
007106 	0.628 	0.148 	0.185 	0.466 
007107 	0.636 	0.142 	0.182 	0.469 
007108 	0.642 	0.142 	0.181 	0.458 
007109 	0.648 	0.138 	0.178 	0.466 
007110 	0.653 	0.136 	0.177 	0.467 
007111 	0.657 	0.133 	0.177 	0.472 
007112 	0.660 	0.131 	0.176 	0.480 
007113 	0.655 	0.135 	0.181 	0.489 
007114 	0.659 	0.135 	0.181 	0.488 
007115 	0.659 	0.135 	0.181 	0.488 
007116 	0.662 	0.137 	0.183 	0.480 
007117 	0.664 	0.139 	0.182 	0.470 
007118 	0.665 	0.137 	0.183 	0.469 
007119 	0.666 	0.139 	0.181 	0.472 
007120 	0.668 	0.140 	0.181 	0.476 
007121 	0.668 	0.142 	0.181 	0.472 
007122 	0.667 	0.143 	0.181 	0.473 
007123 	0.668 	0.141 	0.181 	0.479 
007124 	0.669 	0.142 	0.180 	0.474 
007125 	0.669 	0.141 	0.180 	0.473 
007126 	0.669 	0.141 	0.181 	0.475 
007127 	0.669 	0.140 	0.181 	0.477 
007128 	0.669 	0.142 	0.182 	0.470 
007129 	0.670 	0.141 	0.182 	0.469 
007130 	0.670 	0.141 	0.185 	0.468 
007131 	0.671 	0.144 	0.183 	0.464 
007132 	0.672 	0.143 	0.184 	0.464 
007133 	0.673 	0.143 	0.186 	0.466 
007134 	0.672 	0.143 	0.188 	0.466 
007135 	0.673 	0.141 	0.189 	0.470 
007136 	0.674 	0.141 	0.189 	0.473 
007137 	0.675 	0.142 	0.185 	0.475 
007138 	0.677 	0.140 	0.185 	0.479 
007139 	0.677 	0.140 	0.186 	0.481 
007140 	0.677 	0.140 	0.186 	0.481 
007141 	0.679 	0.140 	0.187 	0.480 
007142 	0.680 	0.141 	0.186 	0.484 
007143 	0.681 	0.141 	0.186 	0.483 
007144 	0.680 	0.141 	0.185 	0.485 
007145 	0.681 	0.142 	0.184 	0.486 
007146 	0.681 	0.141 	0.185 	0.490 
007147 	0.682 	0.141 	0.185 	0.494 
007148 	0.683 	0.143 	0.186 	0.491 
007149 	0.684 	0.142 	0.184 	0.494 
007150 	0.683 	0.142 	0.182 	0.499 
007151 	0.685 	0.144 	0.181 	0.495 
007152 	0.685 	0.144 	0.180 	0.495 
007153 	0.685 	0.146 	0.181 	0.493 
007154 	0.685 	0.145 	0.182 	0.493 
007155 	0.685 	0.143 	0.180 	0.496 
007156 	0.685 	0.142 	0.182 	0.497 
007157 	0.686 	0.141 	0.181 	0.497 
007158 	0.687 	0.140 	0.180 	0.496 
007159 	0.688 	0.141 	0.184 	0.483 
007160 	0.689 	0.142 	0.184 	0.473 
007161 	0.690 	0.137 	0.184 	0.469 
007162 	0.690 	0.134 	0.182 	0.471 
007163 	0.689 	0.132 	0.180 	0.471 
007164 	0.687 	0.136 	0.180 	0.466 
007165 	0.687 	0.136 	0.180 	0.466 
007166 	0.685 	0.135 	0.181 	0.465 
007167 	0.684 	0.139 	0.182 	0.460 
007168 	0.683 	0.139 	0.182 	0.463 
007169 	0.684 	0.139 	0.182 	0.465 
007170 	0.684 	0.140 	0.182 	0.467 
007171 	0.683 	0.140 	0.182 	0.470 
007172 	0.684 	0.137 	0.182 	0.480 
007173 	0.684 	0.140 	0.183 	0.478 
007174 	0.683 	0.142 	0.183 	0.479 
007175 	0.683 	0.140 	0.184 	0.486 
007176 	0.683 	0.142 	0.185 	0.485 
007177 	0.681 	0.143 	0.190 	0.483 
007178 	0.679 	0.143 	0.189 	0.480 
007179 	0.679 	0.143 	0.190 	0.484 
007180 	0.678 	0.145 	0.187 	0.477 
007181 	0.678 	0.147 	0.187 	0.466 
007182 	0.675 	0.148 	0.185 	0.471 
007183 	0.675 	0.143 	0.181 	0.485 
007184 	0.675 	0.143 	0.181 	0.487 
007185 	0.674 	0.141 	0.179 	0.495 
007186 	0.671 	0.143 	0.180 	0.493 
007187 	0.672 	0.147 	0.182 	0.481 
007188 	0.671 	0.146 	0.180 	0.479 
007189 	0.669 	0.146 	0.184 	0.479 
007190 	0.669 	0.146 	0.184 	0.479 
007191 	0.666 	0.147 	0.182 	0.474 
007192 	0.665 	0.143 	0.184 	0.480 
007193 	0.664 	0.144 	0.184 	0.477 
007194 	0.663 	0.143 	0.186 	0.480 
007195 	0.661 	0.142 	0.185 	0.479 
007196 	0.660 	0.141 	0.184 	0.480 
007197 	0.659 	0.142 	0.186 	0.479 
007198 	0.658 	0.142 	0.188 	0.479 
007199 	0.656 	0.143 	0.188 	0.476 
007200 	0.655 	0.143 	0.190 	0.478 
007201 	0.653 	0.141 	0.194 	0.480 
007202 	0.653 	0.138 	0.192 	0.482 
007203 	0.652 	0.136 	0.193 	0.486 
007204 	0.653 	0.132 	0.183 	0.483 
007205 	0.653 	0.133 	0.181 	0.482 
007206 	0.653 	0.132 	0.180 	0.481 
007207 	0.653 	0.133 	0.179 	0.483 
007208 	0.654 	0.137 	0.177 	0.479 
007209 	0.652 	0.134 	0.176 	0.479 
007210 	0.651 	0.135 	0.176 	0.482 
007211 	0.651 	0.135 	0.176 	0.482 
007212 	0.650 	0.133 	0.179 	0.485 
007213 	0.649 	0.132 	0.179 	0.485 
007214 	0.650 	0.128 	0.179 	0.491 
007215 	0.650 	0.128 	0.179 	0.491 
007216 	0.649 	0.129 	0.179 	0.487 
007217 	0.647 	0.129 	0.178 	0.487 
007218 	0.647 	0.129 	0.179 	0.488 
007219 	0.648 	0.131 	0.176 	0.487 
007220 	0.647 	0.128 	0.175 	0.494 
007221 	0.647 	0.128 	0.176 	0.495 
007222 	0.645 	0.127 	0.180 	0.479 
007223 	0.645 	0.126 	0.179 	0.477 
007224 	0.645 	0.129 	0.181 	0.478 
007225 	0.646 	0.129 	0.178 	0.489 
007226 	0.647 	0.129 	0.179 	0.487 
007227 	0.645 	0.133 	0.179 	0.481 
007228 	0.645 	0.136 	0.181 	0.474 
007229 	0.644 	0.136 	0.179 	0.473 
007230 	0.642 	0.136 	0.181 	0.472 
007231 	0.642 	0.137 	0.181 	0.468 
007232 	0.642 	0.135 	0.181 	0.471 
007233 	0.642 	0.133 	0.182 	0.469 
007234 	0.642 	0.136 	0.182 	0.462 
007235 	0.641 	0.141 	0.182 	0.455 
007236 	0.642 	0.142 	0.178 	0.458 
007237 	0.641 	0.145 	0.178 	0.462 
007238 	0.643 	0.140 	0.179 	0.479 
007239 	0.642 	0.146 	0.180 	0.481 
007240 	0.642 	0.146 	0.180 	0.481 
007241 	0.643 	0.148 	0.180 	0.481 
007242 	0.642 	0.151 	0.182 	0.479 
007243 	0.642 	0.152 	0.181 	0.476 
007244 	0.641 	0.151 	0.183 	0.476 
007245 	0.640 	0.152 	0.181 	0.472 
007246 	0.640 	0.152 	0.182 	0.470 
007247 	0.638 	0.151 	0.183 	0.465 
007248 	0.637 	0.148 	0.182 	0.466 
007249 	0.635 	0.148 	0.185 	0.464 
007250 	0.633 	0.143 	0.184 	0.470 
007251 	0.633 	0.141 	0.182 	0.467 
007252 	0.629 	0.137 	0.184 	0.463 
007253 	0.626 	0.137 	0.185 	0.457 
007254 	0.624 	0.139 	0.186 	0.454 
007255 	0.624 	0.141 	0.185 	0.459 
007256 	0.622 	0.148 	0.181 	0.456 
007257 	0.620 	0.149 	0.179 	0.457 
007258 	0.620 	0.149 	0.179 	0.456 
007259 	0.619 	0.150 	0.178 	0.456 
007260 	0.618 	0.150 	0.178 	0.460 
007261 	0.616 	0.151 	0.178 	0.460 
007262 	0.616 	0.152 	0.177 	0.461 
007263 	0.613 	0.153 	0.180 	0.465 
007264 	0.612 	0.152 	0.178 	0.465 
007265 	0.612 	0.152 	0.178 	0.465 
007266 	0.611 	0.150 	0.177 	0.468 
007267 	0.609 	0.152 	0.181 	0.465 
007268 	0.606 	0.152 	0.179 	0.468 
007269 	0.606 	0.157 	0.179 	0.466 
007270 	0.606 	0.158 	0.176 	0.475 
007271 	0.603 	0.161 	0.176 	0.477 
007272 	0.599 	0.162 	0.175 	0.478 
007273 	0.598 	0.162 	0.178 	0.478 
007274 	0.597 	0.162 	0.178 	0.478 
007275 	0.596 	0.159 	0.180 	0.479 
007276 	0.595 	0.158 	0.180 	0.475 
007277 	0.593 	0.157 	0.180 	0.479 
007278 	0.592 	0.158 	0.183 	0.474 
007279 	0.592 	0.157 	0.181 	0.477 
007280 	0.590 	0.159 	0.178 	0.475 
007281 	0.590 	0.157 	0.179 	0.478 
007282 	0.589 	0.155 	0.178 	0.477 
007283 	0.588 	0.154 	0.180 	0.480 
