Text:  OF SEPTEMBER 11 SENT SHOCK WAVES THROUGH MY COMMUNITY PEOPLE WHO WERE MEMBERS OF MY FAMILY YOUNG PEOPLE I HAD WORKED WITH WERE EXPERIENCING HARASSMENT AT SCHOOLS AT WORKPLACES AND IN AIRPORTS 
Conf:  4
Ref:   0d6iSvF1UmA

FRAME 	X 	Y 	W 	H 
007855 	0.664 	0.148 	0.186 	0.469 
007856 	0.666 	0.149 	0.185 	0.465 
007857 	0.667 	0.147 	0.185 	0.467 
007858 	0.669 	0.147 	0.187 	0.467 
007859 	0.670 	0.148 	0.185 	0.464 
007860 	0.671 	0.148 	0.185 	0.466 
007861 	0.673 	0.148 	0.185 	0.467 
007862 	0.674 	0.151 	0.184 	0.467 
007863 	0.674 	0.153 	0.184 	0.465 
007864 	0.677 	0.153 	0.183 	0.469 
007865 	0.677 	0.153 	0.183 	0.469 
007866 	0.678 	0.154 	0.182 	0.469 
007867 	0.678 	0.158 	0.182 	0.461 
007868 	0.680 	0.157 	0.182 	0.460 
007869 	0.680 	0.156 	0.179 	0.464 
007870 	0.681 	0.159 	0.178 	0.460 
007871 	0.680 	0.158 	0.181 	0.461 
007872 	0.680 	0.158 	0.183 	0.462 
007873 	0.680 	0.158 	0.182 	0.466 
007874 	0.680 	0.157 	0.183 	0.475 
007875 	0.678 	0.158 	0.185 	0.461 
007876 	0.678 	0.159 	0.185 	0.455 
007877 	0.678 	0.159 	0.183 	0.458 
007878 	0.678 	0.157 	0.183 	0.463 
007879 	0.679 	0.158 	0.183 	0.462 
007880 	0.678 	0.159 	0.184 	0.462 
007881 	0.678 	0.159 	0.185 	0.462 
007882 	0.675 	0.159 	0.184 	0.458 
007883 	0.674 	0.156 	0.185 	0.467 
007884 	0.672 	0.154 	0.184 	0.476 
007885 	0.668 	0.151 	0.184 	0.476 
007886 	0.664 	0.151 	0.184 	0.472 
007887 	0.663 	0.148 	0.183 	0.479 
007888 	0.662 	0.147 	0.181 	0.482 
007889 	0.659 	0.146 	0.180 	0.481 
007890 	0.659 	0.146 	0.180 	0.481 
007891 	0.657 	0.144 	0.181 	0.478 
007892 	0.663 	0.138 	0.173 	0.476 
007893 	0.660 	0.134 	0.177 	0.495 
007894 	0.658 	0.138 	0.178 	0.492 
007895 	0.656 	0.139 	0.177 	0.485 
007896 	0.655 	0.138 	0.176 	0.480 
007897 	0.656 	0.140 	0.176 	0.477 
007898 	0.655 	0.141 	0.176 	0.477 
007899 	0.655 	0.142 	0.178 	0.474 
007900 	0.658 	0.140 	0.173 	0.476 
007901 	0.655 	0.146 	0.185 	0.478 
007902 	0.656 	0.140 	0.177 	0.470 
007903 	0.655 	0.140 	0.177 	0.466 
007904 	0.654 	0.140 	0.178 	0.466 
007905 	0.654 	0.139 	0.176 	0.468 
007906 	0.654 	0.139 	0.177 	0.469 
007907 	0.653 	0.141 	0.176 	0.469 
007908 	0.652 	0.141 	0.178 	0.471 
007909 	0.650 	0.140 	0.178 	0.475 
007910 	0.646 	0.143 	0.180 	0.474 
007911 	0.644 	0.146 	0.184 	0.469 
007912 	0.643 	0.145 	0.182 	0.474 
007913 	0.641 	0.143 	0.183 	0.483 
007914 	0.640 	0.144 	0.178 	0.489 
007915 	0.640 	0.144 	0.178 	0.489 
007916 	0.639 	0.144 	0.181 	0.488 
007917 	0.638 	0.140 	0.179 	0.491 
007918 	0.638 	0.144 	0.181 	0.484 
007919 	0.637 	0.148 	0.179 	0.477 
007920 	0.637 	0.147 	0.180 	0.477 
007921 	0.638 	0.148 	0.178 	0.476 
007922 	0.639 	0.148 	0.175 	0.482 
007923 	0.640 	0.149 	0.176 	0.482 
007924 	0.640 	0.150 	0.178 	0.477 
007925 	0.641 	0.147 	0.177 	0.481 
007926 	0.640 	0.147 	0.176 	0.483 
007927 	0.640 	0.146 	0.178 	0.483 
007928 	0.641 	0.146 	0.174 	0.484 
007929 	0.641 	0.143 	0.179 	0.486 
007930 	0.640 	0.144 	0.177 	0.483 
007931 	0.640 	0.145 	0.177 	0.479 
007932 	0.641 	0.144 	0.177 	0.478 
007933 	0.643 	0.143 	0.179 	0.479 
007934 	0.640 	0.144 	0.183 	0.478 
007935 	0.638 	0.146 	0.181 	0.475 
007936 	0.638 	0.148 	0.177 	0.475 
007937 	0.639 	0.147 	0.178 	0.474 
007938 	0.639 	0.147 	0.180 	0.476 
