Text:  AND NOW I WAS GOING TO REPRESENT THEIR CONCERNS IN GOVERNMENT 
Conf:  5
Ref:   0d6iSvF1UmA

FRAME 	X 	Y 	W 	H 
008233 	0.653 	0.098 	0.071 	0.201 
008234 	0.654 	0.098 	0.069 	0.201 
008235 	0.653 	0.099 	0.070 	0.202 
008236 	0.653 	0.099 	0.069 	0.201 
008237 	0.653 	0.100 	0.071 	0.198 
008238 	0.652 	0.098 	0.073 	0.198 
008239 	0.653 	0.102 	0.071 	0.194 
008240 	0.653 	0.102 	0.071 	0.194 
008241 	0.653 	0.101 	0.071 	0.197 
008242 	0.654 	0.105 	0.072 	0.194 
008243 	0.656 	0.107 	0.068 	0.191 
008244 	0.659 	0.112 	0.066 	0.186 
008245 	0.659 	0.117 	0.076 	0.188 
008246 	0.665 	0.141 	0.070 	0.178 
008247 	0.667 	0.135 	0.073 	0.186 
008248 	0.668 	0.133 	0.075 	0.189 
008249 	0.667 	0.114 	0.074 	0.194 
008250 	0.671 	0.112 	0.074 	0.200 
008251 	0.675 	0.110 	0.071 	0.196 
008252 	0.677 	0.110 	0.073 	0.193 
008253 	0.681 	0.113 	0.070 	0.191 
008254 	0.681 	0.129 	0.080 	0.182 
008255 	0.691 	0.153 	0.075 	0.159 
008256 	0.690 	0.126 	0.078 	0.178 
008257 	0.694 	0.123 	0.077 	0.184 
008258 	0.697 	0.114 	0.075 	0.194 
008259 	0.702 	0.113 	0.072 	0.194 
008260 	0.705 	0.114 	0.072 	0.188 
008261 	0.710 	0.115 	0.070 	0.187 
008262 	0.709 	0.141 	0.078 	0.166 
008263 	0.713 	0.140 	0.073 	0.165 
008264 	0.715 	0.142 	0.074 	0.163 
008265 	0.715 	0.142 	0.074 	0.163 
008266 	0.717 	0.132 	0.074 	0.173 
008267 	0.720 	0.126 	0.074 	0.180 
008268 	0.724 	0.130 	0.072 	0.177 
008269 	0.726 	0.129 	0.071 	0.177 
008270 	0.730 	0.123 	0.070 	0.185 
008271 	0.732 	0.118 	0.069 	0.192 
008272 	0.738 	0.158 	0.066 	0.159 
008273 	0.739 	0.158 	0.070 	0.158 
008274 	0.742 	0.159 	0.067 	0.153 
008275 	0.741 	0.135 	0.072 	0.177 
008276 	0.744 	0.130 	0.073 	0.179 
008277 	0.749 	0.130 	0.070 	0.180 
008278 	0.751 	0.131 	0.071 	0.181 
008279 	0.752 	0.114 	0.068 	0.191 
008280 	0.754 	0.116 	0.074 	0.189 
008281 	0.757 	0.108 	0.072 	0.198 
008282 	0.760 	0.110 	0.070 	0.197 
008283 	0.761 	0.145 	0.078 	0.165 
008284 	0.763 	0.147 	0.078 	0.161 
008285 	0.765 	0.142 	0.076 	0.165 
008286 	0.767 	0.142 	0.074 	0.162 
008287 	0.768 	0.135 	0.077 	0.175 
008288 	0.771 	0.133 	0.074 	0.172 
008289 	0.772 	0.133 	0.074 	0.168 
008290 	0.772 	0.133 	0.074 	0.168 
008291 	0.773 	0.131 	0.076 	0.169 
008292 	0.774 	0.125 	0.075 	0.176 
008293 	0.774 	0.121 	0.078 	0.180 
008294 	0.778 	0.121 	0.078 	0.182 
008295 	0.781 	0.117 	0.074 	0.187 
008296 	0.781 	0.121 	0.078 	0.180 
008297 	0.783 	0.119 	0.076 	0.184 
008298 	0.785 	0.116 	0.075 	0.190 
008299 	0.785 	0.118 	0.076 	0.187 
008300 	0.786 	0.118 	0.077 	0.188 
008301 	0.788 	0.119 	0.074 	0.185 
008302 	0.789 	0.119 	0.073 	0.184 
008303 	0.784 	0.131 	0.086 	0.178 
008304 	0.785 	0.130 	0.085 	0.178 
008305 	0.785 	0.129 	0.085 	0.180 
008306 	0.786 	0.128 	0.085 	0.177 
008307 	0.787 	0.131 	0.082 	0.174 
008308 	0.788 	0.128 	0.083 	0.178 
008309 	0.787 	0.128 	0.083 	0.177 
008310 	0.788 	0.127 	0.083 	0.179 
008311 	0.788 	0.127 	0.081 	0.179 
008312 	0.789 	0.127 	0.082 	0.181 
008313 	0.791 	0.124 	0.082 	0.183 
008314 	0.792 	0.122 	0.082 	0.184 
008315 	0.792 	0.122 	0.082 	0.184 
008316 	0.794 	0.121 	0.080 	0.186 
