Text:  ARE TWO THINGS I LEARNED WHEN I BECAME COMMISSIONER FIRST WELL MEANING NEW YORKERS WHO WERE IN CITY GOVERNMENT HOLDING GOVERNMENT POSITIONS HAD NO IDEA HOW SCARED IMMIGRANTS WERE OF LAW ENFORCEMENT MOST OF US DON'T REALLY KNOW THE DIFFERENCE DO WE BETWEEN A SHERIFF AND LOCAL POLICE AND THE FBI 
Conf:  1
Ref:   0d6iSvF1UmA

FRAME 	X 	Y 	W 	H 
008496 	0.657 	0.105 	0.076 	0.187 
008497 	0.657 	0.105 	0.077 	0.186 
008498 	0.659 	0.107 	0.076 	0.185 
008499 	0.659 	0.107 	0.077 	0.185 
008500 	0.660 	0.109 	0.076 	0.185 
008501 	0.661 	0.111 	0.076 	0.185 
008502 	0.662 	0.112 	0.075 	0.186 
008503 	0.662 	0.112 	0.075 	0.185 
008504 	0.662 	0.112 	0.075 	0.183 
008505 	0.662 	0.113 	0.075 	0.182 
008506 	0.662 	0.112 	0.077 	0.185 
008507 	0.662 	0.113 	0.076 	0.186 
008508 	0.662 	0.112 	0.075 	0.188 
008509 	0.662 	0.111 	0.075 	0.189 
008510 	0.661 	0.109 	0.077 	0.189 
008511 	0.661 	0.108 	0.078 	0.189 
008512 	0.661 	0.107 	0.078 	0.190 
008513 	0.662 	0.106 	0.077 	0.190 
008514 	0.663 	0.104 	0.077 	0.191 
008515 	0.663 	0.104 	0.077 	0.191 
008516 	0.664 	0.100 	0.078 	0.193 
008517 	0.665 	0.099 	0.077 	0.192 
008518 	0.666 	0.100 	0.078 	0.191 
008519 	0.667 	0.101 	0.078 	0.188 
008520 	0.668 	0.101 	0.078 	0.187 
008521 	0.670 	0.101 	0.078 	0.188 
008522 	0.671 	0.102 	0.077 	0.187 
008523 	0.673 	0.101 	0.078 	0.188 
008524 	0.674 	0.098 	0.079 	0.191 
008525 	0.676 	0.099 	0.079 	0.190 
008526 	0.678 	0.097 	0.079 	0.192 
008527 	0.681 	0.098 	0.080 	0.190 
008528 	0.683 	0.097 	0.080 	0.190 
008529 	0.686 	0.094 	0.079 	0.193 
008530 	0.688 	0.094 	0.079 	0.194 
008531 	0.691 	0.093 	0.077 	0.195 
008532 	0.694 	0.093 	0.078 	0.200 
008533 	0.697 	0.097 	0.075 	0.199 
008534 	0.699 	0.097 	0.075 	0.197 
008535 	0.700 	0.096 	0.077 	0.192 
008536 	0.702 	0.097 	0.077 	0.194 
008537 	0.705 	0.097 	0.078 	0.195 
008538 	0.709 	0.099 	0.079 	0.192 
008539 	0.711 	0.098 	0.078 	0.196 
008540 	0.711 	0.098 	0.078 	0.196 
008541 	0.713 	0.096 	0.079 	0.199 
008542 	0.716 	0.096 	0.080 	0.197 
008543 	0.719 	0.098 	0.077 	0.191 
008544 	0.721 	0.099 	0.077 	0.191 
008545 	0.723 	0.099 	0.077 	0.193 
008546 	0.725 	0.100 	0.077 	0.191 
008547 	0.728 	0.101 	0.076 	0.190 
008548 	0.730 	0.102 	0.076 	0.189 
008549 	0.732 	0.101 	0.076 	0.190 
008550 	0.736 	0.106 	0.076 	0.186 
008551 	0.737 	0.104 	0.077 	0.187 
008552 	0.739 	0.104 	0.077 	0.188 
008553 	0.741 	0.102 	0.079 	0.193 
008554 	0.743 	0.102 	0.079 	0.191 
008555 	0.745 	0.102 	0.077 	0.190 
008556 	0.747 	0.101 	0.078 	0.192 
008557 	0.748 	0.102 	0.078 	0.189 
008558 	0.749 	0.102 	0.079 	0.188 
008559 	0.751 	0.103 	0.078 	0.187 
008560 	0.752 	0.103 	0.080 	0.188 
008561 	0.753 	0.104 	0.080 	0.186 
008562 	0.754 	0.106 	0.080 	0.184 
008563 	0.755 	0.106 	0.080 	0.185 
008564 	0.757 	0.106 	0.080 	0.184 
008565 	0.757 	0.106 	0.080 	0.184 
008566 	0.758 	0.106 	0.078 	0.186 
008567 	0.759 	0.105 	0.078 	0.188 
008568 	0.760 	0.106 	0.079 	0.186 
008569 	0.762 	0.106 	0.078 	0.185 
008570 	0.762 	0.106 	0.077 	0.183 
008571 	0.763 	0.107 	0.077 	0.183 
008572 	0.763 	0.107 	0.076 	0.184 
008573 	0.763 	0.106 	0.077 	0.184 
008574 	0.761 	0.106 	0.078 	0.187 
008575 	0.760 	0.106 	0.079 	0.187 
008576 	0.759 	0.106 	0.078 	0.188 
008577 	0.758 	0.105 	0.077 	0.191 
008578 	0.756 	0.104 	0.078 	0.192 
008579 	0.756 	0.103 	0.077 	0.194 
008580 	0.755 	0.102 	0.077 	0.195 
008581 	0.753 	0.100 	0.078 	0.196 
008582 	0.752 	0.099 	0.077 	0.198 
008583 	0.751 	0.099 	0.077 	0.198 
008584 	0.750 	0.097 	0.076 	0.201 
008585 	0.749 	0.097 	0.077 	0.201 
008586 	0.748 	0.096 	0.078 	0.202 
008587 	0.747 	0.095 	0.078 	0.201 
008588 	0.746 	0.093 	0.080 	0.202 
008589 	0.746 	0.095 	0.077 	0.198 
008590 	0.746 	0.095 	0.077 	0.198 
008591 	0.743 	0.093 	0.078 	0.198 
008592 	0.742 	0.092 	0.078 	0.195 
008593 	0.741 	0.092 	0.077 	0.192 
008594 	0.740 	0.091 	0.077 	0.190 
008595 	0.737 	0.089 	0.078 	0.187 
008596 	0.735 	0.089 	0.078 	0.188 
008597 	0.731 	0.089 	0.078 	0.186 
008598 	0.728 	0.087 	0.078 	0.185 
008599 	0.725 	0.087 	0.077 	0.180 
008600 	0.723 	0.089 	0.077 	0.178 
008601 	0.720 	0.089 	0.077 	0.179 
008602 	0.716 	0.090 	0.077 	0.183 
008603 	0.713 	0.091 	0.078 	0.191 
008604 	0.710 	0.093 	0.076 	0.186 
008605 	0.704 	0.092 	0.079 	0.190 
008606 	0.700 	0.091 	0.078 	0.192 
008607 	0.698 	0.094 	0.077 	0.188 
008608 	0.695 	0.095 	0.076 	0.188 
008609 	0.691 	0.098 	0.077 	0.188 
008610 	0.689 	0.097 	0.076 	0.191 
008611 	0.685 	0.097 	0.078 	0.191 
008612 	0.683 	0.100 	0.077 	0.188 
008613 	0.678 	0.099 	0.077 	0.187 
008614 	0.675 	0.097 	0.076 	0.189 
008615 	0.675 	0.097 	0.076 	0.189 
008616 	0.673 	0.096 	0.076 	0.191 
008617 	0.671 	0.097 	0.076 	0.192 
008618 	0.668 	0.097 	0.076 	0.192 
008619 	0.665 	0.097 	0.076 	0.193 
008620 	0.663 	0.097 	0.076 	0.192 
008621 	0.661 	0.097 	0.077 	0.193 
008622 	0.658 	0.096 	0.079 	0.194 
008623 	0.658 	0.098 	0.076 	0.194 
