Text:  OF US WHEN WE SEE SOMEONE IN UNIFORM GOING THROUGH OUR NEIGHBORHOODS FEEL CURIOSITY IF NOT CONCERN SO IF YOU'RE AN UNDOCUMENTED PARENT EVERY DAY WHEN YOU SAY GOODBYE TO YOUR CHILD SEND THEM OFF TO SCHOOL AND GO TO WORK YOU DON'T KNOW WHAT THE CHANCES ARE THAT YOU'RE GOING TO SEE THEM AT THE END OF THE DAY BECAUSE A RAID AT YOUR WORKPLACE A CHANCE ENCOUNTER WITH LOCAL POLICE COULD CHANGE THE COURSE OF YOUR LIFE FOREVER 
Conf:  4
Ref:   0d6iSvF1UmA

FRAME 	X 	Y 	W 	H 
009095 	0.654 	0.148 	0.175 	0.473 
009096 	0.653 	0.149 	0.176 	0.469 
009097 	0.652 	0.145 	0.177 	0.467 
009098 	0.649 	0.149 	0.178 	0.463 
009099 	0.649 	0.149 	0.177 	0.471 
009100 	0.645 	0.152 	0.177 	0.469 
009101 	0.639 	0.153 	0.178 	0.467 
009102 	0.637 	0.157 	0.176 	0.464 
009103 	0.633 	0.157 	0.179 	0.465 
009104 	0.628 	0.154 	0.180 	0.466 
009105 	0.624 	0.154 	0.180 	0.465 
009106 	0.620 	0.153 	0.185 	0.465 
009107 	0.613 	0.149 	0.188 	0.468 
009108 	0.609 	0.155 	0.192 	0.459 
009109 	0.605 	0.151 	0.192 	0.474 
009110 	0.597 	0.154 	0.196 	0.469 
009111 	0.590 	0.155 	0.192 	0.463 
009112 	0.583 	0.152 	0.193 	0.465 
009113 	0.576 	0.144 	0.194 	0.473 
009114 	0.569 	0.145 	0.196 	0.469 
009115 	0.569 	0.145 	0.196 	0.469 
009116 	0.566 	0.140 	0.194 	0.474 
009117 	0.560 	0.139 	0.197 	0.473 
009118 	0.553 	0.139 	0.198 	0.478 
009119 	0.547 	0.138 	0.197 	0.473 
009120 	0.543 	0.128 	0.184 	0.478 
009121 	0.538 	0.129 	0.180 	0.479 
009122 	0.533 	0.129 	0.180 	0.479 
009123 	0.529 	0.130 	0.179 	0.484 
009124 	0.523 	0.127 	0.184 	0.482 
009125 	0.519 	0.130 	0.186 	0.481 
009126 	0.516 	0.133 	0.189 	0.475 
009127 	0.513 	0.133 	0.185 	0.474 
009128 	0.509 	0.136 	0.186 	0.474 
009129 	0.509 	0.138 	0.183 	0.467 
009130 	0.508 	0.136 	0.184 	0.473 
009131 	0.507 	0.134 	0.183 	0.475 
009132 	0.505 	0.134 	0.186 	0.475 
009133 	0.506 	0.132 	0.187 	0.475 
009134 	0.505 	0.135 	0.185 	0.470 
009135 	0.507 	0.135 	0.187 	0.468 
009136 	0.506 	0.133 	0.187 	0.472 
009137 	0.506 	0.135 	0.185 	0.474 
009138 	0.505 	0.133 	0.181 	0.474 
009139 	0.503 	0.130 	0.183 	0.478 
009140 	0.503 	0.130 	0.183 	0.478 
009141 	0.498 	0.131 	0.183 	0.474 
009142 	0.497 	0.132 	0.183 	0.470 
009143 	0.495 	0.133 	0.187 	0.468 
009144 	0.492 	0.133 	0.187 	0.464 
009145 	0.491 	0.138 	0.188 	0.457 
009146 	0.489 	0.138 	0.189 	0.453 
009147 	0.488 	0.140 	0.192 	0.449 
009148 	0.486 	0.138 	0.189 	0.454 
009149 	0.483 	0.136 	0.187 	0.458 
009150 	0.483 	0.138 	0.183 	0.462 
009151 	0.479 	0.136 	0.181 	0.467 
009152 	0.475 	0.132 	0.190 	0.474 
009153 	0.472 	0.133 	0.192 	0.476 
009154 	0.469 	0.140 	0.191 	0.470 
009155 	0.468 	0.137 	0.194 	0.476 
009156 	0.466 	0.138 	0.194 	0.474 
009157 	0.466 	0.142 	0.193 	0.472 
009158 	0.467 	0.143 	0.192 	0.479 
009159 	0.465 	0.146 	0.193 	0.474 
009160 	0.461 	0.145 	0.197 	0.480 
009161 	0.462 	0.143 	0.195 	0.484 
009162 	0.461 	0.147 	0.192 	0.482 
009163 	0.459 	0.146 	0.192 	0.488 
009164 	0.458 	0.148 	0.193 	0.487 
009165 	0.458 	0.148 	0.193 	0.487 
009166 	0.459 	0.147 	0.193 	0.484 
009167 	0.459 	0.151 	0.191 	0.483 
009168 	0.459 	0.148 	0.191 	0.489 
009169 	0.460 	0.146 	0.192 	0.485 
009170 	0.461 	0.145 	0.192 	0.495 
009171 	0.461 	0.141 	0.191 	0.494 
