Text:  WHAT THAT FEELING OF FEAR WAS LIKE PEOPLE IN MY FAMILY WERE EXPERIENCING IT YOUNG PEOPLE I HAD WORKED WITH WERE BEING HARASSED NOT JUST BY CLASSMATES BUT ALSO BY THEIR TEACHERS MY HUSBAND THEN BOYFRIEND THOUGHT TWICE BEFORE HE PUT A BACKPACK ON OR GREW A BEARD BECAUSE HE TRAVELED SO MUCH 
Conf:  4
Ref:   0d6iSvF1UmA

FRAME 	X 	Y 	W 	H 
010383 	0.774 	0.105 	0.075 	0.201 
010384 	0.772 	0.105 	0.075 	0.202 
010385 	0.770 	0.106 	0.076 	0.202 
010386 	0.769 	0.105 	0.077 	0.198 
010387 	0.766 	0.103 	0.076 	0.197 
010388 	0.764 	0.101 	0.078 	0.195 
010389 	0.762 	0.102 	0.078 	0.193 
010390 	0.762 	0.102 	0.078 	0.193 
010391 	0.758 	0.099 	0.079 	0.198 
010392 	0.756 	0.097 	0.078 	0.199 
010393 	0.755 	0.095 	0.078 	0.201 
010394 	0.753 	0.093 	0.077 	0.206 
010395 	0.751 	0.094 	0.075 	0.199 
010396 	0.747 	0.095 	0.077 	0.196 
010397 	0.744 	0.092 	0.077 	0.198 
010398 	0.741 	0.091 	0.076 	0.194 
010399 	0.736 	0.091 	0.077 	0.192 
010400 	0.731 	0.091 	0.079 	0.195 
010401 	0.729 	0.092 	0.077 	0.192 
010402 	0.726 	0.093 	0.076 	0.190 
010403 	0.722 	0.092 	0.075 	0.191 
010404 	0.718 	0.093 	0.076 	0.191 
010405 	0.713 	0.092 	0.077 	0.193 
010406 	0.706 	0.092 	0.078 	0.195 
010407 	0.704 	0.093 	0.076 	0.192 
010408 	0.701 	0.094 	0.074 	0.190 
010409 	0.697 	0.096 	0.074 	0.185 
010410 	0.692 	0.094 	0.075 	0.185 
010411 	0.687 	0.092 	0.076 	0.186 
010412 	0.682 	0.091 	0.076 	0.185 
010413 	0.678 	0.092 	0.074 	0.190 
010414 	0.675 	0.093 	0.074 	0.189 
010415 	0.675 	0.093 	0.074 	0.189 
010416 	0.672 	0.094 	0.073 	0.187 
010417 	0.669 	0.093 	0.074 	0.187 
010418 	0.666 	0.094 	0.074 	0.187 
010419 	0.662 	0.095 	0.074 	0.183 
010420 	0.659 	0.092 	0.075 	0.186 
010421 	0.657 	0.093 	0.075 	0.187 
010422 	0.653 	0.094 	0.077 	0.193 
010423 	0.651 	0.093 	0.077 	0.194 
010424 	0.650 	0.091 	0.076 	0.197 
010425 	0.649 	0.091 	0.076 	0.197 
010426 	0.649 	0.092 	0.074 	0.194 
010427 	0.648 	0.093 	0.073 	0.191 
010428 	0.646 	0.092 	0.074 	0.191 
010429 	0.645 	0.092 	0.075 	0.190 
010430 	0.644 	0.093 	0.074 	0.189 
010431 	0.643 	0.093 	0.075 	0.189 
010432 	0.643 	0.093 	0.075 	0.188 
010433 	0.642 	0.093 	0.074 	0.188 
010434 	0.641 	0.093 	0.075 	0.188 
010435 	0.641 	0.093 	0.074 	0.187 
010436 	0.640 	0.094 	0.074 	0.188 
010437 	0.639 	0.094 	0.074 	0.189 
010438 	0.638 	0.094 	0.075 	0.190 
010439 	0.637 	0.094 	0.077 	0.190 
010440 	0.637 	0.094 	0.077 	0.190 
010441 	0.637 	0.094 	0.076 	0.189 
010442 	0.637 	0.094 	0.075 	0.189 
010443 	0.636 	0.091 	0.077 	0.195 
010444 	0.637 	0.094 	0.075 	0.190 
010445 	0.637 	0.094 	0.075 	0.192 
010446 	0.637 	0.094 	0.076 	0.192 
010447 	0.637 	0.094 	0.076 	0.192 
010448 	0.637 	0.094 	0.076 	0.193 
010449 	0.637 	0.094 	0.076 	0.193 
010450 	0.637 	0.094 	0.076 	0.194 
010451 	0.637 	0.093 	0.076 	0.195 
010452 	0.638 	0.095 	0.074 	0.190 
010453 	0.637 	0.094 	0.075 	0.189 
010454 	0.637 	0.093 	0.072 	0.191 
010455 	0.635 	0.093 	0.073 	0.189 
010456 	0.635 	0.094 	0.072 	0.187 
010457 	0.634 	0.096 	0.072 	0.183 
010458 	0.634 	0.095 	0.073 	0.185 
010459 	0.633 	0.094 	0.075 	0.192 
010460 	0.633 	0.095 	0.074 	0.192 
010461 	0.633 	0.093 	0.074 	0.193 
010462 	0.634 	0.097 	0.074 	0.192 
010463 	0.633 	0.099 	0.074 	0.193 
010464 	0.633 	0.099 	0.074 	0.189 
010465 	0.633 	0.099 	0.074 	0.189 
010466 	0.631 	0.099 	0.075 	0.185 
010467 	0.631 	0.099 	0.075 	0.186 
010468 	0.631 	0.101 	0.076 	0.185 
010469 	0.632 	0.100 	0.075 	0.190 
010470 	0.632 	0.100 	0.075 	0.191 
010471 	0.631 	0.101 	0.077 	0.187 
010472 	0.631 	0.101 	0.075 	0.184 
010473 	0.631 	0.101 	0.075 	0.185 
010474 	0.631 	0.101 	0.075 	0.185 
010475 	0.632 	0.101 	0.076 	0.185 
010476 	0.633 	0.100 	0.075 	0.185 
010477 	0.634 	0.098 	0.076 	0.188 
010478 	0.636 	0.096 	0.074 	0.192 
010479 	0.639 	0.092 	0.074 	0.197 
010480 	0.640 	0.093 	0.074 	0.198 
010481 	0.642 	0.093 	0.075 	0.195 
010482 	0.642 	0.091 	0.077 	0.199 
010483 	0.643 	0.090 	0.078 	0.200 
010484 	0.645 	0.095 	0.076 	0.192 
010485 	0.646 	0.096 	0.076 	0.189 
010486 	0.645 	0.093 	0.078 	0.195 
010487 	0.646 	0.093 	0.078 	0.195 
010488 	0.646 	0.094 	0.078 	0.195 
010489 	0.647 	0.094 	0.077 	0.195 
010490 	0.647 	0.094 	0.077 	0.195 
