Text:  LEARNED IN 2001 WAS THAT MY VOTE MATTERED BUT THAT MY VOICE AND VANTAGE POINT ALSO MATTERED AND IT'S THESE THREE THINGS IMMIGRANTS' VOTES VOICES AND VANTAGE POINTS THAT I THINK CAN HELP MAKE OUR DEMOCRACY STRONGER 
Conf:  1
Ref:   0d6iSvF1UmA

FRAME 	X 	Y 	W 	H 
010971 	0.410 	0.120 	0.184 	0.477 
010972 	0.402 	0.121 	0.183 	0.463 
010973 	0.396 	0.118 	0.185 	0.461 
010974 	0.389 	0.119 	0.181 	0.458 
010975 	0.381 	0.120 	0.183 	0.454 
010976 	0.376 	0.129 	0.183 	0.450 
010977 	0.371 	0.133 	0.182 	0.461 
010978 	0.364 	0.137 	0.180 	0.460 
010979 	0.361 	0.139 	0.181 	0.462 
010980 	0.357 	0.145 	0.182 	0.459 
010981 	0.353 	0.147 	0.182 	0.466 
010982 	0.351 	0.147 	0.180 	0.470 
010983 	0.349 	0.148 	0.181 	0.471 
010984 	0.347 	0.150 	0.181 	0.468 
010985 	0.348 	0.152 	0.180 	0.468 
010986 	0.347 	0.152 	0.182 	0.470 
010987 	0.347 	0.154 	0.181 	0.469 
010988 	0.349 	0.152 	0.180 	0.471 
010989 	0.347 	0.153 	0.182 	0.470 
010990 	0.347 	0.153 	0.182 	0.470 
010991 	0.347 	0.153 	0.181 	0.472 
010992 	0.348 	0.153 	0.182 	0.469 
010993 	0.350 	0.151 	0.180 	0.463 
010994 	0.351 	0.152 	0.179 	0.465 
010995 	0.352 	0.151 	0.180 	0.464 
010996 	0.352 	0.149 	0.182 	0.459 
010997 	0.351 	0.149 	0.185 	0.462 
010998 	0.352 	0.152 	0.183 	0.459 
010999 	0.353 	0.153 	0.181 	0.467 
011000 	0.354 	0.153 	0.184 	0.474 
011001 	0.358 	0.157 	0.182 	0.470 
011002 	0.360 	0.157 	0.182 	0.463 
011003 	0.363 	0.162 	0.183 	0.459 
011004 	0.366 	0.166 	0.183 	0.452 
011005 	0.368 	0.167 	0.182 	0.453 
011006 	0.369 	0.165 	0.182 	0.460 
011007 	0.372 	0.166 	0.181 	0.465 
011008 	0.374 	0.167 	0.180 	0.470 
011009 	0.374 	0.164 	0.179 	0.477 
011010 	0.375 	0.166 	0.180 	0.471 
011011 	0.375 	0.166 	0.179 	0.464 
011012 	0.375 	0.167 	0.181 	0.460 
011013 	0.376 	0.166 	0.182 	0.458 
011014 	0.377 	0.168 	0.182 	0.455 
011015 	0.377 	0.168 	0.182 	0.455 
011016 	0.379 	0.169 	0.180 	0.451 
011017 	0.382 	0.164 	0.177 	0.460 
011018 	0.383 	0.168 	0.177 	0.461 
011019 	0.386 	0.168 	0.178 	0.461 
011020 	0.388 	0.168 	0.177 	0.460 
011021 	0.390 	0.171 	0.178 	0.457 
011022 	0.390 	0.173 	0.180 	0.452 
011023 	0.388 	0.172 	0.183 	0.453 
011024 	0.389 	0.173 	0.181 	0.454 
011025 	0.390 	0.172 	0.181 	0.464 
011026 	0.392 	0.172 	0.180 	0.454 
011027 	0.391 	0.171 	0.177 	0.455 
011028 	0.392 	0.168 	0.178 	0.460 
011029 	0.389 	0.158 	0.180 	0.471 
011030 	0.389 	0.162 	0.178 	0.458 
011031 	0.388 	0.162 	0.179 	0.451 
011032 	0.387 	0.161 	0.180 	0.450 
011033 	0.388 	0.163 	0.180 	0.450 
011034 	0.387 	0.165 	0.179 	0.452 
011035 	0.387 	0.162 	0.176 	0.472 
011036 	0.387 	0.163 	0.175 	0.470 
011037 	0.386 	0.161 	0.178 	0.461 
011038 	0.386 	0.160 	0.178 	0.454 
011039 	0.384 	0.160 	0.182 	0.451 
011040 	0.384 	0.160 	0.182 	0.451 
011041 	0.383 	0.157 	0.180 	0.456 
011042 	0.384 	0.154 	0.181 	0.461 
011043 	0.384 	0.150 	0.181 	0.477 
011044 	0.383 	0.150 	0.182 	0.479 
011045 	0.383 	0.152 	0.182 	0.464 
011046 	0.382 	0.152 	0.183 	0.457 
011047 	0.382 	0.154 	0.183 	0.451 
011048 	0.381 	0.153 	0.183 	0.451 
011049 	0.382 	0.153 	0.184 	0.452 
011050 	0.382 	0.154 	0.184 	0.450 
011051 	0.383 	0.152 	0.183 	0.451 
011052 	0.383 	0.152 	0.184 	0.455 
011053 	0.383 	0.155 	0.182 	0.455 
011054 	0.383 	0.153 	0.182 	0.462 
011055 	0.383 	0.154 	0.181 	0.460 
011056 	0.384 	0.154 	0.181 	0.459 
011057 	0.384 	0.154 	0.181 	0.460 
011058 	0.384 	0.154 	0.181 	0.460 
011059 	0.383 	0.151 	0.182 	0.465 
011060 	0.384 	0.149 	0.182 	0.462 
011061 	0.383 	0.151 	0.180 	0.459 
011062 	0.382 	0.151 	0.183 	0.462 
011063 	0.381 	0.146 	0.183 	0.471 
011064 	0.380 	0.148 	0.185 	0.461 
011065 	0.380 	0.148 	0.185 	0.461 
011066 	0.380 	0.147 	0.184 	0.457 
011067 	0.379 	0.148 	0.184 	0.456 
011068 	0.379 	0.146 	0.184 	0.462 
011069 	0.379 	0.144 	0.184 	0.461 
011070 	0.379 	0.144 	0.185 	0.458 
011071 	0.378 	0.148 	0.187 	0.452 
011072 	0.378 	0.151 	0.189 	0.448 
011073 	0.379 	0.151 	0.186 	0.453 
011074 	0.379 	0.153 	0.185 	0.465 
011075 	0.380 	0.158 	0.185 	0.467 
011076 	0.381 	0.159 	0.185 	0.468 
011077 	0.380 	0.161 	0.186 	0.465 
011078 	0.381 	0.162 	0.186 	0.464 
011079 	0.381 	0.164 	0.184 	0.456 
011080 	0.380 	0.164 	0.183 	0.457 
011081 	0.379 	0.167 	0.185 	0.457 
011082 	0.379 	0.166 	0.183 	0.458 
011083 	0.377 	0.164 	0.185 	0.460 
011084 	0.377 	0.163 	0.186 	0.463 
011085 	0.375 	0.159 	0.189 	0.466 
011086 	0.374 	0.159 	0.189 	0.456 
011087 	0.373 	0.161 	0.189 	0.455 
011088 	0.373 	0.163 	0.189 	0.452 
011089 	0.374 	0.163 	0.187 	0.464 
011090 	0.374 	0.163 	0.187 	0.464 
011091 	0.373 	0.166 	0.185 	0.473 
011092 	0.373 	0.167 	0.185 	0.470 
011093 	0.372 	0.168 	0.188 	0.463 
011094 	0.370 	0.169 	0.190 	0.459 
011095 	0.369 	0.169 	0.187 	0.462 
011096 	0.368 	0.173 	0.185 	0.462 
011097 	0.367 	0.175 	0.182 	0.466 
011098 	0.368 	0.174 	0.184 	0.463 
011099 	0.368 	0.172 	0.185 	0.462 
011100 	0.368 	0.173 	0.182 	0.466 
011101 	0.369 	0.173 	0.183 	0.462 
