Text:  HAVE THE POWER TO CHANGE THE OUTCOME OF ELECTIONS TO INTRODUCE NEW ISSUES INTO THE POLICY DEBATE AND TO CHANGE THE FACE OF THE PALE MALE STALE LEADERSHIP THAT WE HAVE IN OUR COUNTRY 
Conf:  5
Ref:   0d6iSvF1UmA

FRAME 	X 	Y 	W 	H 
011413 	0.762 	0.112 	0.071 	0.195 
011414 	0.765 	0.114 	0.070 	0.190 
011415 	0.765 	0.114 	0.070 	0.190 
011416 	0.766 	0.112 	0.075 	0.192 
011417 	0.768 	0.110 	0.074 	0.194 
011418 	0.768 	0.106 	0.077 	0.196 
011419 	0.768 	0.106 	0.077 	0.191 
011420 	0.768 	0.106 	0.077 	0.191 
011421 	0.769 	0.107 	0.076 	0.193 
011422 	0.771 	0.106 	0.074 	0.195 
011423 	0.771 	0.107 	0.076 	0.196 
011424 	0.773 	0.111 	0.075 	0.198 
011425 	0.773 	0.111 	0.076 	0.198 
011426 	0.773 	0.113 	0.077 	0.196 
011427 	0.772 	0.115 	0.077 	0.195 
011428 	0.773 	0.115 	0.077 	0.196 
011429 	0.773 	0.116 	0.077 	0.193 
011430 	0.772 	0.116 	0.076 	0.191 
011431 	0.772 	0.118 	0.076 	0.188 
011432 	0.771 	0.118 	0.075 	0.189 
011433 	0.770 	0.119 	0.075 	0.187 
011434 	0.770 	0.119 	0.075 	0.189 
011435 	0.769 	0.119 	0.076 	0.187 
011436 	0.769 	0.119 	0.076 	0.187 
011437 	0.768 	0.119 	0.076 	0.187 
011438 	0.768 	0.118 	0.076 	0.188 
011439 	0.768 	0.119 	0.076 	0.187 
011440 	0.768 	0.119 	0.076 	0.187 
011441 	0.768 	0.119 	0.076 	0.187 
011442 	0.768 	0.119 	0.077 	0.187 
011443 	0.768 	0.119 	0.076 	0.189 
011444 	0.768 	0.118 	0.075 	0.189 
011445 	0.769 	0.119 	0.075 	0.189 
011446 	0.768 	0.119 	0.075 	0.191 
011447 	0.767 	0.119 	0.074 	0.189 
011448 	0.767 	0.120 	0.074 	0.189 
011449 	0.767 	0.119 	0.074 	0.191 
011450 	0.767 	0.121 	0.074 	0.189 
011451 	0.765 	0.119 	0.076 	0.192 
011452 	0.766 	0.119 	0.069 	0.192 
011453 	0.766 	0.118 	0.068 	0.191 
011454 	0.765 	0.117 	0.067 	0.193 
011455 	0.765 	0.116 	0.067 	0.192 
011456 	0.764 	0.116 	0.068 	0.191 
011457 	0.764 	0.116 	0.069 	0.193 
011458 	0.762 	0.118 	0.074 	0.189 
011459 	0.762 	0.121 	0.073 	0.184 
011460 	0.762 	0.120 	0.073 	0.188 
011461 	0.762 	0.115 	0.070 	0.195 
011462 	0.760 	0.114 	0.071 	0.196 
011463 	0.759 	0.116 	0.072 	0.196 
011464 	0.757 	0.118 	0.075 	0.195 
011465 	0.757 	0.118 	0.075 	0.195 
011466 	0.758 	0.117 	0.074 	0.197 
011467 	0.758 	0.119 	0.073 	0.193 
011468 	0.757 	0.119 	0.077 	0.189 
011469 	0.756 	0.117 	0.076 	0.190 
011470 	0.754 	0.116 	0.074 	0.193 
011471 	0.755 	0.118 	0.071 	0.189 
011472 	0.753 	0.117 	0.071 	0.189 
011473 	0.749 	0.114 	0.077 	0.194 
011474 	0.749 	0.113 	0.075 	0.194 
011475 	0.748 	0.114 	0.074 	0.195 
011476 	0.748 	0.116 	0.073 	0.190 
011477 	0.748 	0.117 	0.073 	0.190 
011478 	0.746 	0.115 	0.074 	0.190 
011479 	0.746 	0.112 	0.075 	0.196 
011480 	0.746 	0.111 	0.072 	0.200 
011481 	0.746 	0.110 	0.074 	0.202 
011482 	0.746 	0.110 	0.073 	0.199 
011483 	0.747 	0.111 	0.072 	0.194 
011484 	0.747 	0.111 	0.073 	0.193 
011485 	0.748 	0.110 	0.073 	0.194 
011486 	0.748 	0.110 	0.073 	0.197 
011487 	0.750 	0.113 	0.073 	0.194 
011488 	0.751 	0.114 	0.071 	0.191 
011489 	0.751 	0.114 	0.072 	0.192 
011490 	0.751 	0.114 	0.072 	0.192 
011491 	0.752 	0.113 	0.072 	0.193 
011492 	0.751 	0.113 	0.075 	0.192 
011493 	0.752 	0.116 	0.074 	0.189 
011494 	0.753 	0.116 	0.072 	0.194 
011495 	0.754 	0.116 	0.073 	0.195 
011496 	0.755 	0.116 	0.074 	0.196 
011497 	0.755 	0.117 	0.073 	0.194 
011498 	0.756 	0.118 	0.073 	0.191 
011499 	0.756 	0.118 	0.073 	0.191 
011500 	0.757 	0.117 	0.073 	0.192 
011501 	0.757 	0.118 	0.073 	0.190 
011502 	0.757 	0.117 	0.073 	0.193 
011503 	0.757 	0.117 	0.073 	0.191 
011504 	0.757 	0.117 	0.073 	0.191 
011505 	0.757 	0.116 	0.072 	0.191 
011506 	0.758 	0.116 	0.073 	0.191 
011507 	0.758 	0.117 	0.073 	0.190 
011508 	0.758 	0.117 	0.073 	0.191 
011509 	0.759 	0.117 	0.073 	0.190 
011510 	0.759 	0.117 	0.074 	0.190 
011511 	0.759 	0.117 	0.075 	0.191 
011512 	0.758 	0.117 	0.075 	0.191 
011513 	0.758 	0.116 	0.076 	0.191 
011514 	0.759 	0.117 	0.075 	0.191 
011515 	0.759 	0.117 	0.075 	0.191 
011516 	0.759 	0.116 	0.076 	0.192 
011517 	0.759 	0.116 	0.076 	0.191 
011518 	0.759 	0.116 	0.076 	0.192 
011519 	0.759 	0.116 	0.075 	0.192 
011520 	0.759 	0.115 	0.076 	0.192 
011521 	0.759 	0.116 	0.076 	0.192 
011522 	0.759 	0.115 	0.077 	0.193 
011523 	0.760 	0.115 	0.076 	0.193 
011524 	0.761 	0.115 	0.077 	0.192 
011525 	0.762 	0.113 	0.077 	0.191 
011526 	0.763 	0.113 	0.078 	0.191 
011527 	0.763 	0.112 	0.077 	0.188 
011528 	0.764 	0.111 	0.077 	0.189 
011529 	0.764 	0.112 	0.077 	0.188 
011530 	0.765 	0.111 	0.077 	0.187 
011531 	0.765 	0.110 	0.077 	0.189 
011532 	0.765 	0.108 	0.077 	0.190 
011533 	0.766 	0.107 	0.077 	0.191 
011534 	0.766 	0.106 	0.078 	0.190 
011535 	0.765 	0.105 	0.078 	0.190 
011536 	0.766 	0.105 	0.078 	0.191 
011537 	0.766 	0.105 	0.079 	0.189 
011538 	0.765 	0.107 	0.079 	0.189 
011539 	0.766 	0.106 	0.078 	0.191 
011540 	0.766 	0.106 	0.078 	0.191 
011541 	0.766 	0.106 	0.079 	0.190 
011542 	0.766 	0.105 	0.080 	0.189 
011543 	0.767 	0.105 	0.078 	0.190 
011544 	0.767 	0.105 	0.078 	0.189 
011545 	0.768 	0.106 	0.078 	0.189 
011546 	0.768 	0.106 	0.078 	0.191 
011547 	0.768 	0.107 	0.077 	0.190 
011548 	0.769 	0.108 	0.077 	0.191 
011549 	0.769 	0.108 	0.076 	0.192 
011550 	0.769 	0.109 	0.076 	0.192 
011551 	0.769 	0.109 	0.076 	0.194 
011552 	0.768 	0.109 	0.078 	0.194 
011553 	0.768 	0.109 	0.078 	0.195 
011554 	0.767 	0.109 	0.079 	0.196 
011555 	0.767 	0.109 	0.078 	0.194 
011556 	0.767 	0.109 	0.078 	0.195 
011557 	0.767 	0.111 	0.077 	0.191 
011558 	0.767 	0.109 	0.077 	0.192 
011559 	0.767 	0.108 	0.078 	0.193 
011560 	0.767 	0.109 	0.078 	0.192 
011561 	0.767 	0.109 	0.078 	0.193 
011562 	0.767 	0.109 	0.078 	0.192 
011563 	0.767 	0.109 	0.078 	0.192 
011564 	0.767 	0.111 	0.077 	0.190 
011565 	0.767 	0.111 	0.077 	0.190 
011566 	0.768 	0.112 	0.078 	0.190 
011567 	0.769 	0.113 	0.076 	0.188 
011568 	0.768 	0.113 	0.078 	0.189 
011569 	0.769 	0.112 	0.078 	0.191 
011570 	0.770 	0.114 	0.078 	0.190 
011571 	0.770 	0.114 	0.077 	0.189 
011572 	0.771 	0.113 	0.077 	0.192 
011573 	0.771 	0.114 	0.077 	0.193 
011574 	0.772 	0.114 	0.076 	0.193 
011575 	0.771 	0.115 	0.076 	0.194 
011576 	0.771 	0.116 	0.077 	0.194 
011577 	0.772 	0.117 	0.077 	0.193 
011578 	0.772 	0.118 	0.076 	0.192 
011579 	0.773 	0.119 	0.076 	0.189 
011580 	0.773 	0.120 	0.075 	0.188 
011581 	0.773 	0.120 	0.075 	0.189 
011582 	0.773 	0.120 	0.076 	0.187 
011583 	0.773 	0.119 	0.075 	0.186 
011584 	0.773 	0.118 	0.076 	0.187 
011585 	0.772 	0.118 	0.077 	0.186 
011586 	0.773 	0.117 	0.077 	0.186 
011587 	0.773 	0.117 	0.076 	0.187 
011588 	0.773 	0.119 	0.076 	0.188 
011589 	0.772 	0.118 	0.077 	0.190 
011590 	0.772 	0.118 	0.077 	0.190 
011591 	0.771 	0.118 	0.077 	0.193 
011592 	0.768 	0.117 	0.079 	0.193 
011593 	0.766 	0.116 	0.080 	0.191 
011594 	0.765 	0.117 	0.078 	0.189 
011595 	0.765 	0.116 	0.077 	0.188 
011596 	0.764 	0.117 	0.077 	0.187 
011597 	0.764 	0.116 	0.075 	0.187 
011598 	0.764 	0.117 	0.074 	0.186 
011599 	0.762 	0.114 	0.073 	0.193 
011600 	0.762 	0.113 	0.073 	0.195 
011601 	0.762 	0.113 	0.073 	0.197 
011602 	0.763 	0.114 	0.073 	0.195 
011603 	0.762 	0.115 	0.073 	0.193 
011604 	0.763 	0.115 	0.073 	0.193 
011605 	0.762 	0.115 	0.074 	0.190 
011606 	0.762 	0.115 	0.074 	0.191 
011607 	0.762 	0.115 	0.074 	0.191 
011608 	0.763 	0.115 	0.073 	0.190 
011609 	0.764 	0.116 	0.076 	0.187 
011610 	0.764 	0.115 	0.077 	0.188 
011611 	0.765 	0.115 	0.076 	0.186 
011612 	0.765 	0.116 	0.075 	0.185 
011613 	0.765 	0.115 	0.075 	0.187 
011614 	0.765 	0.115 	0.075 	0.190 
011615 	0.765 	0.115 	0.075 	0.190 
011616 	0.765 	0.115 	0.075 	0.192 
011617 	0.765 	0.114 	0.076 	0.193 
011618 	0.764 	0.116 	0.076 	0.190 
011619 	0.765 	0.114 	0.077 	0.191 
011620 	0.766 	0.115 	0.076 	0.190 
011621 	0.766 	0.115 	0.076 	0.189 
011622 	0.766 	0.115 	0.076 	0.189 
011623 	0.766 	0.115 	0.076 	0.190 
011624 	0.766 	0.116 	0.075 	0.189 
011625 	0.766 	0.115 	0.076 	0.192 
011626 	0.766 	0.114 	0.076 	0.194 
011627 	0.765 	0.116 	0.076 	0.193 
011628 	0.765 	0.116 	0.075 	0.193 
011629 	0.765 	0.115 	0.075 	0.195 
011630 	0.765 	0.115 	0.075 	0.197 
011631 	0.764 	0.113 	0.070 	0.199 
011632 	0.764 	0.112 	0.070 	0.198 
011633 	0.764 	0.111 	0.070 	0.198 
011634 	0.762 	0.111 	0.071 	0.193 
011635 	0.763 	0.113 	0.069 	0.187 
011636 	0.762 	0.111 	0.070 	0.188 
011637 	0.762 	0.113 	0.070 	0.186 
011638 	0.759 	0.118 	0.077 	0.186 
011639 	0.758 	0.118 	0.077 	0.186 
011640 	0.758 	0.118 	0.077 	0.186 
011641 	0.759 	0.121 	0.075 	0.182 
011642 	0.758 	0.120 	0.076 	0.184 
011643 	0.759 	0.122 	0.075 	0.184 
011644 	0.758 	0.123 	0.077 	0.184 
011645 	0.757 	0.113 	0.073 	0.193 
011646 	0.756 	0.114 	0.075 	0.197 
011647 	0.755 	0.112 	0.076 	0.200 
011648 	0.754 	0.111 	0.073 	0.194 
011649 	0.751 	0.124 	0.078 	0.183 
011650 	0.750 	0.125 	0.079 	0.183 
011651 	0.748 	0.128 	0.077 	0.176 
011652 	0.747 	0.129 	0.077 	0.173 
011653 	0.746 	0.131 	0.077 	0.171 
011654 	0.743 	0.133 	0.078 	0.169 
011655 	0.742 	0.138 	0.077 	0.166 
011656 	0.737 	0.138 	0.080 	0.164 
011657 	0.734 	0.138 	0.082 	0.167 
011658 	0.731 	0.139 	0.082 	0.167 
011659 	0.731 	0.121 	0.079 	0.186 
011660 	0.731 	0.111 	0.074 	0.197 
011661 	0.728 	0.106 	0.076 	0.203 
011662 	0.724 	0.118 	0.079 	0.190 
011663 	0.722 	0.120 	0.078 	0.186 
011664 	0.719 	0.121 	0.081 	0.185 
011665 	0.719 	0.121 	0.081 	0.185 
011666 	0.716 	0.119 	0.083 	0.182 
011667 	0.711 	0.125 	0.085 	0.176 
011668 	0.708 	0.128 	0.084 	0.175 
011669 	0.706 	0.120 	0.083 	0.178 
011670 	0.706 	0.110 	0.078 	0.184 
011671 	0.703 	0.105 	0.077 	0.192 
011672 	0.701 	0.104 	0.078 	0.193 
011673 	0.699 	0.104 	0.078 	0.195 
011674 	0.694 	0.111 	0.082 	0.192 
011675 	0.692 	0.113 	0.077 	0.185 
011676 	0.688 	0.112 	0.078 	0.187 
011677 	0.684 	0.117 	0.083 	0.185 
011678 	0.683 	0.109 	0.081 	0.192 
011679 	0.682 	0.107 	0.074 	0.191 
011680 	0.678 	0.105 	0.078 	0.196 
011681 	0.677 	0.104 	0.074 	0.198 
011682 	0.675 	0.104 	0.073 	0.200 
011683 	0.671 	0.102 	0.075 	0.203 
011684 	0.668 	0.100 	0.078 	0.207 
011685 	0.666 	0.101 	0.074 	0.204 
011686 	0.663 	0.101 	0.075 	0.203 
011687 	0.661 	0.104 	0.076 	0.200 
011688 	0.658 	0.107 	0.075 	0.194 
011689 	0.653 	0.100 	0.073 	0.201 
011690 	0.653 	0.100 	0.073 	0.201 
011691 	0.651 	0.098 	0.074 	0.203 
011692 	0.649 	0.097 	0.074 	0.202 
