Text:  AND THESE VOTES MATTER NOT JUST IN PRESIDENTIAL ELECTIONS THEY MATTER IN LOCAL AND STATE ELECTIONS 
Conf:  4
Ref:   0d6iSvF1UmA

FRAME 	X 	Y 	W 	H 
012612 	0.672 	0.092 	0.078 	0.204 
012613 	0.671 	0.093 	0.078 	0.203 
012614 	0.672 	0.093 	0.078 	0.201 
012615 	0.672 	0.093 	0.078 	0.201 
012616 	0.671 	0.093 	0.077 	0.198 
012617 	0.671 	0.094 	0.076 	0.197 
012618 	0.672 	0.093 	0.076 	0.199 
012619 	0.673 	0.096 	0.075 	0.196 
012620 	0.673 	0.096 	0.073 	0.197 
012621 	0.673 	0.097 	0.075 	0.196 
012622 	0.674 	0.097 	0.075 	0.193 
012623 	0.674 	0.096 	0.076 	0.192 
012624 	0.676 	0.097 	0.074 	0.196 
012625 	0.676 	0.097 	0.074 	0.200 
012626 	0.678 	0.099 	0.072 	0.197 
012627 	0.678 	0.100 	0.073 	0.194 
012628 	0.677 	0.101 	0.074 	0.193 
012629 	0.677 	0.100 	0.075 	0.193 
012630 	0.678 	0.101 	0.076 	0.192 
012631 	0.678 	0.101 	0.077 	0.194 
012632 	0.678 	0.101 	0.076 	0.197 
012633 	0.679 	0.102 	0.073 	0.198 
012634 	0.678 	0.102 	0.074 	0.199 
012635 	0.679 	0.102 	0.075 	0.198 
012636 	0.680 	0.103 	0.075 	0.194 
012637 	0.681 	0.103 	0.074 	0.195 
012638 	0.681 	0.104 	0.074 	0.193 
012639 	0.682 	0.105 	0.073 	0.191 
012640 	0.682 	0.105 	0.073 	0.191 
012641 	0.681 	0.101 	0.076 	0.194 
012642 	0.681 	0.097 	0.072 	0.202 
012643 	0.684 	0.104 	0.080 	0.196 
012644 	0.689 	0.099 	0.075 	0.195 
012645 	0.690 	0.100 	0.075 	0.193 
012646 	0.691 	0.100 	0.078 	0.192 
012647 	0.692 	0.101 	0.076 	0.191 
012648 	0.692 	0.100 	0.077 	0.192 
012649 	0.693 	0.101 	0.076 	0.195 
012650 	0.694 	0.102 	0.076 	0.193 
012651 	0.695 	0.102 	0.076 	0.191 
012652 	0.696 	0.102 	0.076 	0.191 
012653 	0.695 	0.103 	0.076 	0.191 
012654 	0.695 	0.103 	0.076 	0.191 
012655 	0.695 	0.101 	0.077 	0.191 
012656 	0.696 	0.099 	0.078 	0.189 
012657 	0.698 	0.099 	0.076 	0.191 
012658 	0.699 	0.101 	0.075 	0.192 
012659 	0.699 	0.101 	0.075 	0.194 
012660 	0.699 	0.104 	0.074 	0.189 
012661 	0.699 	0.104 	0.076 	0.188 
012662 	0.698 	0.103 	0.077 	0.188 
012663 	0.698 	0.103 	0.075 	0.191 
