Text:  LAN DIEP THE ELDEST SON OF POLITICAL REFUGEES FROM VIETNAM RAN FOR A SEAT IN THE SAN JOSE CITY COUNCIL HE LOST THAT ELECTION BY 13 VOTES 
Conf:  3
Ref:   0d6iSvF1UmA

FRAME 	X 	Y 	W 	H 
012809 	0.540 	0.148 	0.164 	0.407 
012810 	0.538 	0.141 	0.163 	0.406 
012811 	0.538 	0.138 	0.161 	0.407 
012812 	0.538 	0.139 	0.162 	0.409 
012813 	0.539 	0.140 	0.161 	0.424 
012814 	0.539 	0.147 	0.162 	0.422 
012815 	0.539 	0.147 	0.162 	0.422 
012816 	0.541 	0.149 	0.163 	0.421 
012817 	0.542 	0.149 	0.164 	0.420 
012818 	0.543 	0.152 	0.165 	0.407 
012819 	0.543 	0.153 	0.164 	0.403 
012820 	0.544 	0.154 	0.163 	0.401 
012821 	0.543 	0.157 	0.164 	0.399 
012822 	0.544 	0.161 	0.162 	0.400 
012823 	0.544 	0.163 	0.160 	0.404 
012824 	0.544 	0.164 	0.160 	0.404 
012825 	0.544 	0.164 	0.159 	0.406 
012826 	0.544 	0.163 	0.159 	0.405 
012827 	0.543 	0.163 	0.160 	0.403 
012828 	0.542 	0.163 	0.159 	0.400 
012829 	0.542 	0.162 	0.159 	0.406 
012830 	0.542 	0.162 	0.158 	0.406 
012831 	0.542 	0.158 	0.157 	0.410 
012832 	0.540 	0.157 	0.158 	0.408 
012833 	0.538 	0.155 	0.159 	0.411 
012834 	0.536 	0.155 	0.161 	0.414 
012835 	0.535 	0.152 	0.160 	0.417 
012836 	0.535 	0.146 	0.160 	0.421 
012837 	0.532 	0.141 	0.164 	0.413 
012838 	0.533 	0.134 	0.162 	0.414 
012839 	0.533 	0.128 	0.160 	0.415 
012840 	0.533 	0.128 	0.160 	0.415 
012841 	0.533 	0.125 	0.159 	0.425 
012842 	0.535 	0.129 	0.158 	0.427 
012843 	0.535 	0.133 	0.158 	0.422 
012844 	0.535 	0.135 	0.158 	0.413 
012845 	0.534 	0.136 	0.159 	0.400 
012846 	0.533 	0.133 	0.160 	0.398 
012847 	0.533 	0.132 	0.159 	0.394 
012848 	0.532 	0.134 	0.158 	0.404 
012849 	0.532 	0.136 	0.157 	0.399 
012850 	0.532 	0.138 	0.156 	0.399 
012851 	0.530 	0.140 	0.158 	0.401 
012852 	0.531 	0.143 	0.159 	0.403 
012853 	0.532 	0.145 	0.159 	0.402 
012854 	0.533 	0.146 	0.159 	0.402 
012855 	0.535 	0.147 	0.160 	0.406 
012856 	0.538 	0.148 	0.160 	0.409 
012857 	0.539 	0.147 	0.162 	0.407 
012858 	0.540 	0.148 	0.161 	0.407 
012859 	0.541 	0.147 	0.159 	0.407 
012860 	0.542 	0.148 	0.159 	0.402 
012861 	0.544 	0.151 	0.159 	0.403 
012862 	0.545 	0.149 	0.159 	0.406 
012863 	0.546 	0.149 	0.159 	0.403 
012864 	0.547 	0.148 	0.158 	0.401 
012865 	0.547 	0.148 	0.158 	0.401 
012866 	0.547 	0.147 	0.157 	0.402 
012867 	0.548 	0.151 	0.156 	0.399 
012868 	0.549 	0.152 	0.156 	0.401 
012869 	0.548 	0.153 	0.158 	0.401 
012870 	0.548 	0.153 	0.158 	0.402 
012871 	0.548 	0.153 	0.158 	0.403 
012872 	0.548 	0.153 	0.158 	0.402 
012873 	0.548 	0.152 	0.158 	0.402 
012874 	0.548 	0.151 	0.160 	0.401 
012875 	0.547 	0.150 	0.160 	0.401 
012876 	0.547 	0.152 	0.159 	0.398 
012877 	0.547 	0.151 	0.159 	0.407 
012878 	0.547 	0.152 	0.159 	0.412 
012879 	0.548 	0.154 	0.159 	0.407 
012880 	0.547 	0.156 	0.159 	0.406 
012881 	0.548 	0.158 	0.157 	0.403 
012882 	0.547 	0.159 	0.157 	0.403 
012883 	0.548 	0.159 	0.156 	0.404 
012884 	0.549 	0.160 	0.154 	0.407 
012885 	0.548 	0.161 	0.154 	0.409 
012886 	0.549 	0.161 	0.155 	0.409 
012887 	0.548 	0.161 	0.156 	0.410 
012888 	0.548 	0.161 	0.156 	0.412 
012889 	0.549 	0.161 	0.156 	0.412 
012890 	0.549 	0.161 	0.156 	0.412 
012891 	0.548 	0.160 	0.157 	0.411 
012892 	0.548 	0.159 	0.157 	0.405 
012893 	0.548 	0.159 	0.157 	0.402 
012894 	0.548 	0.158 	0.157 	0.403 
012895 	0.548 	0.157 	0.157 	0.405 
012896 	0.548 	0.157 	0.156 	0.403 
012897 	0.548 	0.159 	0.156 	0.405 
012898 	0.548 	0.161 	0.156 	0.407 
012899 	0.548 	0.162 	0.156 	0.411 
012900 	0.548 	0.164 	0.155 	0.416 
012901 	0.547 	0.166 	0.155 	0.415 
012902 	0.547 	0.167 	0.157 	0.412 
012903 	0.547 	0.168 	0.157 	0.409 
012904 	0.547 	0.169 	0.157 	0.411 
012905 	0.548 	0.168 	0.156 	0.412 
012906 	0.549 	0.170 	0.154 	0.407 
012907 	0.549 	0.169 	0.154 	0.413 
012908 	0.549 	0.171 	0.153 	0.408 
012909 	0.548 	0.169 	0.156 	0.403 
012910 	0.550 	0.172 	0.155 	0.404 
012911 	0.549 	0.172 	0.155 	0.402 
012912 	0.549 	0.172 	0.155 	0.402 
012913 	0.549 	0.172 	0.155 	0.403 
012914 	0.549 	0.172 	0.156 	0.403 
012915 	0.549 	0.172 	0.156 	0.403 
012916 	0.549 	0.173 	0.155 	0.403 
012917 	0.550 	0.173 	0.155 	0.402 
012918 	0.550 	0.172 	0.156 	0.404 
012919 	0.549 	0.176 	0.156 	0.397 
012920 	0.550 	0.175 	0.155 	0.394 
012921 	0.550 	0.175 	0.154 	0.395 
012922 	0.550 	0.175 	0.155 	0.395 
012923 	0.549 	0.174 	0.156 	0.396 
012924 	0.550 	0.175 	0.156 	0.395 
012925 	0.550 	0.173 	0.157 	0.396 
012926 	0.551 	0.173 	0.156 	0.397 
012927 	0.551 	0.173 	0.155 	0.400 
012928 	0.551 	0.172 	0.158 	0.398 
012929 	0.551 	0.170 	0.157 	0.398 
012930 	0.551 	0.170 	0.155 	0.395 
012931 	0.552 	0.166 	0.154 	0.396 
012932 	0.552 	0.167 	0.155 	0.395 
012933 	0.552 	0.164 	0.156 	0.399 
012934 	0.552 	0.165 	0.156 	0.399 
012935 	0.553 	0.163 	0.156 	0.403 
012936 	0.553 	0.158 	0.155 	0.409 
012937 	0.554 	0.157 	0.153 	0.418 
012938 	0.554 	0.155 	0.155 	0.422 
012939 	0.554 	0.154 	0.155 	0.420 
012940 	0.554 	0.154 	0.155 	0.420 
012941 	0.554 	0.156 	0.155 	0.417 
012942 	0.554 	0.160 	0.154 	0.411 
012943 	0.555 	0.163 	0.153 	0.406 
012944 	0.555 	0.162 	0.154 	0.410 
012945 	0.556 	0.165 	0.152 	0.408 
012946 	0.557 	0.166 	0.152 	0.405 
012947 	0.558 	0.165 	0.153 	0.409 
012948 	0.560 	0.163 	0.153 	0.414 
012949 	0.562 	0.163 	0.153 	0.424 
012950 	0.561 	0.163 	0.155 	0.418 
