Text:  YEAR HE DUSTED OFF THOSE CAMPAIGN SHOES AND WENT BACK TO RUN FOR THAT SEAT AND THIS TIME HE WON 
Conf:  4
Ref:   0d6iSvF1UmA

FRAME 	X 	Y 	W 	H 
013155 	0.668 	0.097 	0.077 	0.196 
013156 	0.668 	0.097 	0.076 	0.196 
013157 	0.668 	0.099 	0.076 	0.194 
013158 	0.669 	0.100 	0.076 	0.193 
013159 	0.668 	0.101 	0.076 	0.193 
013160 	0.668 	0.101 	0.076 	0.193 
013161 	0.668 	0.101 	0.077 	0.193 
013162 	0.668 	0.101 	0.077 	0.192 
013163 	0.668 	0.101 	0.077 	0.193 
013164 	0.668 	0.101 	0.077 	0.192 
013165 	0.668 	0.101 	0.077 	0.192 
013166 	0.668 	0.101 	0.077 	0.192 
013167 	0.667 	0.101 	0.077 	0.191 
013168 	0.668 	0.102 	0.077 	0.190 
013169 	0.668 	0.102 	0.077 	0.191 
013170 	0.668 	0.102 	0.077 	0.191 
013171 	0.668 	0.102 	0.076 	0.192 
013172 	0.668 	0.102 	0.077 	0.193 
013173 	0.668 	0.101 	0.076 	0.195 
013174 	0.668 	0.100 	0.076 	0.198 
013175 	0.667 	0.100 	0.076 	0.199 
013176 	0.668 	0.099 	0.076 	0.199 
013177 	0.668 	0.098 	0.076 	0.200 
013178 	0.667 	0.097 	0.076 	0.199 
013179 	0.667 	0.096 	0.076 	0.199 
013180 	0.666 	0.096 	0.078 	0.197 
013181 	0.666 	0.096 	0.078 	0.195 
013182 	0.666 	0.097 	0.077 	0.195 
013183 	0.666 	0.096 	0.077 	0.199 
013184 	0.666 	0.097 	0.077 	0.198 
013185 	0.665 	0.098 	0.077 	0.194 
013186 	0.665 	0.098 	0.077 	0.194 
013187 	0.666 	0.099 	0.076 	0.194 
013188 	0.667 	0.101 	0.075 	0.194 
013189 	0.666 	0.101 	0.076 	0.193 
013190 	0.666 	0.101 	0.076 	0.193 
013191 	0.667 	0.101 	0.076 	0.194 
013192 	0.667 	0.100 	0.076 	0.195 
013193 	0.667 	0.099 	0.077 	0.197 
013194 	0.666 	0.099 	0.078 	0.194 
013195 	0.666 	0.100 	0.078 	0.192 
013196 	0.667 	0.099 	0.077 	0.193 
013197 	0.667 	0.098 	0.077 	0.195 
013198 	0.667 	0.097 	0.077 	0.197 
013199 	0.668 	0.098 	0.078 	0.196 
013200 	0.667 	0.098 	0.077 	0.195 
013201 	0.667 	0.099 	0.076 	0.194 
013202 	0.666 	0.099 	0.076 	0.195 
013203 	0.666 	0.098 	0.078 	0.198 
013204 	0.664 	0.100 	0.078 	0.196 
013205 	0.664 	0.099 	0.077 	0.196 
013206 	0.662 	0.098 	0.078 	0.193 
013207 	0.661 	0.099 	0.078 	0.191 
013208 	0.660 	0.100 	0.078 	0.192 
013209 	0.660 	0.101 	0.077 	0.195 
013210 	0.658 	0.104 	0.077 	0.193 
013211 	0.654 	0.100 	0.076 	0.194 
013212 	0.653 	0.099 	0.076 	0.195 
013213 	0.651 	0.099 	0.076 	0.195 
013214 	0.649 	0.098 	0.078 	0.195 
013215 	0.649 	0.098 	0.078 	0.195 
013216 	0.647 	0.098 	0.077 	0.195 
013217 	0.645 	0.098 	0.079 	0.195 
013218 	0.643 	0.097 	0.079 	0.194 
013219 	0.641 	0.098 	0.079 	0.194 
013220 	0.639 	0.098 	0.078 	0.195 
013221 	0.637 	0.100 	0.078 	0.194 
013222 	0.637 	0.100 	0.076 	0.196 
013223 	0.634 	0.101 	0.075 	0.199 
013224 	0.632 	0.102 	0.076 	0.196 
013225 	0.629 	0.105 	0.077 	0.191 
013226 	0.627 	0.101 	0.075 	0.193 
013227 	0.626 	0.102 	0.073 	0.193 
013228 	0.623 	0.100 	0.075 	0.198 
013229 	0.622 	0.101 	0.076 	0.197 
013230 	0.620 	0.101 	0.075 	0.198 
013231 	0.619 	0.102 	0.075 	0.195 
013232 	0.618 	0.103 	0.075 	0.196 
013233 	0.618 	0.105 	0.075 	0.195 
013234 	0.617 	0.107 	0.073 	0.196 
013235 	0.616 	0.107 	0.074 	0.195 
013236 	0.615 	0.106 	0.074 	0.194 
013237 	0.614 	0.107 	0.075 	0.191 
013238 	0.612 	0.106 	0.076 	0.191 
013239 	0.612 	0.108 	0.075 	0.190 
013240 	0.612 	0.108 	0.075 	0.190 
013241 	0.611 	0.108 	0.075 	0.189 
013242 	0.609 	0.108 	0.075 	0.189 
013243 	0.608 	0.109 	0.075 	0.188 
013244 	0.608 	0.109 	0.075 	0.189 
013245 	0.607 	0.110 	0.074 	0.189 
013246 	0.606 	0.110 	0.074 	0.189 
013247 	0.606 	0.111 	0.073 	0.189 
013248 	0.605 	0.111 	0.074 	0.189 
013249 	0.605 	0.111 	0.075 	0.190 
013250 	0.602 	0.108 	0.075 	0.192 
013251 	0.601 	0.108 	0.075 	0.192 
013252 	0.600 	0.107 	0.075 	0.193 
013253 	0.600 	0.108 	0.074 	0.191 
013254 	0.600 	0.109 	0.072 	0.189 
013255 	0.599 	0.108 	0.072 	0.189 
013256 	0.598 	0.107 	0.073 	0.190 
013257 	0.597 	0.107 	0.074 	0.190 
013258 	0.596 	0.106 	0.074 	0.189 
013259 	0.596 	0.107 	0.075 	0.190 
013260 	0.596 	0.108 	0.074 	0.191 
013261 	0.594 	0.107 	0.075 	0.193 
013262 	0.595 	0.109 	0.074 	0.191 
013263 	0.594 	0.108 	0.075 	0.189 
013264 	0.594 	0.108 	0.075 	0.189 
013265 	0.594 	0.108 	0.075 	0.189 
013266 	0.594 	0.108 	0.075 	0.188 
013267 	0.594 	0.105 	0.075 	0.192 
013268 	0.594 	0.105 	0.076 	0.192 
