Text:  12 VOTES EVERY ONE OF OUR VOTES MATTERS AND WHEN PEOPLE LIKE LAN ARE SITTING AT THE POLICY TABLE THEY CAN MAKE A DIFFERENCE WE NEED THOSE VOICES WE NEED THOSE VOICES IN PART BECAUSE AMERICAN LEADERSHIP DOES NOT LOOK LIKE AMERICA'S RESIDENTS THERE ARE OVER 500000 LOCAL AND STATE OFFICES IN AMERICA FEWER THAN 2 PERCENT OF THOSE OFFICES ARE HELD BY ASIAN AMERICANS OR LATINOS THE TWO LARGEST IMMIGRANT GROUPS IN OUR COUNTRY 
Conf:  4
Ref:   0d6iSvF1UmA

FRAME 	X 	Y 	W 	H 
013373 	0.522 	0.170 	0.154 	0.411 
013374 	0.522 	0.173 	0.152 	0.405 
013375 	0.523 	0.170 	0.153 	0.400 
013376 	0.524 	0.171 	0.154 	0.404 
013377 	0.524 	0.174 	0.154 	0.402 
013378 	0.527 	0.173 	0.153 	0.410 
013379 	0.529 	0.171 	0.152 	0.420 
013380 	0.531 	0.169 	0.152 	0.426 
013381 	0.533 	0.170 	0.153 	0.422 
013382 	0.534 	0.171 	0.156 	0.416 
013383 	0.535 	0.170 	0.157 	0.411 
013384 	0.535 	0.172 	0.155 	0.407 
013385 	0.536 	0.172 	0.157 	0.405 
013386 	0.537 	0.171 	0.156 	0.401 
013387 	0.538 	0.173 	0.156 	0.395 
013388 	0.538 	0.172 	0.158 	0.395 
013389 	0.539 	0.171 	0.158 	0.397 
013390 	0.539 	0.171 	0.158 	0.397 
013391 	0.540 	0.172 	0.157 	0.397 
013392 	0.542 	0.169 	0.155 	0.401 
013393 	0.542 	0.171 	0.156 	0.398 
013394 	0.543 	0.173 	0.157 	0.396 
013395 	0.544 	0.174 	0.157 	0.397 
013396 	0.546 	0.175 	0.157 	0.400 
013397 	0.547 	0.173 	0.155 	0.403 
013398 	0.549 	0.173 	0.152 	0.405 
013399 	0.549 	0.171 	0.153 	0.410 
013400 	0.549 	0.174 	0.151 	0.405 
013401 	0.549 	0.174 	0.153 	0.405 
013402 	0.548 	0.173 	0.154 	0.406 
013403 	0.548 	0.175 	0.155 	0.404 
013404 	0.548 	0.174 	0.155 	0.406 
013405 	0.548 	0.174 	0.155 	0.406 
013406 	0.548 	0.173 	0.154 	0.407 
013407 	0.548 	0.174 	0.154 	0.405 
013408 	0.548 	0.174 	0.154 	0.404 
013409 	0.548 	0.174 	0.154 	0.403 
013410 	0.548 	0.174 	0.155 	0.402 
013411 	0.548 	0.173 	0.154 	0.404 
013412 	0.548 	0.173 	0.155 	0.404 
013413 	0.548 	0.174 	0.152 	0.402 
013414 	0.548 	0.175 	0.152 	0.401 
013415 	0.548 	0.175 	0.152 	0.401 
013416 	0.547 	0.174 	0.152 	0.401 
013417 	0.546 	0.173 	0.153 	0.404 
013418 	0.546 	0.175 	0.154 	0.400 
013419 	0.545 	0.174 	0.154 	0.403 
013420 	0.545 	0.171 	0.154 	0.406 
013421 	0.545 	0.171 	0.154 	0.407 
013422 	0.545 	0.173 	0.155 	0.406 
013423 	0.544 	0.173 	0.155 	0.404 
013424 	0.544 	0.172 	0.154 	0.404 
013425 	0.544 	0.172 	0.154 	0.404 
013426 	0.544 	0.172 	0.157 	0.404 
013427 	0.544 	0.173 	0.157 	0.403 
013428 	0.544 	0.172 	0.155 	0.403 
013429 	0.544 	0.172 	0.156 	0.403 
013430 	0.544 	0.172 	0.156 	0.404 
013431 	0.544 	0.172 	0.156 	0.405 
013432 	0.545 	0.172 	0.157 	0.405 
013433 	0.544 	0.173 	0.156 	0.405 
013434 	0.544 	0.173 	0.157 	0.406 
013435 	0.544 	0.171 	0.157 	0.406 
013436 	0.544 	0.170 	0.157 	0.408 
013437 	0.544 	0.170 	0.158 	0.409 
013438 	0.544 	0.170 	0.157 	0.408 
013439 	0.544 	0.169 	0.157 	0.411 
013440 	0.544 	0.169 	0.157 	0.411 
013441 	0.544 	0.169 	0.157 	0.410 
013442 	0.543 	0.169 	0.157 	0.410 
013443 	0.542 	0.169 	0.155 	0.413 
013444 	0.544 	0.167 	0.155 	0.420 
013445 	0.544 	0.164 	0.157 	0.427 
013446 	0.544 	0.161 	0.155 	0.430 
