Text:  YEAR THREE NEWLY ELECTED LATINAS JOINED THE YAKIMA CITY COUNCIL IN 2016 ONE OF THEM IS CARMEN M NDEZ SHE IS A FIRST GENERATION COLLEGE STUDENT SHE GREW UP PARTLY IN COLIMA MEXICO AND PARTLY IN YAKIMA WASHINGTON SHE'S A SINGLE MOTHER A COMMUNITY 
Conf:  4
Ref:   0d6iSvF1UmA

FRAME 	X 	Y 	W 	H 
014567 	0.682 	0.096 	0.079 	0.189 
014568 	0.681 	0.096 	0.079 	0.189 
014569 	0.678 	0.095 	0.079 	0.189 
014570 	0.677 	0.093 	0.079 	0.192 
014571 	0.676 	0.094 	0.079 	0.191 
014572 	0.675 	0.094 	0.079 	0.191 
014573 	0.675 	0.094 	0.079 	0.191 
014574 	0.675 	0.094 	0.079 	0.191 
014575 	0.675 	0.094 	0.078 	0.191 
014576 	0.675 	0.095 	0.077 	0.190 
014577 	0.675 	0.096 	0.077 	0.189 
014578 	0.675 	0.096 	0.077 	0.189 
014579 	0.675 	0.096 	0.077 	0.189 
014580 	0.676 	0.096 	0.076 	0.189 
014581 	0.675 	0.095 	0.077 	0.190 
014582 	0.675 	0.096 	0.077 	0.190 
014583 	0.675 	0.095 	0.077 	0.191 
014584 	0.675 	0.095 	0.077 	0.192 
014585 	0.675 	0.095 	0.077 	0.191 
014586 	0.675 	0.095 	0.077 	0.192 
014587 	0.676 	0.096 	0.076 	0.191 
014588 	0.675 	0.096 	0.077 	0.193 
014589 	0.675 	0.095 	0.077 	0.194 
014590 	0.675 	0.095 	0.077 	0.194 
014591 	0.675 	0.095 	0.076 	0.195 
014592 	0.675 	0.096 	0.077 	0.194 
014593 	0.675 	0.096 	0.076 	0.194 
014594 	0.675 	0.096 	0.077 	0.195 
014595 	0.676 	0.096 	0.076 	0.195 
014596 	0.676 	0.095 	0.076 	0.196 
014597 	0.676 	0.096 	0.077 	0.192 
014598 	0.676 	0.096 	0.076 	0.191 
014599 	0.676 	0.094 	0.076 	0.193 
014600 	0.675 	0.093 	0.076 	0.193 
014601 	0.675 	0.094 	0.075 	0.190 
014602 	0.675 	0.093 	0.075 	0.193 
014603 	0.675 	0.094 	0.074 	0.195 
014604 	0.674 	0.094 	0.075 	0.197 
014605 	0.673 	0.092 	0.076 	0.199 
014606 	0.673 	0.091 	0.076 	0.200 
014607 	0.673 	0.095 	0.076 	0.191 
014608 	0.673 	0.095 	0.075 	0.192 
014609 	0.673 	0.095 	0.075 	0.190 
014610 	0.673 	0.095 	0.075 	0.192 
014611 	0.672 	0.091 	0.077 	0.199 
014612 	0.673 	0.093 	0.077 	0.196 
014613 	0.673 	0.093 	0.077 	0.196 
014614 	0.675 	0.096 	0.075 	0.193 
014615 	0.675 	0.096 	0.075 	0.193 
014616 	0.676 	0.098 	0.075 	0.193 
014617 	0.677 	0.098 	0.076 	0.193 
014618 	0.679 	0.099 	0.075 	0.193 
014619 	0.679 	0.101 	0.076 	0.191 
014620 	0.680 	0.101 	0.077 	0.194 
014621 	0.680 	0.101 	0.078 	0.193 
014622 	0.682 	0.102 	0.078 	0.192 
014623 	0.683 	0.101 	0.078 	0.194 
014624 	0.684 	0.099 	0.078 	0.196 
014625 	0.685 	0.098 	0.079 	0.197 
014626 	0.686 	0.099 	0.079 	0.195 
014627 	0.688 	0.100 	0.079 	0.191 
014628 	0.689 	0.100 	0.078 	0.189 
014629 	0.691 	0.101 	0.077 	0.188 
014630 	0.692 	0.099 	0.076 	0.189 
014631 	0.693 	0.097 	0.077 	0.193 
014632 	0.694 	0.099 	0.075 	0.194 
014633 	0.695 	0.101 	0.074 	0.194 
014634 	0.696 	0.102 	0.074 	0.191 
014635 	0.696 	0.103 	0.076 	0.188 
014636 	0.697 	0.105 	0.076 	0.185 
014637 	0.698 	0.105 	0.075 	0.186 
014638 	0.698 	0.105 	0.075 	0.187 
014639 	0.698 	0.105 	0.075 	0.188 
014640 	0.698 	0.105 	0.075 	0.188 
014641 	0.698 	0.105 	0.075 	0.188 
014642 	0.698 	0.105 	0.075 	0.188 
014643 	0.698 	0.105 	0.076 	0.187 
014644 	0.698 	0.105 	0.076 	0.186 
014645 	0.698 	0.105 	0.075 	0.187 
014646 	0.698 	0.105 	0.076 	0.186 
014647 	0.698 	0.106 	0.076 	0.185 
014648 	0.698 	0.105 	0.075 	0.185 
014649 	0.698 	0.105 	0.075 	0.186 
014650 	0.697 	0.105 	0.075 	0.185 
