Text:  MOST UNTAPPED RESOURCE IN AMERICAN DEMOCRACY IS THE VANTAGE POINT THAT IMMIGRANTS BRING WE HAVE FOUGHT TO BE HERE WE HAVE COME FOR ECONOMIC AND EDUCATIONAL OPPORTUNITY WE HAVE COME FOR POLITICAL AND RELIGIOUS FREEDOM WE HAVE COME IN THE PURSUIT OF LOVE THAT DEDICATION THAT COMMITMENT TO AMERICA WE ALSO BRING TO PUBLIC SERVICE PEOPLE LIKE ATHENA SALMAN WHO JUST LAST WEEK WON THE PRIMARY FOR A SEAT IN THE ARIZONA STATE HOUSE ATHENA'S FATHER GREW UP IN THE WEST BANK AND MOVED TO CHICAGO WHERE HE MET HER MOTHER HER MOTHER IS PART ITALIAN PART MEXICAN AND PART GERMAN TOGETHER THEY MOVED TO ARIZONA AND BUILT A LIFE ATHENA WHEN SHE GETS TO THE STATEHOUSE IS GOING TO FIGHT FOR THINGS LIKE EDUCATION FUNDING THAT 
Conf:  4
Ref:   0d6iSvF1UmA

FRAME 	X 	Y 	W 	H 
015433 	0.637 	0.141 	0.156 	0.392 
015434 	0.641 	0.137 	0.155 	0.391 
015435 	0.641 	0.134 	0.154 	0.394 
015436 	0.644 	0.129 	0.150 	0.416 
015437 	0.647 	0.126 	0.150 	0.424 
015438 	0.650 	0.128 	0.150 	0.413 
015439 	0.650 	0.132 	0.153 	0.403 
015440 	0.650 	0.132 	0.153 	0.403 
015441 	0.652 	0.134 	0.151 	0.405 
015442 	0.654 	0.137 	0.151 	0.400 
015443 	0.656 	0.135 	0.152 	0.402 
015444 	0.659 	0.134 	0.155 	0.408 
015445 	0.660 	0.131 	0.156 	0.420 
015446 	0.663 	0.128 	0.155 	0.421 
015447 	0.664 	0.130 	0.154 	0.416 
015448 	0.666 	0.131 	0.153 	0.413 
015449 	0.669 	0.138 	0.155 	0.400 
015450 	0.668 	0.140 	0.162 	0.400 
015451 	0.670 	0.144 	0.161 	0.395 
015452 	0.673 	0.141 	0.161 	0.412 
015453 	0.677 	0.142 	0.162 	0.410 
015454 	0.682 	0.143 	0.161 	0.412 
015455 	0.685 	0.142 	0.157 	0.406 
015456 	0.687 	0.143 	0.155 	0.406 
015457 	0.691 	0.143 	0.156 	0.404 
015458 	0.695 	0.143 	0.155 	0.408 
015459 	0.697 	0.145 	0.158 	0.408 
015460 	0.698 	0.146 	0.158 	0.413 
015461 	0.700 	0.148 	0.156 	0.414 
015462 	0.702 	0.150 	0.157 	0.408 
015463 	0.703 	0.151 	0.156 	0.405 
015464 	0.705 	0.152 	0.155 	0.399 
015465 	0.705 	0.152 	0.155 	0.399 
015466 	0.706 	0.153 	0.156 	0.398 
015467 	0.707 	0.152 	0.153 	0.402 
015468 	0.707 	0.153 	0.152 	0.400 
015469 	0.708 	0.152 	0.152 	0.402 
015470 	0.708 	0.152 	0.154 	0.404 
015471 	0.709 	0.151 	0.152 	0.404 
015472 	0.708 	0.151 	0.152 	0.401 
015473 	0.710 	0.150 	0.150 	0.411 
015474 	0.711 	0.153 	0.146 	0.414 
015475 	0.711 	0.155 	0.148 	0.417 
015476 	0.711 	0.155 	0.148 	0.412 
015477 	0.710 	0.157 	0.146 	0.404 
015478 	0.709 	0.156 	0.148 	0.404 
015479 	0.708 	0.156 	0.148 	0.403 
015480 	0.706 	0.157 	0.152 	0.401 
015481 	0.706 	0.162 	0.151 	0.397 
015482 	0.707 	0.163 	0.152 	0.395 
015483 	0.706 	0.166 	0.152 	0.397 
015484 	0.706 	0.164 	0.147 	0.407 
015485 	0.706 	0.163 	0.144 	0.412 
015486 	0.704 	0.164 	0.147 	0.401 
015487 	0.703 	0.165 	0.148 	0.395 
015488 	0.702 	0.165 	0.151 	0.394 
015489 	0.700 	0.164 	0.151 	0.393 
015490 	0.700 	0.164 	0.151 	0.393 
015491 	0.699 	0.162 	0.150 	0.396 
015492 	0.697 	0.160 	0.147 	0.398 
015493 	0.697 	0.159 	0.148 	0.401 
015494 	0.695 	0.159 	0.149 	0.398 
015495 	0.693 	0.158 	0.150 	0.400 
015496 	0.693 	0.159 	0.153 	0.401 
015497 	0.690 	0.159 	0.154 	0.400 
015498 	0.690 	0.159 	0.154 	0.401 
015499 	0.687 	0.158 	0.154 	0.403 
015500 	0.686 	0.157 	0.152 	0.402 
015501 	0.685 	0.159 	0.152 	0.396 
015502 	0.684 	0.159 	0.150 	0.392 
015503 	0.682 	0.159 	0.153 	0.399 
015504 	0.679 	0.160 	0.155 	0.394 
015505 	0.676 	0.160 	0.159 	0.395 
015506 	0.675 	0.159 	0.162 	0.398 
015507 	0.672 	0.158 	0.163 	0.395 
015508 	0.672 	0.159 	0.161 	0.396 
015509 	0.670 	0.160 	0.164 	0.394 
015510 	0.669 	0.158 	0.166 	0.398 
015511 	0.669 	0.151 	0.152 	0.405 
015512 	0.668 	0.150 	0.150 	0.408 
015513 	0.667 	0.149 	0.148 	0.414 
015514 	0.667 	0.149 	0.148 	0.418 
015515 	0.667 	0.149 	0.148 	0.418 
015516 	0.665 	0.148 	0.148 	0.417 
015517 	0.663 	0.145 	0.146 	0.421 
015518 	0.661 	0.141 	0.147 	0.425 
015519 	0.658 	0.140 	0.152 	0.418 
015520 	0.654 	0.137 	0.151 	0.401 
015521 	0.649 	0.131 	0.157 	0.393 
015522 	0.645 	0.127 	0.153 	0.392 
015523 	0.641 	0.124 	0.154 	0.391 
015524 	0.638 	0.122 	0.157 	0.393 
015525 	0.637 	0.122 	0.156 	0.395 
015526 	0.633 	0.122 	0.156 	0.397 
015527 	0.626 	0.125 	0.166 	0.395 
015528 	0.625 	0.123 	0.169 	0.404 
015529 	0.623 	0.120 	0.167 	0.419 
015530 	0.620 	0.125 	0.167 	0.411 
015531 	0.616 	0.125 	0.167 	0.407 
015532 	0.615 	0.119 	0.151 	0.405 
015533 	0.612 	0.120 	0.155 	0.405 
015534 	0.609 	0.119 	0.148 	0.406 
015535 	0.604 	0.121 	0.148 	0.399 
015536 	0.603 	0.125 	0.149 	0.393 
015537 	0.599 	0.124 	0.150 	0.397 
015538 	0.597 	0.124 	0.152 	0.395 
015539 	0.594 	0.119 	0.148 	0.402 
015540 	0.594 	0.119 	0.148 	0.402 
015541 	0.593 	0.115 	0.147 	0.409 
015542 	0.593 	0.118 	0.147 	0.407 
015543 	0.594 	0.117 	0.146 	0.412 
015544 	0.596 	0.116 	0.149 	0.414 
015545 	0.599 	0.119 	0.156 	0.411 
015546 	0.601 	0.120 	0.156 	0.411 
015547 	0.602 	0.121 	0.155 	0.405 
015548 	0.605 	0.124 	0.154 	0.404 
015549 	0.607 	0.117 	0.153 	0.415 
015550 	0.608 	0.117 	0.154 	0.415 
015551 	0.610 	0.116 	0.153 	0.412 
015552 	0.611 	0.119 	0.153 	0.413 
015553 	0.613 	0.119 	0.152 	0.413 
015554 	0.613 	0.117 	0.145 	0.412 
015555 	0.613 	0.120 	0.148 	0.406 
015556 	0.613 	0.118 	0.146 	0.408 
015557 	0.612 	0.114 	0.148 	0.416 
015558 	0.612 	0.115 	0.143 	0.417 
015559 	0.612 	0.116 	0.140 	0.420 
015560 	0.611 	0.122 	0.147 	0.412 
015561 	0.610 	0.125 	0.149 	0.405 
015562 	0.609 	0.124 	0.153 	0.408 
015563 	0.607 	0.126 	0.152 	0.403 
015564 	0.605 	0.124 	0.152 	0.399 
015565 	0.605 	0.124 	0.152 	0.399 
015566 	0.603 	0.126 	0.150 	0.396 
015567 	0.601 	0.124 	0.149 	0.396 
015568 	0.601 	0.122 	0.148 	0.393 
015569 	0.599 	0.122 	0.147 	0.390 
015570 	0.597 	0.119 	0.149 	0.397 
015571 	0.595 	0.122 	0.152 	0.393 
015572 	0.593 	0.117 	0.153 	0.397 
015573 	0.592 	0.118 	0.155 	0.401 
015574 	0.590 	0.121 	0.154 	0.401 
015575 	0.589 	0.119 	0.153 	0.407 
015576 	0.588 	0.120 	0.156 	0.405 
015577 	0.588 	0.119 	0.154 	0.407 
015578 	0.587 	0.121 	0.155 	0.403 
015579 	0.586 	0.122 	0.157 	0.398 
015580 	0.584 	0.123 	0.157 	0.394 
015581 	0.584 	0.123 	0.157 	0.392 
015582 	0.583 	0.124 	0.156 	0.390 
015583 	0.582 	0.124 	0.155 	0.389 
015584 	0.581 	0.124 	0.156 	0.390 
015585 	0.577 	0.131 	0.161 	0.384 
015586 	0.575 	0.131 	0.164 	0.386 
015587 	0.575 	0.132 	0.165 	0.383 
015588 	0.575 	0.130 	0.164 	0.388 
015589 	0.575 	0.131 	0.165 	0.385 
015590 	0.575 	0.131 	0.165 	0.385 
015591 	0.574 	0.129 	0.168 	0.389 
015592 	0.575 	0.122 	0.166 	0.396 
015593 	0.576 	0.120 	0.166 	0.405 
015594 	0.576 	0.121 	0.159 	0.406 
015595 	0.576 	0.119 	0.158 	0.413 
015596 	0.575 	0.116 	0.163 	0.412 
015597 	0.576 	0.115 	0.159 	0.412 
015598 	0.576 	0.113 	0.159 	0.412 
015599 	0.577 	0.110 	0.156 	0.417 
015600 	0.578 	0.107 	0.154 	0.417 
015601 	0.580 	0.107 	0.152 	0.413 
015602 	0.580 	0.104 	0.151 	0.420 
015603 	0.580 	0.106 	0.152 	0.412 
015604 	0.580 	0.103 	0.153 	0.411 
015605 	0.580 	0.105 	0.154 	0.407 
015606 	0.581 	0.103 	0.155 	0.411 
015607 	0.582 	0.104 	0.152 	0.415 
015608 	0.582 	0.104 	0.149 	0.419 
015609 	0.583 	0.105 	0.150 	0.419 
015610 	0.584 	0.104 	0.148 	0.425 
015611 	0.586 	0.106 	0.150 	0.421 
015612 	0.586 	0.102 	0.151 	0.425 
015613 	0.586 	0.102 	0.152 	0.415 
015614 	0.585 	0.104 	0.151 	0.411 
015615 	0.585 	0.104 	0.151 	0.411 
015616 	0.585 	0.107 	0.152 	0.404 
015617 	0.584 	0.107 	0.152 	0.400 
015618 	0.584 	0.109 	0.152 	0.399 
015619 	0.583 	0.107 	0.152 	0.399 
015620 	0.582 	0.109 	0.152 	0.396 
015621 	0.582 	0.111 	0.155 	0.397 
015622 	0.580 	0.112 	0.154 	0.399 
015623 	0.582 	0.117 	0.152 	0.405 
015624 	0.581 	0.116 	0.154 	0.413 
015625 	0.582 	0.119 	0.152 	0.422 
015626 	0.582 	0.123 	0.152 	0.419 
015627 	0.581 	0.124 	0.155 	0.419 
015628 	0.580 	0.124 	0.155 	0.412 
015629 	0.579 	0.124 	0.156 	0.407 
015630 	0.580 	0.127 	0.157 	0.402 
015631 	0.581 	0.127 	0.156 	0.402 
015632 	0.581 	0.124 	0.156 	0.406 
015633 	0.583 	0.123 	0.158 	0.404 
015634 	0.584 	0.122 	0.157 	0.405 
015635 	0.583 	0.122 	0.156 	0.402 
015636 	0.584 	0.122 	0.156 	0.400 
015637 	0.583 	0.124 	0.156 	0.397 
015638 	0.584 	0.122 	0.154 	0.400 
015639 	0.585 	0.123 	0.153 	0.401 
015640 	0.585 	0.123 	0.153 	0.401 
015641 	0.585 	0.119 	0.155 	0.408 
015642 	0.587 	0.120 	0.154 	0.408 
015643 	0.588 	0.120 	0.153 	0.413 
015644 	0.589 	0.119 	0.151 	0.418 
