Text:  VOTES VOICES AND VANTAGE POINTS ARE WHAT WE ALL NEED TO WORK TO INCLUDE IN AMERICAN DEMOCRACY IT'S NOT JUST MY WORK IT'S ALSO YOURS AND IT'S NOT GOING TO BE EASY WE NEVER KNOW WHAT PUTTING A NEW FACTOR INTO AN EQUATION WILL DO AND IT'S A LITTLE SCARY YOU'RE SCARED THAT I'M GOING TO TAKE AWAY YOUR PLACE AT THE TABLE AND I'M SCARED THAT I'M NEVER GOING TO GET A PLACE AT THE TABLE 
Conf:  4
Ref:   0d6iSvF1UmA

FRAME 	X 	Y 	W 	H 
017087 	0.767 	0.119 	0.076 	0.181 
017088 	0.768 	0.120 	0.075 	0.182 
017089 	0.770 	0.122 	0.074 	0.185 
017090 	0.770 	0.122 	0.074 	0.185 
017091 	0.770 	0.118 	0.075 	0.199 
017092 	0.770 	0.119 	0.074 	0.198 
017093 	0.771 	0.120 	0.074 	0.196 
017094 	0.773 	0.121 	0.074 	0.193 
017095 	0.773 	0.123 	0.074 	0.192 
017096 	0.773 	0.123 	0.075 	0.192 
017097 	0.773 	0.124 	0.075 	0.190 
017098 	0.775 	0.124 	0.075 	0.192 
017099 	0.774 	0.124 	0.077 	0.190 
017100 	0.774 	0.123 	0.077 	0.190 
017101 	0.774 	0.123 	0.078 	0.190 
017102 	0.774 	0.121 	0.077 	0.193 
017103 	0.773 	0.121 	0.076 	0.199 
017104 	0.772 	0.122 	0.077 	0.198 
017105 	0.770 	0.121 	0.078 	0.197 
017106 	0.770 	0.121 	0.078 	0.194 
017107 	0.767 	0.120 	0.079 	0.192 
017108 	0.766 	0.119 	0.079 	0.193 
017109 	0.765 	0.120 	0.080 	0.192 
017110 	0.765 	0.119 	0.081 	0.191 
017111 	0.764 	0.120 	0.081 	0.190 
017112 	0.764 	0.120 	0.081 	0.191 
017113 	0.764 	0.119 	0.080 	0.196 
017114 	0.764 	0.119 	0.079 	0.195 
017115 	0.764 	0.119 	0.079 	0.195 
017116 	0.763 	0.118 	0.080 	0.194 
017117 	0.763 	0.119 	0.079 	0.192 
017118 	0.762 	0.122 	0.080 	0.192 
017119 	0.762 	0.123 	0.079 	0.194 
017120 	0.763 	0.125 	0.077 	0.196 
017121 	0.763 	0.127 	0.076 	0.195 
017122 	0.761 	0.127 	0.076 	0.194 
017123 	0.761 	0.127 	0.075 	0.193 
017124 	0.760 	0.127 	0.076 	0.193 
017125 	0.760 	0.127 	0.075 	0.193 
017126 	0.760 	0.126 	0.074 	0.195 
017127 	0.758 	0.125 	0.075 	0.196 
017128 	0.758 	0.125 	0.074 	0.195 
017129 	0.758 	0.123 	0.074 	0.197 
017130 	0.757 	0.122 	0.073 	0.201 
017131 	0.756 	0.122 	0.075 	0.202 
017132 	0.755 	0.122 	0.075 	0.202 
017133 	0.754 	0.122 	0.074 	0.201 
017134 	0.752 	0.122 	0.075 	0.201 
017135 	0.750 	0.121 	0.075 	0.202 
017136 	0.748 	0.120 	0.076 	0.201 
017137 	0.747 	0.121 	0.076 	0.199 
017138 	0.745 	0.120 	0.077 	0.198 
017139 	0.743 	0.119 	0.078 	0.199 
017140 	0.743 	0.119 	0.078 	0.199 
017141 	0.742 	0.120 	0.076 	0.196 
017142 	0.739 	0.122 	0.077 	0.194 
017143 	0.738 	0.119 	0.078 	0.196 
017144 	0.737 	0.119 	0.078 	0.195 
017145 	0.736 	0.120 	0.077 	0.195 
017146 	0.733 	0.123 	0.077 	0.196 
017147 	0.732 	0.120 	0.075 	0.199 
017148 	0.730 	0.119 	0.076 	0.200 
017149 	0.729 	0.119 	0.076 	0.201 
017150 	0.728 	0.121 	0.077 	0.198 
017151 	0.727 	0.122 	0.076 	0.198 
017152 	0.726 	0.121 	0.076 	0.199 
017153 	0.725 	0.120 	0.076 	0.201 
017154 	0.724 	0.120 	0.076 	0.202 
017155 	0.723 	0.120 	0.075 	0.201 
017156 	0.722 	0.120 	0.075 	0.202 
017157 	0.721 	0.120 	0.075 	0.201 
017158 	0.719 	0.119 	0.075 	0.201 
017159 	0.719 	0.117 	0.075 	0.202 
017160 	0.717 	0.116 	0.076 	0.202 
017161 	0.716 	0.116 	0.076 	0.200 
017162 	0.714 	0.115 	0.077 	0.199 
017163 	0.714 	0.114 	0.075 	0.196 
017164 	0.713 	0.114 	0.075 	0.193 
017165 	0.713 	0.114 	0.075 	0.193 
017166 	0.711 	0.113 	0.075 	0.190 
017167 	0.710 	0.114 	0.072 	0.188 
017168 	0.708 	0.114 	0.074 	0.191 
017169 	0.706 	0.114 	0.074 	0.192 
017170 	0.705 	0.115 	0.072 	0.188 
017171 	0.704 	0.115 	0.072 	0.189 
017172 	0.702 	0.113 	0.072 	0.190 
017173 	0.700 	0.112 	0.073 	0.192 
017174 	0.698 	0.113 	0.074 	0.192 
017175 	0.697 	0.114 	0.075 	0.192 
017176 	0.696 	0.115 	0.074 	0.192 
017177 	0.696 	0.117 	0.073 	0.190 
017178 	0.695 	0.119 	0.073 	0.188 
017179 	0.694 	0.119 	0.073 	0.189 
017180 	0.692 	0.118 	0.075 	0.191 
017181 	0.691 	0.119 	0.075 	0.191 
017182 	0.690 	0.118 	0.075 	0.190 
017183 	0.689 	0.118 	0.075 	0.192 
017184 	0.688 	0.118 	0.076 	0.193 
017185 	0.688 	0.119 	0.077 	0.192 
017186 	0.687 	0.119 	0.077 	0.188 
017187 	0.687 	0.119 	0.077 	0.184 
017188 	0.687 	0.119 	0.076 	0.184 
017189 	0.686 	0.118 	0.075 	0.185 
017190 	0.686 	0.118 	0.075 	0.185 
017191 	0.685 	0.118 	0.075 	0.180 
017192 	0.684 	0.119 	0.075 	0.179 
017193 	0.685 	0.120 	0.074 	0.181 
017194 	0.684 	0.119 	0.074 	0.183 
017195 	0.683 	0.120 	0.075 	0.186 
017196 	0.679 	0.121 	0.077 	0.192 
017197 	0.681 	0.123 	0.076 	0.187 
017198 	0.680 	0.120 	0.076 	0.193 
017199 	0.679 	0.121 	0.077 	0.192 
017200 	0.679 	0.122 	0.077 	0.189 
017201 	0.679 	0.120 	0.078 	0.190 
017202 	0.678 	0.120 	0.077 	0.189 
017203 	0.678 	0.121 	0.077 	0.185 
017204 	0.677 	0.120 	0.075 	0.187 
017205 	0.677 	0.119 	0.074 	0.187 
017206 	0.676 	0.118 	0.074 	0.188 
017207 	0.676 	0.118 	0.073 	0.187 
017208 	0.675 	0.118 	0.074 	0.188 
017209 	0.674 	0.119 	0.074 	0.188 
017210 	0.675 	0.119 	0.074 	0.189 
017211 	0.675 	0.119 	0.073 	0.188 
017212 	0.675 	0.119 	0.074 	0.188 
017213 	0.675 	0.119 	0.074 	0.186 
017214 	0.676 	0.119 	0.073 	0.186 
017215 	0.676 	0.119 	0.073 	0.186 
017216 	0.676 	0.119 	0.073 	0.187 
017217 	0.676 	0.118 	0.073 	0.187 
017218 	0.676 	0.118 	0.073 	0.191 
017219 	0.676 	0.118 	0.074 	0.191 
017220 	0.676 	0.119 	0.074 	0.192 
017221 	0.677 	0.121 	0.074 	0.190 
017222 	0.677 	0.122 	0.073 	0.188 
017223 	0.677 	0.121 	0.074 	0.193 
017224 	0.677 	0.121 	0.074 	0.196 
017225 	0.677 	0.121 	0.074 	0.195 
017226 	0.678 	0.121 	0.074 	0.195 
017227 	0.677 	0.118 	0.075 	0.201 
017228 	0.677 	0.118 	0.075 	0.199 
017229 	0.678 	0.118 	0.075 	0.198 
017230 	0.678 	0.119 	0.076 	0.196 
017231 	0.679 	0.119 	0.075 	0.196 
017232 	0.679 	0.118 	0.074 	0.195 
017233 	0.679 	0.119 	0.074 	0.195 
017234 	0.680 	0.119 	0.073 	0.196 
017235 	0.680 	0.121 	0.074 	0.196 
017236 	0.679 	0.119 	0.074 	0.200 
017237 	0.680 	0.119 	0.075 	0.197 
017238 	0.679 	0.119 	0.076 	0.195 
017239 	0.680 	0.119 	0.076 	0.193 
017240 	0.680 	0.119 	0.076 	0.193 
017241 	0.681 	0.119 	0.076 	0.193 
017242 	0.680 	0.121 	0.076 	0.193 
