Text:  AND WE'RE ALL SCARED THAT WE'RE GOING TO LOSE THIS COUNTRY THAT WE KNOW AND LOVE I'M SCARED YOU'RE GOING TO TAKE IT AWAY FROM ME AND YOU'RE SCARED I'M GOING TO TAKE IT AWAY FROM YOU 
Conf:  4
Ref:   0d6iSvF1UmA

FRAME 	X 	Y 	W 	H 
017812 	0.549 	0.132 	0.157 	0.473 
017813 	0.546 	0.134 	0.155 	0.474 
017814 	0.543 	0.138 	0.157 	0.460 
017815 	0.543 	0.138 	0.157 	0.460 
017816 	0.541 	0.142 	0.157 	0.448 
017817 	0.540 	0.142 	0.159 	0.446 
017818 	0.540 	0.143 	0.157 	0.451 
017819 	0.541 	0.144 	0.154 	0.455 
017820 	0.540 	0.147 	0.151 	0.454 
017821 	0.542 	0.149 	0.148 	0.457 
017822 	0.542 	0.157 	0.152 	0.451 
017823 	0.542 	0.159 	0.151 	0.450 
017824 	0.544 	0.162 	0.155 	0.445 
017825 	0.543 	0.160 	0.162 	0.446 
017826 	0.543 	0.159 	0.161 	0.443 
017827 	0.544 	0.163 	0.165 	0.438 
017828 	0.544 	0.164 	0.164 	0.435 
017829 	0.544 	0.164 	0.163 	0.438 
017830 	0.543 	0.161 	0.161 	0.444 
017831 	0.543 	0.159 	0.163 	0.442 
017832 	0.543 	0.161 	0.162 	0.436 
017833 	0.542 	0.161 	0.163 	0.437 
017834 	0.541 	0.168 	0.166 	0.433 
017835 	0.540 	0.163 	0.166 	0.435 
017836 	0.539 	0.164 	0.167 	0.438 
017837 	0.539 	0.162 	0.166 	0.443 
017838 	0.538 	0.155 	0.161 	0.449 
017839 	0.537 	0.157 	0.162 	0.442 
017840 	0.537 	0.157 	0.162 	0.442 
017841 	0.537 	0.158 	0.162 	0.440 
017842 	0.536 	0.157 	0.161 	0.443 
017843 	0.536 	0.155 	0.157 	0.449 
017844 	0.534 	0.155 	0.160 	0.449 
017845 	0.534 	0.154 	0.156 	0.448 
017846 	0.533 	0.159 	0.158 	0.442 
017847 	0.533 	0.157 	0.159 	0.438 
017848 	0.533 	0.155 	0.161 	0.439 
017849 	0.534 	0.155 	0.160 	0.437 
017850 	0.534 	0.154 	0.158 	0.438 
017851 	0.535 	0.154 	0.160 	0.438 
017852 	0.535 	0.155 	0.160 	0.438 
017853 	0.536 	0.155 	0.160 	0.437 
017854 	0.536 	0.156 	0.164 	0.440 
017855 	0.537 	0.156 	0.164 	0.440 
017856 	0.538 	0.156 	0.163 	0.439 
017857 	0.538 	0.163 	0.166 	0.432 
017858 	0.539 	0.162 	0.168 	0.432 
017859 	0.539 	0.163 	0.167 	0.435 
017860 	0.540 	0.160 	0.165 	0.440 
017861 	0.540 	0.161 	0.166 	0.439 
017862 	0.539 	0.161 	0.165 	0.440 
017863 	0.539 	0.164 	0.166 	0.432 
017864 	0.539 	0.170 	0.169 	0.434 
017865 	0.539 	0.170 	0.169 	0.434 
017866 	0.539 	0.168 	0.165 	0.438 
017867 	0.540 	0.172 	0.164 	0.438 
017868 	0.540 	0.171 	0.163 	0.441 
017869 	0.539 	0.169 	0.166 	0.436 
017870 	0.539 	0.168 	0.164 	0.433 
017871 	0.539 	0.168 	0.165 	0.437 
