Text:  REMOVED AT THE WHIM OF A LEADER BUT I HAVE FOUGHT TO BE IN THIS COUNTRY AND I CONTINUE TO DO SO EVERY DAY SO 
Conf:  4
Ref:   0d6iSvF1UmA

FRAME 	X 	Y 	W 	H 
018358 	0.693 	0.098 	0.071 	0.179 
018359 	0.693 	0.100 	0.071 	0.179 
018360 	0.693 	0.102 	0.070 	0.178 
018361 	0.694 	0.103 	0.070 	0.177 
018362 	0.694 	0.102 	0.070 	0.180 
018363 	0.693 	0.103 	0.070 	0.179 
018364 	0.693 	0.106 	0.071 	0.181 
018365 	0.693 	0.106 	0.071 	0.181 
018366 	0.693 	0.106 	0.070 	0.180 
018367 	0.692 	0.105 	0.070 	0.181 
018368 	0.692 	0.106 	0.070 	0.181 
018369 	0.690 	0.106 	0.071 	0.180 
018370 	0.688 	0.107 	0.072 	0.178 
018371 	0.686 	0.106 	0.073 	0.178 
018372 	0.684 	0.109 	0.073 	0.178 
018373 	0.681 	0.106 	0.072 	0.183 
018374 	0.679 	0.104 	0.072 	0.184 
018375 	0.679 	0.102 	0.072 	0.182 
018376 	0.677 	0.103 	0.071 	0.181 
018377 	0.676 	0.103 	0.071 	0.180 
018378 	0.677 	0.104 	0.069 	0.176 
018379 	0.676 	0.104 	0.069 	0.179 
018380 	0.675 	0.105 	0.068 	0.180 
018381 	0.675 	0.105 	0.068 	0.182 
018382 	0.673 	0.107 	0.069 	0.183 
018383 	0.673 	0.106 	0.070 	0.182 
018384 	0.672 	0.106 	0.070 	0.182 
018385 	0.671 	0.106 	0.069 	0.179 
018386 	0.670 	0.105 	0.070 	0.180 
018387 	0.670 	0.103 	0.071 	0.182 
018388 	0.670 	0.104 	0.070 	0.184 
018389 	0.669 	0.103 	0.070 	0.185 
018390 	0.669 	0.103 	0.070 	0.185 
018391 	0.668 	0.102 	0.071 	0.183 
018392 	0.667 	0.102 	0.071 	0.182 
018393 	0.666 	0.104 	0.070 	0.180 
018394 	0.666 	0.105 	0.070 	0.179 
018395 	0.665 	0.107 	0.070 	0.181 
018396 	0.664 	0.108 	0.070 	0.178 
018397 	0.664 	0.109 	0.069 	0.178 
018398 	0.662 	0.108 	0.071 	0.180 
018399 	0.661 	0.110 	0.072 	0.177 
018400 	0.660 	0.109 	0.071 	0.179 
018401 	0.659 	0.110 	0.072 	0.178 
018402 	0.659 	0.109 	0.071 	0.178 
018403 	0.658 	0.109 	0.070 	0.182 
018404 	0.657 	0.108 	0.070 	0.182 
018405 	0.656 	0.109 	0.070 	0.181 
018406 	0.656 	0.108 	0.070 	0.180 
