Text:  OF ME BEHIND ME AND ALL AROUND ME IT'S OUR COUNTRY TOO 
Conf:  2
Ref:   0d6iSvF1UmA

FRAME 	X 	Y 	W 	H 
018796 	0.613 	0.155 	0.176 	0.464 
018797 	0.614 	0.155 	0.175 	0.455 
018798 	0.614 	0.155 	0.176 	0.456 
018799 	0.614 	0.156 	0.176 	0.453 
018800 	0.615 	0.158 	0.175 	0.454 
018801 	0.616 	0.157 	0.175 	0.454 
018802 	0.617 	0.155 	0.176 	0.465 
018803 	0.615 	0.156 	0.175 	0.462 
018804 	0.616 	0.157 	0.176 	0.465 
018805 	0.617 	0.156 	0.176 	0.460 
018806 	0.618 	0.153 	0.177 	0.462 
018807 	0.618 	0.151 	0.177 	0.466 
018808 	0.617 	0.152 	0.176 	0.454 
018809 	0.617 	0.154 	0.176 	0.450 
018810 	0.618 	0.154 	0.177 	0.451 
018811 	0.618 	0.154 	0.177 	0.457 
018812 	0.617 	0.153 	0.178 	0.466 
018813 	0.616 	0.152 	0.179 	0.475 
018814 	0.614 	0.152 	0.175 	0.478 
018815 	0.614 	0.152 	0.175 	0.478 
018816 	0.612 	0.152 	0.177 	0.479 
018817 	0.611 	0.152 	0.175 	0.481 
018818 	0.610 	0.154 	0.176 	0.478 
018819 	0.609 	0.155 	0.177 	0.474 
018820 	0.607 	0.155 	0.179 	0.470 
018821 	0.604 	0.156 	0.179 	0.463 
018822 	0.602 	0.155 	0.177 	0.468 
018823 	0.602 	0.157 	0.177 	0.463 
018824 	0.601 	0.155 	0.174 	0.465 
018825 	0.600 	0.152 	0.175 	0.471 
018826 	0.599 	0.149 	0.174 	0.478 
018827 	0.599 	0.148 	0.174 	0.477 
018828 	0.599 	0.147 	0.176 	0.475 
018829 	0.600 	0.146 	0.176 	0.475 
018830 	0.599 	0.144 	0.174 	0.477 
018831 	0.600 	0.144 	0.174 	0.479 
018832 	0.601 	0.146 	0.175 	0.475 
018833 	0.603 	0.147 	0.176 	0.468 
018834 	0.602 	0.150 	0.174 	0.465 
018835 	0.600 	0.150 	0.175 	0.473 
018836 	0.602 	0.149 	0.175 	0.480 
