Text:  I ASKED MYSELF AS A TEENAGER IN THE 1980S WHEN THE TV NEWS SHOWED POT BELLIED CHILDREN BORN INTO ETHIOPIA'S FAMINE 
Conf:  2
Ref:   1BHOflzxPjI

FRAME 	X 	Y 	W 	H 
000466 	0.481 	0.111 	0.100 	0.243 
000467 	0.481 	0.111 	0.099 	0.241 
000468 	0.479 	0.111 	0.100 	0.243 
000469 	0.478 	0.109 	0.100 	0.243 
000470 	0.475 	0.111 	0.100 	0.241 
000471 	0.471 	0.110 	0.100 	0.240 
000472 	0.463 	0.111 	0.102 	0.239 
000473 	0.457 	0.111 	0.099 	0.240 
000474 	0.450 	0.113 	0.100 	0.239 
000475 	0.442 	0.114 	0.099 	0.232 
000476 	0.432 	0.125 	0.101 	0.214 
000477 	0.426 	0.127 	0.099 	0.208 
000478 	0.418 	0.114 	0.102 	0.225 
000479 	0.406 	0.117 	0.104 	0.223 
000480 	0.398 	0.118 	0.100 	0.234 
000481 	0.389 	0.123 	0.100 	0.236 
000482 	0.378 	0.139 	0.103 	0.214 
000483 	0.372 	0.125 	0.104 	0.237 
000484 	0.365 	0.133 	0.104 	0.232 
000485 	0.355 	0.139 	0.105 	0.230 
000486 	0.349 	0.143 	0.101 	0.234 
000487 	0.343 	0.145 	0.102 	0.235 
000488 	0.339 	0.146 	0.101 	0.232 
000489 	0.334 	0.145 	0.102 	0.233 
000490 	0.330 	0.144 	0.103 	0.235 
000491 	0.327 	0.145 	0.105 	0.235 
000492 	0.326 	0.145 	0.105 	0.234 
000493 	0.327 	0.145 	0.105 	0.235 
000494 	0.329 	0.143 	0.105 	0.236 
000495 	0.331 	0.145 	0.104 	0.232 
000496 	0.336 	0.143 	0.106 	0.232 
000497 	0.343 	0.141 	0.105 	0.234 
000498 	0.351 	0.140 	0.106 	0.234 
000499 	0.362 	0.141 	0.106 	0.229 
000500 	0.369 	0.143 	0.107 	0.228 
000501 	0.375 	0.152 	0.109 	0.215 
000502 	0.384 	0.145 	0.108 	0.231 
000503 	0.395 	0.149 	0.107 	0.229 
000504 	0.405 	0.149 	0.106 	0.231 
000505 	0.417 	0.151 	0.105 	0.229 
000506 	0.422 	0.164 	0.106 	0.207 
000507 	0.432 	0.164 	0.104 	0.212 
000508 	0.440 	0.154 	0.102 	0.222 
000509 	0.451 	0.156 	0.099 	0.222 
000510 	0.459 	0.157 	0.100 	0.221 
000511 	0.466 	0.155 	0.104 	0.221 
000512 	0.472 	0.165 	0.106 	0.208 
000513 	0.480 	0.166 	0.105 	0.210 
000514 	0.488 	0.149 	0.103 	0.227 
000515 	0.494 	0.151 	0.105 	0.226 
000516 	0.502 	0.153 	0.103 	0.227 
000517 	0.509 	0.155 	0.101 	0.231 
000518 	0.514 	0.157 	0.102 	0.233 
000519 	0.517 	0.158 	0.103 	0.235 
000520 	0.518 	0.159 	0.104 	0.232 
000521 	0.519 	0.156 	0.106 	0.228 
000522 	0.519 	0.156 	0.106 	0.222 
000523 	0.521 	0.150 	0.107 	0.225 
000524 	0.524 	0.146 	0.104 	0.228 
000525 	0.528 	0.146 	0.101 	0.227 
000526 	0.529 	0.146 	0.102 	0.234 
000527 	0.531 	0.145 	0.101 	0.235 
000528 	0.532 	0.145 	0.101 	0.236 
000529 	0.532 	0.147 	0.101 	0.234 
000530 	0.532 	0.150 	0.102 	0.228 
000531 	0.531 	0.151 	0.102 	0.227 
000532 	0.531 	0.151 	0.102 	0.228 
000533 	0.529 	0.151 	0.102 	0.225 
000534 	0.529 	0.148 	0.101 	0.229 
000535 	0.528 	0.147 	0.101 	0.229 
000536 	0.525 	0.148 	0.102 	0.226 
000537 	0.526 	0.148 	0.101 	0.226 
000538 	0.525 	0.149 	0.101 	0.226 
000539 	0.524 	0.150 	0.101 	0.227 
000540 	0.523 	0.151 	0.101 	0.226 
000541 	0.522 	0.151 	0.101 	0.228 
000542 	0.521 	0.151 	0.100 	0.229 
000543 	0.520 	0.152 	0.100 	0.231 
000544 	0.518 	0.152 	0.101 	0.232 
000545 	0.518 	0.153 	0.100 	0.232 
000546 	0.517 	0.154 	0.100 	0.232 
000547 	0.517 	0.154 	0.099 	0.232 
000548 	0.516 	0.155 	0.100 	0.232 
000549 	0.515 	0.154 	0.100 	0.233 
000550 	0.515 	0.155 	0.100 	0.232 
000551 	0.516 	0.155 	0.099 	0.232 
000552 	0.515 	0.154 	0.100 	0.233 
000553 	0.515 	0.153 	0.099 	0.235 
000554 	0.515 	0.155 	0.100 	0.233 
000555 	0.515 	0.155 	0.099 	0.232 
000556 	0.515 	0.155 	0.099 	0.231 
000557 	0.515 	0.155 	0.099 	0.232 
000558 	0.515 	0.154 	0.098 	0.233 
000559 	0.515 	0.155 	0.098 	0.231 
000560 	0.514 	0.155 	0.098 	0.229 
000561 	0.513 	0.151 	0.100 	0.235 
000562 	0.511 	0.152 	0.101 	0.228 
000563 	0.509 	0.152 	0.101 	0.225 
000564 	0.507 	0.151 	0.102 	0.225 
000565 	0.504 	0.150 	0.103 	0.226 
000566 	0.502 	0.148 	0.105 	0.228 
000567 	0.501 	0.146 	0.105 	0.231 
000568 	0.500 	0.145 	0.104 	0.234 
000569 	0.499 	0.145 	0.103 	0.236 
000570 	0.498 	0.149 	0.102 	0.232 
000571 	0.498 	0.150 	0.100 	0.231 
000572 	0.496 	0.148 	0.100 	0.231 
000573 	0.494 	0.146 	0.102 	0.232 
000574 	0.492 	0.143 	0.102 	0.234 
000575 	0.489 	0.155 	0.103 	0.212 
000576 	0.487 	0.155 	0.101 	0.213 
000577 	0.486 	0.156 	0.100 	0.214 
000578 	0.485 	0.157 	0.099 	0.217 
000579 	0.485 	0.156 	0.098 	0.216 
000580 	0.480 	0.142 	0.099 	0.238 
000581 	0.477 	0.145 	0.098 	0.234 
000582 	0.473 	0.161 	0.098 	0.206 
000583 	0.470 	0.143 	0.099 	0.232 
000584 	0.465 	0.142 	0.098 	0.235 
000585 	0.461 	0.141 	0.098 	0.233 
000586 	0.456 	0.142 	0.100 	0.232 
000587 	0.452 	0.142 	0.098 	0.231 
000588 	0.448 	0.144 	0.097 	0.228 
000589 	0.440 	0.155 	0.100 	0.207 
000590 	0.434 	0.156 	0.100 	0.210 
000591 	0.430 	0.156 	0.100 	0.212 
000592 	0.423 	0.143 	0.101 	0.231 
000593 	0.417 	0.142 	0.101 	0.230 
000594 	0.409 	0.141 	0.101 	0.233 
000595 	0.402 	0.142 	0.100 	0.233 
000596 	0.398 	0.141 	0.098 	0.234 
000597 	0.391 	0.139 	0.100 	0.234 
000598 	0.384 	0.137 	0.100 	0.236 
000599 	0.376 	0.150 	0.102 	0.219 
000600 	0.375 	0.136 	0.101 	0.239 
000601 	0.370 	0.139 	0.101 	0.238 
000602 	0.364 	0.142 	0.101 	0.235 
000603 	0.359 	0.141 	0.101 	0.236 
000604 	0.354 	0.145 	0.100 	0.237 
000605 	0.350 	0.145 	0.100 	0.237 
000606 	0.347 	0.145 	0.099 	0.238 
000607 	0.345 	0.145 	0.099 	0.238 
000608 	0.343 	0.145 	0.100 	0.236 
000609 	0.340 	0.146 	0.101 	0.232 
000610 	0.339 	0.146 	0.102 	0.233 
000611 	0.339 	0.146 	0.101 	0.235 
000612 	0.339 	0.144 	0.100 	0.239 
000613 	0.339 	0.142 	0.100 	0.242 
000614 	0.339 	0.141 	0.101 	0.238 
000615 	0.340 	0.139 	0.101 	0.238 
000616 	0.341 	0.136 	0.100 	0.237 
000617 	0.343 	0.132 	0.101 	0.235 
000618 	0.344 	0.130 	0.101 	0.238 
000619 	0.347 	0.127 	0.100 	0.239 
000620 	0.350 	0.126 	0.098 	0.252 
000621 	0.354 	0.126 	0.099 	0.253 
000622 	0.357 	0.126 	0.100 	0.253 
000623 	0.363 	0.130 	0.100 	0.246 
000624 	0.368 	0.131 	0.102 	0.241 
000625 	0.372 	0.131 	0.103 	0.239 
000626 	0.377 	0.127 	0.101 	0.244 
000627 	0.380 	0.126 	0.103 	0.242 
000628 	0.385 	0.131 	0.104 	0.243 
000629 	0.393 	0.134 	0.103 	0.241 
000630 	0.398 	0.137 	0.103 	0.239 
000631 	0.404 	0.141 	0.103 	0.238 
000632 	0.409 	0.141 	0.106 	0.238 
000633 	0.419 	0.143 	0.103 	0.236 
000634 	0.425 	0.144 	0.103 	0.235 
000635 	0.430 	0.156 	0.104 	0.219 
000636 	0.438 	0.140 	0.101 	0.237 
000637 	0.447 	0.144 	0.100 	0.232 
000638 	0.453 	0.144 	0.101 	0.236 
000639 	0.461 	0.146 	0.102 	0.236 
000640 	0.471 	0.143 	0.102 	0.234 
000641 	0.478 	0.140 	0.102 	0.236 
000642 	0.483 	0.152 	0.103 	0.215 
000643 	0.491 	0.137 	0.101 	0.233 
000644 	0.500 	0.140 	0.101 	0.229 
000645 	0.507 	0.137 	0.101 	0.236 
000646 	0.515 	0.137 	0.102 	0.232 
000647 	0.525 	0.139 	0.103 	0.232 
000648 	0.531 	0.139 	0.103 	0.232 
000649 	0.537 	0.151 	0.103 	0.215 
000650 	0.544 	0.143 	0.104 	0.225 
000651 	0.552 	0.146 	0.105 	0.223 
000652 	0.558 	0.146 	0.104 	0.224 
000653 	0.564 	0.145 	0.102 	0.223 
000654 	0.569 	0.146 	0.103 	0.221 
000655 	0.573 	0.143 	0.103 	0.229 
000656 	0.576 	0.138 	0.103 	0.234 
000657 	0.581 	0.136 	0.101 	0.233 
000658 	0.583 	0.138 	0.102 	0.231 
000659 	0.583 	0.151 	0.105 	0.212 
000660 	0.584 	0.152 	0.106 	0.210 
000661 	0.585 	0.152 	0.107 	0.210 
000662 	0.587 	0.153 	0.106 	0.210 
000663 	0.588 	0.154 	0.105 	0.210 
000664 	0.592 	0.157 	0.102 	0.209 
000665 	0.591 	0.136 	0.102 	0.235 
000666 	0.592 	0.138 	0.102 	0.233 
000667 	0.592 	0.139 	0.101 	0.234 
000668 	0.593 	0.140 	0.101 	0.233 
000669 	0.593 	0.139 	0.102 	0.234 
000670 	0.593 	0.139 	0.102 	0.235 
000671 	0.593 	0.139 	0.103 	0.235 
000672 	0.593 	0.139 	0.102 	0.235 
000673 	0.593 	0.140 	0.102 	0.234 
000674 	0.593 	0.141 	0.103 	0.234 
000675 	0.593 	0.140 	0.102 	0.237 
000676 	0.593 	0.139 	0.103 	0.238 
000677 	0.594 	0.138 	0.103 	0.239 
000678 	0.594 	0.138 	0.102 	0.237 
000679 	0.594 	0.137 	0.102 	0.238 
000680 	0.595 	0.138 	0.102 	0.237 
000681 	0.595 	0.139 	0.101 	0.238 
000682 	0.595 	0.139 	0.100 	0.241 
000683 	0.595 	0.140 	0.101 	0.236 
000684 	0.595 	0.141 	0.102 	0.233 
000685 	0.595 	0.140 	0.102 	0.231 
000686 	0.595 	0.142 	0.102 	0.232 
000687 	0.595 	0.142 	0.102 	0.230 
000688 	0.596 	0.142 	0.102 	0.230 
000689 	0.595 	0.142 	0.102 	0.229 
000690 	0.595 	0.144 	0.103 	0.227 
000691 	0.594 	0.145 	0.104 	0.228 
000692 	0.595 	0.146 	0.103 	0.232 
000693 	0.594 	0.145 	0.101 	0.235 
000694 	0.594 	0.145 	0.101 	0.242 
000695 	0.590 	0.165 	0.105 	0.210 
000696 	0.589 	0.167 	0.106 	0.205 
000697 	0.588 	0.167 	0.106 	0.214 
000698 	0.588 	0.168 	0.105 	0.215 
000699 	0.588 	0.168 	0.105 	0.214 
000700 	0.588 	0.168 	0.105 	0.215 
000701 	0.587 	0.168 	0.104 	0.214 
000702 	0.587 	0.168 	0.104 	0.215 
000703 	0.589 	0.155 	0.104 	0.235 

WORD START END ASDSCORE
I 0.09 0.23 8.9
ASKED 0.23 0.48 9.1
MYSELF 0.48 0.98 10.0
AS 0.98 1.08 7.2
A 1.08 1.11 6.6
TEENAGER 1.11 1.83 5.2
IN 1.83 2.08 4.0
THE 2.08 2.19 2.5
1980S 2.19 2.97 3.8
WHEN 3.75 3.89 6.7
THE 3.89 3.99 5.5
TV 3.99 4.47 5.4
NEWS 4.47 5.21 3.3
SHOWED 5.65 6.06 4.5
POT 6.06 6.31 4.8
BELLIED 6.31 6.75 9.8
CHILDREN 6.77 7.46 5.9
BORN 7.46 8.00 7.7
INTO 8.00 8.32 8.8
ETHIOPIA'S 8.32 8.90 5.3
FAMINE 8.90 9.41 9.4
