Text:  THAT IT GOES RIGHT INTO THE BACK OF THE HEAD OF EVERY ECONOMIST SO QUIETLY 
Conf:  2
Ref:   1BHOflzxPjI

FRAME 	X 	Y 	W 	H 
002750 	0.542 	0.159 	0.099 	0.243 
002751 	0.542 	0.158 	0.099 	0.242 
002752 	0.541 	0.156 	0.100 	0.242 
002753 	0.542 	0.156 	0.100 	0.241 
002754 	0.543 	0.155 	0.098 	0.240 
002755 	0.542 	0.155 	0.098 	0.240 
002756 	0.541 	0.155 	0.099 	0.240 
002757 	0.541 	0.155 	0.098 	0.242 
002758 	0.537 	0.156 	0.099 	0.243 
002759 	0.536 	0.154 	0.099 	0.244 
002760 	0.535 	0.153 	0.098 	0.245 
002761 	0.537 	0.169 	0.098 	0.210 
002762 	0.534 	0.169 	0.091 	0.206 
002763 	0.533 	0.170 	0.091 	0.205 
002764 	0.533 	0.170 	0.091 	0.203 
002765 	0.530 	0.168 	0.092 	0.206 
002766 	0.528 	0.168 	0.091 	0.208 
002767 	0.525 	0.165 	0.092 	0.219 
002768 	0.520 	0.159 	0.100 	0.226 
002769 	0.517 	0.159 	0.099 	0.228 
002770 	0.513 	0.160 	0.096 	0.235 
002771 	0.510 	0.176 	0.082 	0.199 
002772 	0.506 	0.175 	0.080 	0.217 
002773 	0.503 	0.172 	0.081 	0.223 
002774 	0.499 	0.172 	0.081 	0.221 
002775 	0.493 	0.172 	0.078 	0.212 
002776 	0.490 	0.172 	0.077 	0.214 
002777 	0.487 	0.171 	0.076 	0.215 
002778 	0.484 	0.170 	0.075 	0.221 
002779 	0.481 	0.171 	0.074 	0.219 
002780 	0.478 	0.171 	0.078 	0.222 
002781 	0.473 	0.172 	0.079 	0.220 
002782 	0.470 	0.174 	0.080 	0.219 
002783 	0.466 	0.176 	0.075 	0.216 
002784 	0.463 	0.174 	0.075 	0.220 
002785 	0.460 	0.176 	0.074 	0.222 
002786 	0.456 	0.178 	0.074 	0.214 
002787 	0.449 	0.172 	0.076 	0.227 
002788 	0.441 	0.169 	0.082 	0.233 
002789 	0.442 	0.168 	0.066 	0.235 
002790 	0.439 	0.165 	0.068 	0.246 
002791 	0.435 	0.161 	0.070 	0.249 
002792 	0.434 	0.166 	0.067 	0.232 
002793 	0.430 	0.171 	0.068 	0.233 
002794 	0.428 	0.172 	0.068 	0.230 
002795 	0.425 	0.169 	0.071 	0.237 
002796 	0.421 	0.168 	0.077 	0.239 
002797 	0.425 	0.181 	0.070 	0.226 
002798 	0.420 	0.165 	0.077 	0.244 
002799 	0.419 	0.166 	0.079 	0.243 
002800 	0.420 	0.168 	0.075 	0.239 
002801 	0.417 	0.155 	0.088 	0.257 
002802 	0.417 	0.153 	0.089 	0.258 
002803 	0.418 	0.153 	0.090 	0.257 
002804 	0.421 	0.171 	0.072 	0.232 
002805 	0.423 	0.172 	0.072 	0.231 
002806 	0.426 	0.171 	0.069 	0.232 
002807 	0.429 	0.176 	0.067 	0.222 
002808 	0.430 	0.172 	0.069 	0.229 
002809 	0.431 	0.170 	0.070 	0.229 
002810 	0.434 	0.169 	0.071 	0.229 
002811 	0.434 	0.166 	0.072 	0.234 
002812 	0.437 	0.166 	0.071 	0.231 
002813 	0.438 	0.168 	0.073 	0.225 
002814 	0.441 	0.167 	0.074 	0.227 
002815 	0.446 	0.170 	0.078 	0.221 
002816 	0.450 	0.168 	0.079 	0.220 
002817 	0.454 	0.164 	0.080 	0.218 
002818 	0.457 	0.165 	0.085 	0.214 
002819 	0.462 	0.153 	0.101 	0.222 
002820 	0.467 	0.152 	0.104 	0.221 
002821 	0.477 	0.162 	0.097 	0.205 
002822 	0.483 	0.160 	0.100 	0.211 
002823 	0.487 	0.161 	0.100 	0.213 
002824 	0.490 	0.163 	0.102 	0.210 
002825 	0.498 	0.152 	0.101 	0.231 
002826 	0.503 	0.157 	0.099 	0.232 
002827 	0.505 	0.159 	0.100 	0.241 
002828 	0.511 	0.163 	0.099 	0.239 
002829 	0.514 	0.164 	0.101 	0.238 
002830 	0.519 	0.165 	0.101 	0.229 
002831 	0.524 	0.164 	0.102 	0.227 
002832 	0.528 	0.161 	0.103 	0.230 
002833 	0.530 	0.161 	0.103 	0.231 
002834 	0.535 	0.162 	0.102 	0.234 
002835 	0.538 	0.176 	0.101 	0.219 
002836 	0.540 	0.160 	0.101 	0.240 
002837 	0.544 	0.161 	0.099 	0.244 
002838 	0.546 	0.165 	0.097 	0.242 
002839 	0.549 	0.169 	0.098 	0.236 
002840 	0.552 	0.171 	0.098 	0.234 
002841 	0.555 	0.171 	0.098 	0.235 
002842 	0.557 	0.169 	0.100 	0.234 
002843 	0.558 	0.169 	0.100 	0.235 
002844 	0.559 	0.169 	0.101 	0.235 
002845 	0.561 	0.169 	0.101 	0.235 
002846 	0.562 	0.169 	0.100 	0.234 
002847 	0.562 	0.169 	0.100 	0.233 
002848 	0.563 	0.169 	0.100 	0.233 
002849 	0.564 	0.168 	0.101 	0.232 
002850 	0.564 	0.169 	0.100 	0.231 
002851 	0.564 	0.169 	0.101 	0.231 
002852 	0.564 	0.169 	0.101 	0.231 
002853 	0.564 	0.169 	0.101 	0.231 
002854 	0.564 	0.169 	0.101 	0.230 
002855 	0.564 	0.170 	0.101 	0.230 
002856 	0.563 	0.168 	0.100 	0.230 
002857 	0.563 	0.167 	0.099 	0.232 
002858 	0.563 	0.163 	0.098 	0.233 
002859 	0.563 	0.162 	0.098 	0.232 
002860 	0.566 	0.159 	0.098 	0.234 
002861 	0.567 	0.157 	0.098 	0.233 
002862 	0.569 	0.153 	0.098 	0.236 
002863 	0.570 	0.150 	0.098 	0.230 
002864 	0.570 	0.149 	0.099 	0.228 
002865 	0.569 	0.149 	0.100 	0.228 
002866 	0.569 	0.147 	0.098 	0.228 
002867 	0.567 	0.147 	0.100 	0.232 
002868 	0.566 	0.146 	0.099 	0.237 
002869 	0.563 	0.149 	0.099 	0.237 
002870 	0.561 	0.152 	0.098 	0.238 
002871 	0.558 	0.154 	0.100 	0.236 
002872 	0.555 	0.157 	0.101 	0.237 
002873 	0.553 	0.159 	0.101 	0.236 
002874 	0.551 	0.161 	0.100 	0.235 
002875 	0.550 	0.161 	0.101 	0.236 
002876 	0.551 	0.163 	0.100 	0.234 
002877 	0.552 	0.164 	0.099 	0.235 
002878 	0.552 	0.163 	0.100 	0.236 
002879 	0.552 	0.164 	0.100 	0.237 
002880 	0.552 	0.165 	0.100 	0.237 
002881 	0.551 	0.165 	0.100 	0.236 
002882 	0.551 	0.165 	0.100 	0.233 
002883 	0.551 	0.165 	0.100 	0.232 
002884 	0.550 	0.165 	0.101 	0.232 

WORD START END ASDSCORE
THAT 0.07 0.19 4.3
IT 0.19 0.30 4.7
GOES 0.30 0.63 5.7
RIGHT 0.65 1.14 11.5
INTO 1.14 1.38 5.1
THE 1.38 1.47 6.2
BACK 1.47 1.78 10.7
OF 1.78 1.87 10.9
THE 1.87 1.95 8.4
HEAD 1.95 2.37 9.2
OF 2.88 3.04 2.8
EVERY 3.04 3.32 5.9
ECONOMIST 3.32 4.01 8.1
SO 4.24 4.59 6.0
QUIETLY 4.59 5.27 8.6
