Text:  BUT IT'S THERE AND THAT'S A PROBLEM BECAUSE THIS DIAGRAM IS FUNDAMENTALLY FLAWED NOW I CAN ADD IN A FINANCIAL 
Conf:  5
Ref:   1BHOflzxPjI

FRAME 	X 	Y 	W 	H 
002980 	0.526 	0.162 	0.099 	0.228 
002981 	0.523 	0.166 	0.099 	0.229 
002982 	0.523 	0.186 	0.091 	0.200 
002983 	0.521 	0.174 	0.099 	0.238 
002984 	0.520 	0.183 	0.099 	0.238 
002985 	0.518 	0.192 	0.101 	0.237 
002986 	0.516 	0.200 	0.100 	0.228 
002987 	0.516 	0.200 	0.099 	0.226 
002988 	0.517 	0.189 	0.098 	0.236 
002989 	0.516 	0.182 	0.100 	0.236 
002990 	0.516 	0.179 	0.100 	0.236 
002991 	0.517 	0.179 	0.101 	0.235 
002992 	0.518 	0.179 	0.100 	0.237 
002993 	0.517 	0.183 	0.100 	0.238 
002994 	0.518 	0.186 	0.099 	0.238 
002995 	0.518 	0.189 	0.099 	0.235 
002996 	0.518 	0.189 	0.098 	0.235 
002997 	0.517 	0.188 	0.099 	0.233 
002998 	0.516 	0.186 	0.100 	0.236 
002999 	0.516 	0.186 	0.100 	0.233 
003000 	0.517 	0.185 	0.100 	0.233 
003001 	0.518 	0.182 	0.100 	0.234 
003002 	0.519 	0.180 	0.099 	0.231 
003003 	0.521 	0.177 	0.101 	0.232 
003004 	0.524 	0.173 	0.100 	0.231 
003005 	0.527 	0.170 	0.099 	0.232 
003006 	0.527 	0.167 	0.101 	0.230 
003007 	0.529 	0.163 	0.102 	0.230 
003008 	0.531 	0.161 	0.103 	0.230 
003009 	0.532 	0.170 	0.104 	0.210 
003010 	0.535 	0.169 	0.102 	0.212 
003011 	0.538 	0.166 	0.102 	0.212 
003012 	0.539 	0.163 	0.103 	0.215 
003013 	0.541 	0.147 	0.102 	0.240 
003014 	0.544 	0.144 	0.101 	0.245 
003015 	0.545 	0.141 	0.104 	0.246 
003016 	0.547 	0.140 	0.104 	0.253 
003017 	0.548 	0.141 	0.106 	0.247 
003018 	0.551 	0.147 	0.105 	0.237 
003019 	0.552 	0.154 	0.103 	0.237 
003020 	0.554 	0.157 	0.102 	0.240 
003021 	0.554 	0.160 	0.100 	0.237 
003022 	0.553 	0.161 	0.101 	0.230 
003023 	0.552 	0.162 	0.100 	0.227 
003024 	0.552 	0.161 	0.099 	0.229 
003025 	0.553 	0.160 	0.100 	0.225 
003026 	0.556 	0.171 	0.092 	0.200 
003027 	0.556 	0.158 	0.098 	0.229 
003028 	0.557 	0.160 	0.097 	0.230 
003029 	0.557 	0.166 	0.098 	0.234 
003030 	0.557 	0.167 	0.098 	0.235 
003031 	0.557 	0.168 	0.097 	0.235 
003032 	0.557 	0.167 	0.098 	0.232 
003033 	0.556 	0.165 	0.099 	0.232 
003034 	0.557 	0.165 	0.099 	0.231 
003035 	0.557 	0.166 	0.097 	0.232 
003036 	0.556 	0.165 	0.098 	0.230 
003037 	0.556 	0.162 	0.098 	0.232 
003038 	0.556 	0.162 	0.097 	0.232 
003039 	0.555 	0.161 	0.099 	0.229 
003040 	0.554 	0.160 	0.098 	0.230 
003041 	0.554 	0.158 	0.099 	0.229 
003042 	0.556 	0.157 	0.099 	0.228 
003043 	0.557 	0.157 	0.101 	0.228 
003044 	0.558 	0.156 	0.101 	0.230 
003045 	0.557 	0.159 	0.101 	0.228 
003046 	0.556 	0.161 	0.102 	0.229 
