Text:  FLAWS WITH THIS DIAGRAM FIRST THE ECONOMY IS NOT 
Conf:  2
Ref:   1BHOflzxPjI

FRAME 	X 	Y 	W 	H 
003628 	0.391 	0.166 	0.101 	0.230 
003629 	0.390 	0.167 	0.102 	0.229 
003630 	0.389 	0.166 	0.102 	0.228 
003631 	0.387 	0.164 	0.102 	0.225 
003632 	0.386 	0.161 	0.102 	0.227 
003633 	0.385 	0.161 	0.103 	0.227 
003634 	0.385 	0.162 	0.101 	0.230 
003635 	0.385 	0.163 	0.101 	0.230 
003636 	0.384 	0.161 	0.101 	0.230 
003637 	0.383 	0.158 	0.101 	0.231 
003638 	0.380 	0.171 	0.104 	0.209 
003639 	0.380 	0.171 	0.104 	0.208 
003640 	0.379 	0.174 	0.104 	0.207 
003641 	0.377 	0.175 	0.106 	0.212 
003642 	0.377 	0.176 	0.107 	0.213 
003643 	0.379 	0.163 	0.105 	0.233 
003644 	0.379 	0.162 	0.104 	0.234 
003645 	0.376 	0.174 	0.106 	0.215 
003646 	0.377 	0.174 	0.106 	0.213 
003647 	0.381 	0.161 	0.104 	0.233 
003648 	0.382 	0.163 	0.103 	0.234 
003649 	0.382 	0.162 	0.101 	0.242 
003650 	0.382 	0.164 	0.102 	0.244 
003651 	0.383 	0.164 	0.101 	0.240 
003652 	0.383 	0.163 	0.102 	0.239 
003653 	0.385 	0.163 	0.101 	0.234 
003654 	0.385 	0.165 	0.103 	0.234 
003655 	0.384 	0.166 	0.103 	0.239 
003656 	0.386 	0.168 	0.103 	0.240 
003657 	0.386 	0.169 	0.104 	0.239 
003658 	0.385 	0.168 	0.105 	0.237 
003659 	0.385 	0.169 	0.104 	0.235 
003660 	0.386 	0.169 	0.105 	0.235 
003661 	0.386 	0.168 	0.104 	0.233 
003662 	0.385 	0.169 	0.105 	0.231 
003663 	0.386 	0.169 	0.105 	0.230 
003664 	0.385 	0.168 	0.105 	0.231 
003665 	0.386 	0.167 	0.105 	0.231 
003666 	0.386 	0.168 	0.104 	0.230 
003667 	0.386 	0.168 	0.104 	0.230 
003668 	0.386 	0.168 	0.104 	0.231 
003669 	0.386 	0.167 	0.104 	0.231 
003670 	0.386 	0.166 	0.103 	0.231 
003671 	0.386 	0.166 	0.103 	0.230 
003672 	0.386 	0.166 	0.102 	0.230 
003673 	0.385 	0.166 	0.102 	0.229 
003674 	0.385 	0.167 	0.103 	0.231 
003675 	0.385 	0.166 	0.103 	0.230 
003676 	0.384 	0.166 	0.103 	0.230 
003677 	0.384 	0.165 	0.102 	0.230 
003678 	0.384 	0.165 	0.101 	0.232 
003679 	0.383 	0.165 	0.103 	0.231 
003680 	0.382 	0.164 	0.102 	0.232 
003681 	0.382 	0.164 	0.101 	0.232 
003682 	0.378 	0.179 	0.104 	0.213 
003683 	0.378 	0.179 	0.104 	0.212 
003684 	0.377 	0.179 	0.104 	0.213 
003685 	0.377 	0.180 	0.103 	0.213 
003686 	0.377 	0.180 	0.103 	0.215 
003687 	0.377 	0.180 	0.103 	0.215 
003688 	0.379 	0.161 	0.101 	0.238 
003689 	0.376 	0.178 	0.104 	0.217 
003690 	0.376 	0.178 	0.103 	0.215 
003691 	0.378 	0.159 	0.101 	0.240 
003692 	0.376 	0.176 	0.103 	0.215 
003693 	0.375 	0.174 	0.104 	0.216 
003694 	0.373 	0.174 	0.104 	0.214 
003695 	0.373 	0.160 	0.105 	0.235 
003696 	0.374 	0.158 	0.104 	0.239 
003697 	0.372 	0.160 	0.104 	0.239 
003698 	0.371 	0.160 	0.102 	0.242 
003699 	0.370 	0.162 	0.102 	0.243 
003700 	0.370 	0.163 	0.102 	0.242 
003701 	0.370 	0.162 	0.102 	0.244 
003702 	0.370 	0.163 	0.103 	0.238 
003703 	0.370 	0.162 	0.105 	0.240 
003704 	0.372 	0.162 	0.105 	0.238 
003705 	0.374 	0.161 	0.106 	0.239 
003706 	0.375 	0.177 	0.106 	0.220 
003707 	0.378 	0.159 	0.104 	0.239 
003708 	0.379 	0.160 	0.106 	0.237 
003709 	0.380 	0.160 	0.105 	0.234 
003710 	0.382 	0.160 	0.105 	0.232 
003711 	0.382 	0.160 	0.105 	0.232 
003712 	0.382 	0.160 	0.105 	0.232 
003713 	0.384 	0.161 	0.106 	0.230 
003714 	0.385 	0.159 	0.105 	0.232 
003715 	0.387 	0.161 	0.106 	0.231 
003716 	0.387 	0.161 	0.105 	0.232 
003717 	0.389 	0.160 	0.105 	0.230 
003718 	0.391 	0.161 	0.104 	0.229 
003719 	0.392 	0.161 	0.104 	0.230 
003720 	0.392 	0.161 	0.104 	0.230 
003721 	0.393 	0.159 	0.104 	0.230 
003722 	0.394 	0.158 	0.103 	0.232 
003723 	0.395 	0.160 	0.104 	0.231 
003724 	0.395 	0.159 	0.103 	0.231 
003725 	0.396 	0.159 	0.103 	0.228 
003726 	0.398 	0.157 	0.102 	0.229 
003727 	0.400 	0.159 	0.103 	0.228 
003728 	0.403 	0.159 	0.103 	0.228 
003729 	0.407 	0.161 	0.104 	0.223 
003730 	0.411 	0.160 	0.104 	0.223 
003731 	0.411 	0.161 	0.103 	0.224 
003732 	0.409 	0.164 	0.101 	0.228 
003733 	0.405 	0.162 	0.100 	0.231 
003734 	0.404 	0.158 	0.097 	0.234 
003735 	0.406 	0.159 	0.099 	0.231 
003736 	0.412 	0.159 	0.100 	0.229 
003737 	0.415 	0.154 	0.100 	0.232 
003738 	0.413 	0.155 	0.101 	0.225 
003739 	0.406 	0.153 	0.102 	0.223 
003740 	0.401 	0.153 	0.102 	0.227 
003741 	0.400 	0.153 	0.101 	0.231 
003742 	0.402 	0.153 	0.103 	0.232 
003743 	0.408 	0.153 	0.103 	0.224 
003744 	0.412 	0.152 	0.104 	0.222 
003745 	0.413 	0.152 	0.104 	0.224 
003746 	0.413 	0.154 	0.103 	0.223 
003747 	0.412 	0.152 	0.104 	0.224 
003748 	0.412 	0.153 	0.104 	0.223 
003749 	0.414 	0.150 	0.104 	0.223 

WORD START END ASDSCORE
FLAWS 0.10 0.48 4.5
WITH 0.48 0.57 2.9
THIS 0.57 0.73 5.1
DIAGRAM 0.73 1.25 11.6
FIRST 2.64 3.09 6.3
THE 3.09 3.15 6.0
ECONOMY 4.11 4.52 4.2
IS 4.52 4.61 4.1
NOT 4.61 4.76 4.6
