Text:  EVERYDAY THIRD THERE'S 
Conf:  1
Ref:   1BHOflzxPjI

FRAME 	X 	Y 	W 	H 
005398 	0.495 	0.195 	0.097 	0.199 
005399 	0.494 	0.194 	0.097 	0.199 
005400 	0.492 	0.193 	0.097 	0.202 
005401 	0.494 	0.195 	0.091 	0.204 
005402 	0.495 	0.202 	0.087 	0.204 
005403 	0.490 	0.204 	0.095 	0.200 
005404 	0.490 	0.204 	0.094 	0.194 
005405 	0.489 	0.201 	0.095 	0.194 
005406 	0.488 	0.195 	0.096 	0.198 
005407 	0.488 	0.194 	0.096 	0.196 
005408 	0.487 	0.189 	0.097 	0.201 
005409 	0.487 	0.189 	0.097 	0.201 
005410 	0.486 	0.191 	0.097 	0.204 
005411 	0.486 	0.192 	0.096 	0.205 
005412 	0.486 	0.199 	0.097 	0.200 
005413 	0.488 	0.202 	0.095 	0.201 
005414 	0.488 	0.205 	0.095 	0.201 
005415 	0.489 	0.205 	0.094 	0.198 
005416 	0.488 	0.203 	0.096 	0.193 
005417 	0.488 	0.200 	0.096 	0.194 
005418 	0.488 	0.198 	0.096 	0.194 
005419 	0.488 	0.199 	0.096 	0.192 
005420 	0.488 	0.200 	0.096 	0.192 
005421 	0.487 	0.202 	0.096 	0.190 
005422 	0.487 	0.202 	0.097 	0.191 
005423 	0.488 	0.203 	0.096 	0.191 
005424 	0.488 	0.202 	0.096 	0.190 
005425 	0.489 	0.201 	0.096 	0.190 
005426 	0.489 	0.201 	0.096 	0.189 
005427 	0.490 	0.200 	0.096 	0.192 
005428 	0.490 	0.201 	0.096 	0.191 
005429 	0.490 	0.200 	0.097 	0.191 
005430 	0.491 	0.199 	0.098 	0.191 
005431 	0.492 	0.199 	0.097 	0.190 
005432 	0.492 	0.199 	0.097 	0.191 
005433 	0.493 	0.200 	0.097 	0.190 
005434 	0.493 	0.200 	0.097 	0.191 
005435 	0.493 	0.199 	0.097 	0.192 
005436 	0.496 	0.198 	0.093 	0.195 
005437 	0.495 	0.199 	0.096 	0.192 
005438 	0.495 	0.199 	0.097 	0.192 
005439 	0.496 	0.198 	0.097 	0.193 
005440 	0.496 	0.198 	0.097 	0.193 
005441 	0.496 	0.198 	0.097 	0.194 
005442 	0.496 	0.198 	0.098 	0.195 
005443 	0.496 	0.198 	0.098 	0.194 
005444 	0.498 	0.197 	0.093 	0.196 
005445 	0.497 	0.196 	0.097 	0.196 
005446 	0.496 	0.197 	0.097 	0.197 
005447 	0.498 	0.198 	0.092 	0.198 
005448 	0.498 	0.197 	0.092 	0.198 
005449 	0.498 	0.197 	0.092 	0.199 
005450 	0.498 	0.197 	0.092 	0.199 
005451 	0.497 	0.198 	0.092 	0.198 
005452 	0.497 	0.198 	0.092 	0.198 
005453 	0.497 	0.197 	0.092 	0.200 
005454 	0.497 	0.195 	0.091 	0.201 
005455 	0.497 	0.195 	0.092 	0.202 
005456 	0.497 	0.193 	0.092 	0.204 
005457 	0.495 	0.176 	0.095 	0.225 
005458 	0.496 	0.189 	0.090 	0.207 
005459 	0.495 	0.190 	0.090 	0.203 
005460 	0.490 	0.188 	0.096 	0.202 
005461 	0.489 	0.186 	0.094 	0.205 
005462 	0.487 	0.187 	0.096 	0.208 
005463 	0.484 	0.191 	0.089 	0.206 
005464 	0.483 	0.195 	0.087 	0.204 
005465 	0.481 	0.201 	0.088 	0.202 
005466 	0.479 	0.178 	0.096 	0.238 
005467 	0.478 	0.179 	0.096 	0.236 
005468 	0.480 	0.203 	0.088 	0.202 
005469 	0.479 	0.202 	0.089 	0.199 
005470 	0.478 	0.199 	0.090 	0.200 
005471 	0.478 	0.198 	0.090 	0.200 
005472 	0.478 	0.198 	0.091 	0.199 

WORD START END ASDSCORE
EVERYDAY 0.09 0.44 14.1
THIRD 0.44 0.75 10.1
THERE'S 2.44 2.88 4.1
