Text:  THE WORLD'S BIGGEST ENCYCLOPAEDIA EVER FOR 
Conf:  1
Ref:   1BHOflzxPjI

FRAME 	X 	Y 	W 	H 
005922 	0.436 	0.121 	0.098 	0.204 
005923 	0.446 	0.119 	0.095 	0.203 
005924 	0.453 	0.119 	0.098 	0.201 
005925 	0.461 	0.121 	0.096 	0.201 
005926 	0.472 	0.124 	0.091 	0.195 
005927 	0.477 	0.119 	0.095 	0.200 
005928 	0.483 	0.120 	0.095 	0.198 
005929 	0.492 	0.127 	0.088 	0.203 
005930 	0.494 	0.111 	0.094 	0.232 
005931 	0.498 	0.116 	0.095 	0.232 
005932 	0.503 	0.116 	0.094 	0.227 
005933 	0.507 	0.135 	0.092 	0.197 
005934 	0.510 	0.129 	0.096 	0.199 
005935 	0.513 	0.125 	0.095 	0.198 
005936 	0.514 	0.125 	0.094 	0.195 
005937 	0.515 	0.121 	0.094 	0.197 
005938 	0.512 	0.115 	0.097 	0.194 
005939 	0.511 	0.113 	0.097 	0.194 
005940 	0.511 	0.114 	0.097 	0.197 
005941 	0.510 	0.115 	0.098 	0.196 
005942 	0.508 	0.102 	0.098 	0.227 
005943 	0.509 	0.107 	0.096 	0.220 
005944 	0.508 	0.108 	0.096 	0.220 
005945 	0.509 	0.121 	0.096 	0.197 
005946 	0.505 	0.117 	0.099 	0.201 
005947 	0.503 	0.119 	0.099 	0.200 
005948 	0.501 	0.119 	0.099 	0.199 
005949 	0.500 	0.120 	0.099 	0.200 
005950 	0.500 	0.118 	0.100 	0.201 
005951 	0.501 	0.117 	0.099 	0.198 
005952 	0.500 	0.113 	0.101 	0.202 
005953 	0.499 	0.112 	0.102 	0.201 
005954 	0.500 	0.117 	0.098 	0.194 
005955 	0.497 	0.119 	0.098 	0.196 
005956 	0.497 	0.125 	0.092 	0.202 
005957 	0.495 	0.124 	0.090 	0.210 
005958 	0.493 	0.110 	0.094 	0.229 
005959 	0.492 	0.107 	0.095 	0.231 
005960 	0.492 	0.126 	0.096 	0.205 
005961 	0.492 	0.127 	0.096 	0.203 
005962 	0.495 	0.127 	0.090 	0.205 
005963 	0.496 	0.127 	0.089 	0.202 
005964 	0.496 	0.127 	0.091 	0.203 
005965 	0.497 	0.127 	0.091 	0.204 
005966 	0.494 	0.127 	0.098 	0.204 
005967 	0.495 	0.112 	0.097 	0.224 
005968 	0.496 	0.113 	0.098 	0.222 
005969 	0.497 	0.112 	0.099 	0.224 
005970 	0.499 	0.114 	0.099 	0.225 
005971 	0.501 	0.112 	0.098 	0.231 
005972 	0.501 	0.110 	0.097 	0.239 
005973 	0.500 	0.112 	0.097 	0.239 
005974 	0.499 	0.110 	0.095 	0.240 
005975 	0.500 	0.107 	0.095 	0.237 
005976 	0.500 	0.105 	0.099 	0.229 
005977 	0.502 	0.106 	0.098 	0.221 
005978 	0.504 	0.115 	0.100 	0.201 
005979 	0.506 	0.106 	0.096 	0.224 
005980 	0.507 	0.111 	0.095 	0.223 
005981 	0.509 	0.116 	0.093 	0.219 
005982 	0.510 	0.134 	0.097 	0.199 
005983 	0.510 	0.122 	0.095 	0.219 
005984 	0.510 	0.126 	0.094 	0.217 
005985 	0.511 	0.128 	0.095 	0.216 
005986 	0.511 	0.143 	0.096 	0.198 
005987 	0.511 	0.144 	0.096 	0.198 
005988 	0.511 	0.148 	0.095 	0.195 
005989 	0.510 	0.132 	0.093 	0.218 
005990 	0.510 	0.134 	0.093 	0.217 
005991 	0.509 	0.135 	0.092 	0.219 
005992 	0.509 	0.137 	0.092 	0.219 
005993 	0.508 	0.138 	0.093 	0.218 
005994 	0.508 	0.139 	0.092 	0.219 
005995 	0.507 	0.140 	0.093 	0.219 
005996 	0.507 	0.139 	0.093 	0.220 
005997 	0.506 	0.140 	0.093 	0.218 
005998 	0.506 	0.138 	0.093 	0.219 
005999 	0.506 	0.136 	0.092 	0.221 
006000 	0.504 	0.132 	0.094 	0.222 
006001 	0.504 	0.124 	0.096 	0.223 
006002 	0.503 	0.119 	0.096 	0.222 
006003 	0.503 	0.114 	0.095 	0.224 
006004 	0.504 	0.121 	0.097 	0.203 
006005 	0.503 	0.118 	0.097 	0.203 

WORD START END ASDSCORE
THE 0.09 0.15 13.0
WORLD'S 0.15 0.66 12.2
BIGGEST 0.66 1.10 7.3
ENCYCLOPAEDIA 1.10 2.05 9.0
EVER 2.05 2.36 10.7
FOR 3.14 3.25 4.5
