Text:  THOSE HAPPY HOUSEHOLDS GETTING WAGES AND DIVIDENDS HASN'T REALLY 
Conf:  2
Ref:   1BHOflzxPjI

FRAME 	X 	Y 	W 	H 
006492 	0.513 	0.188 	0.095 	0.198 
006493 	0.512 	0.188 	0.089 	0.196 
006494 	0.513 	0.186 	0.095 	0.201 
006495 	0.513 	0.183 	0.095 	0.202 
006496 	0.511 	0.181 	0.089 	0.197 
006497 	0.511 	0.177 	0.090 	0.196 
006498 	0.512 	0.173 	0.094 	0.199 
006499 	0.512 	0.172 	0.094 	0.201 
006500 	0.509 	0.173 	0.089 	0.197 
006501 	0.504 	0.175 	0.089 	0.192 
006502 	0.503 	0.177 	0.085 	0.196 
006503 	0.500 	0.183 	0.084 	0.197 
006504 	0.499 	0.181 	0.083 	0.202 
006505 	0.497 	0.177 	0.085 	0.205 
006506 	0.499 	0.173 	0.083 	0.208 
006507 	0.497 	0.175 	0.086 	0.198 
006508 	0.497 	0.175 	0.086 	0.198 
006509 	0.496 	0.174 	0.086 	0.200 
006510 	0.494 	0.175 	0.086 	0.205 
006511 	0.492 	0.177 	0.087 	0.198 
006512 	0.491 	0.178 	0.088 	0.196 
006513 	0.492 	0.176 	0.091 	0.197 
006514 	0.492 	0.175 	0.090 	0.201 
006515 	0.490 	0.174 	0.086 	0.201 
006516 	0.490 	0.178 	0.084 	0.200 
006517 	0.490 	0.175 	0.093 	0.202 
006518 	0.489 	0.175 	0.093 	0.201 
006519 	0.489 	0.176 	0.094 	0.197 
006520 	0.489 	0.176 	0.094 	0.200 
006521 	0.489 	0.176 	0.093 	0.201 
006522 	0.490 	0.178 	0.093 	0.200 
006523 	0.490 	0.177 	0.095 	0.204 
006524 	0.489 	0.178 	0.095 	0.202 
006525 	0.484 	0.178 	0.089 	0.199 
006526 	0.479 	0.178 	0.090 	0.198 
006527 	0.476 	0.180 	0.085 	0.198 
006528 	0.469 	0.182 	0.086 	0.196 
006529 	0.464 	0.191 	0.086 	0.184 
006530 	0.460 	0.200 	0.085 	0.187 
006531 	0.454 	0.204 	0.088 	0.205 
006532 	0.451 	0.215 	0.085 	0.199 
006533 	0.447 	0.223 	0.085 	0.194 
006534 	0.443 	0.223 	0.087 	0.200 
006535 	0.440 	0.225 	0.087 	0.197 
006536 	0.439 	0.228 	0.087 	0.195 
006537 	0.437 	0.229 	0.089 	0.191 
006538 	0.437 	0.222 	0.095 	0.191 
006539 	0.440 	0.217 	0.087 	0.192 
006540 	0.443 	0.207 	0.087 	0.196 
006541 	0.447 	0.198 	0.089 	0.196 
006542 	0.451 	0.195 	0.089 	0.190 
006543 	0.454 	0.188 	0.091 	0.191 
006544 	0.458 	0.184 	0.097 	0.196 
006545 	0.461 	0.180 	0.095 	0.198 
006546 	0.464 	0.178 	0.096 	0.199 
006547 	0.467 	0.182 	0.088 	0.195 
006548 	0.470 	0.180 	0.087 	0.198 
006549 	0.474 	0.181 	0.087 	0.196 
006550 	0.475 	0.179 	0.090 	0.194 
006551 	0.479 	0.176 	0.090 	0.198 
006552 	0.482 	0.177 	0.090 	0.196 
006553 	0.488 	0.175 	0.095 	0.201 
006554 	0.490 	0.174 	0.095 	0.199 
006555 	0.494 	0.178 	0.088 	0.195 
006556 	0.498 	0.176 	0.088 	0.195 
006557 	0.501 	0.174 	0.090 	0.194 
006558 	0.503 	0.173 	0.092 	0.194 
006559 	0.505 	0.171 	0.097 	0.196 
006560 	0.510 	0.171 	0.097 	0.197 
006561 	0.512 	0.171 	0.095 	0.195 
006562 	0.516 	0.172 	0.094 	0.192 
006563 	0.518 	0.174 	0.094 	0.190 
006564 	0.520 	0.173 	0.092 	0.191 
006565 	0.524 	0.175 	0.091 	0.189 
006566 	0.526 	0.174 	0.091 	0.191 
006567 	0.529 	0.174 	0.091 	0.188 
006568 	0.530 	0.173 	0.091 	0.192 
006569 	0.531 	0.173 	0.094 	0.190 
006570 	0.533 	0.175 	0.094 	0.190 
006571 	0.536 	0.176 	0.092 	0.192 
006572 	0.538 	0.180 	0.091 	0.192 
006573 	0.540 	0.185 	0.090 	0.192 
006574 	0.541 	0.190 	0.094 	0.194 
006575 	0.540 	0.191 	0.095 	0.196 
006576 	0.539 	0.190 	0.096 	0.198 
006577 	0.538 	0.190 	0.091 	0.194 
006578 	0.538 	0.189 	0.090 	0.195 
