Text:  AND RENTS IN FACT THESE HOUSEHOLDS ARE WORLDS APART AND SO TOO ARE THE FIRMS WITH A GULF BETWEEN LOCAL BUSINESS 
Conf:  4
Ref:   1BHOflzxPjI

FRAME 	X 	Y 	W 	H 
006903 	0.496 	0.179 	0.088 	0.183 
006904 	0.502 	0.179 	0.087 	0.184 
006905 	0.506 	0.180 	0.087 	0.185 
006906 	0.509 	0.183 	0.086 	0.187 
006907 	0.510 	0.183 	0.083 	0.192 
006908 	0.508 	0.182 	0.085 	0.190 
006909 	0.506 	0.183 	0.086 	0.188 
006910 	0.504 	0.184 	0.086 	0.185 
006911 	0.503 	0.182 	0.086 	0.187 
006912 	0.502 	0.178 	0.086 	0.191 
006913 	0.500 	0.175 	0.086 	0.195 
006914 	0.498 	0.175 	0.087 	0.192 
006915 	0.495 	0.173 	0.090 	0.191 
006916 	0.495 	0.173 	0.089 	0.188 
006917 	0.494 	0.172 	0.090 	0.188 
006918 	0.493 	0.171 	0.090 	0.189 
006919 	0.492 	0.171 	0.091 	0.189 
006920 	0.492 	0.170 	0.091 	0.191 
006921 	0.493 	0.168 	0.090 	0.192 
006922 	0.493 	0.166 	0.090 	0.193 
006923 	0.494 	0.168 	0.089 	0.189 
006924 	0.497 	0.168 	0.087 	0.190 
006925 	0.498 	0.169 	0.089 	0.185 
006926 	0.500 	0.172 	0.090 	0.180 
006927 	0.502 	0.173 	0.089 	0.180 
006928 	0.504 	0.175 	0.088 	0.180 
006929 	0.505 	0.175 	0.088 	0.184 
006930 	0.505 	0.175 	0.088 	0.184 
006931 	0.505 	0.172 	0.089 	0.187 
006932 	0.506 	0.171 	0.089 	0.189 
006933 	0.506 	0.171 	0.089 	0.188 
006934 	0.506 	0.170 	0.089 	0.187 
006935 	0.507 	0.170 	0.088 	0.190 
006936 	0.507 	0.170 	0.088 	0.190 
006937 	0.508 	0.167 	0.087 	0.190 
006938 	0.508 	0.164 	0.088 	0.191 
006939 	0.508 	0.161 	0.088 	0.188 
006940 	0.508 	0.159 	0.088 	0.188 
006941 	0.508 	0.161 	0.088 	0.186 
006942 	0.507 	0.167 	0.088 	0.184 
006943 	0.506 	0.176 	0.086 	0.187 
006944 	0.508 	0.195 	0.082 	0.175 
