Text:  YOU CAN STUDY THOSE IN AN OPTIONAL PAPER IN THE SECOND YEAR IF YOU LIKE UNPAID CARE ECONOMY 
Conf:  2
Ref:   1BHOflzxPjI

FRAME 	X 	Y 	W 	H 
007709 	0.470 	0.166 	0.087 	0.186 
007710 	0.476 	0.167 	0.087 	0.187 
007711 	0.481 	0.167 	0.089 	0.183 
007712 	0.487 	0.170 	0.091 	0.183 
007713 	0.493 	0.172 	0.090 	0.189 
007714 	0.500 	0.174 	0.087 	0.188 
007715 	0.503 	0.173 	0.089 	0.188 
007716 	0.505 	0.170 	0.089 	0.190 
007717 	0.507 	0.170 	0.091 	0.188 
007718 	0.510 	0.170 	0.089 	0.187 
007719 	0.513 	0.171 	0.089 	0.185 
007720 	0.515 	0.169 	0.088 	0.185 
007721 	0.518 	0.170 	0.087 	0.183 
007722 	0.520 	0.170 	0.086 	0.187 
007723 	0.520 	0.169 	0.086 	0.184 
007724 	0.521 	0.169 	0.085 	0.184 
007725 	0.520 	0.168 	0.086 	0.185 
007726 	0.520 	0.167 	0.085 	0.185 
007727 	0.516 	0.166 	0.086 	0.189 
007728 	0.515 	0.166 	0.088 	0.188 
007729 	0.512 	0.164 	0.085 	0.191 
007730 	0.510 	0.160 	0.084 	0.191 
007731 	0.510 	0.156 	0.083 	0.193 
007732 	0.511 	0.153 	0.084 	0.191 
007733 	0.512 	0.156 	0.087 	0.185 
007734 	0.512 	0.155 	0.087 	0.188 
007735 	0.510 	0.154 	0.089 	0.190 
007736 	0.505 	0.151 	0.091 	0.189 
007737 	0.502 	0.149 	0.087 	0.189 
007738 	0.495 	0.148 	0.088 	0.186 
007739 	0.490 	0.144 	0.091 	0.190 
007740 	0.483 	0.146 	0.090 	0.189 
007741 	0.479 	0.147 	0.089 	0.187 
007742 	0.473 	0.146 	0.087 	0.193 
007743 	0.466 	0.142 	0.086 	0.193 
007744 	0.460 	0.139 	0.087 	0.193 
007745 	0.456 	0.137 	0.087 	0.194 
007746 	0.450 	0.139 	0.086 	0.194 
007747 	0.447 	0.138 	0.085 	0.193 
007748 	0.442 	0.138 	0.085 	0.193 
007749 	0.437 	0.139 	0.086 	0.194 
007750 	0.435 	0.138 	0.087 	0.194 
007751 	0.431 	0.139 	0.087 	0.195 
007752 	0.428 	0.139 	0.088 	0.192 
007753 	0.425 	0.139 	0.088 	0.193 
007754 	0.424 	0.140 	0.087 	0.191 
007755 	0.421 	0.140 	0.086 	0.192 
007756 	0.418 	0.142 	0.087 	0.190 
007757 	0.417 	0.141 	0.086 	0.192 
007758 	0.413 	0.141 	0.088 	0.191 
007759 	0.413 	0.142 	0.088 	0.194 
007760 	0.413 	0.145 	0.088 	0.193 
007761 	0.411 	0.150 	0.090 	0.188 
007762 	0.411 	0.152 	0.088 	0.191 
007763 	0.414 	0.160 	0.087 	0.194 
007764 	0.413 	0.169 	0.087 	0.190 
007765 	0.409 	0.172 	0.089 	0.185 
007766 	0.407 	0.168 	0.089 	0.191 
007767 	0.408 	0.169 	0.093 	0.188 
007768 	0.415 	0.171 	0.089 	0.187 
007769 	0.419 	0.166 	0.088 	0.193 
007770 	0.420 	0.166 	0.088 	0.189 
007771 	0.418 	0.166 	0.086 	0.190 
007772 	0.417 	0.164 	0.087 	0.191 
007773 	0.420 	0.163 	0.089 	0.191 
007774 	0.425 	0.160 	0.089 	0.193 
007775 	0.427 	0.155 	0.087 	0.200 
007776 	0.423 	0.151 	0.091 	0.196 
007777 	0.423 	0.151 	0.091 	0.187 
007778 	0.425 	0.148 	0.092 	0.191 
007779 	0.427 	0.148 	0.092 	0.189 
007780 	0.428 	0.146 	0.090 	0.188 
007781 	0.429 	0.143 	0.090 	0.190 
007782 	0.430 	0.140 	0.090 	0.193 
007783 	0.431 	0.139 	0.090 	0.189 
007784 	0.433 	0.138 	0.091 	0.188 
007785 	0.436 	0.139 	0.093 	0.185 
007786 	0.442 	0.139 	0.088 	0.186 
007787 	0.447 	0.138 	0.090 	0.194 
007788 	0.453 	0.137 	0.091 	0.198 
007789 	0.459 	0.138 	0.091 	0.197 
007790 	0.467 	0.143 	0.089 	0.183 
007791 	0.475 	0.144 	0.090 	0.183 
007792 	0.480 	0.147 	0.091 	0.183 
007793 	0.485 	0.146 	0.091 	0.189 
007794 	0.489 	0.147 	0.094 	0.191 
007795 	0.492 	0.149 	0.091 	0.194 
007796 	0.498 	0.153 	0.088 	0.195 
007797 	0.501 	0.153 	0.090 	0.195 
007798 	0.505 	0.154 	0.090 	0.193 
007799 	0.506 	0.154 	0.091 	0.193 
007800 	0.508 	0.154 	0.089 	0.196 
007801 	0.509 	0.153 	0.087 	0.201 
007802 	0.509 	0.155 	0.086 	0.198 
007803 	0.508 	0.158 	0.085 	0.195 
007804 	0.507 	0.161 	0.083 	0.194 
007805 	0.506 	0.164 	0.083 	0.192 
007806 	0.504 	0.162 	0.083 	0.193 
007807 	0.502 	0.155 	0.082 	0.202 
007808 	0.499 	0.150 	0.082 	0.206 
007809 	0.494 	0.151 	0.083 	0.208 
007810 	0.490 	0.150 	0.080 	0.206 
007811 	0.490 	0.151 	0.079 	0.205 
007812 	0.491 	0.152 	0.080 	0.204 
007813 	0.491 	0.152 	0.080 	0.202 
007814 	0.494 	0.152 	0.084 	0.203 
007815 	0.498 	0.150 	0.084 	0.202 
007816 	0.500 	0.154 	0.086 	0.193 
007817 	0.503 	0.156 	0.089 	0.190 
007818 	0.507 	0.154 	0.089 	0.192 
007819 	0.508 	0.153 	0.089 	0.192 
007820 	0.508 	0.156 	0.090 	0.190 
007821 	0.508 	0.155 	0.090 	0.189 
007822 	0.508 	0.155 	0.090 	0.190 
007823 	0.509 	0.157 	0.089 	0.190 
007824 	0.508 	0.159 	0.089 	0.189 
007825 	0.508 	0.157 	0.091 	0.189 
007826 	0.512 	0.157 	0.089 	0.187 
007827 	0.516 	0.154 	0.091 	0.180 
007828 	0.519 	0.146 	0.091 	0.190 
007829 	0.521 	0.143 	0.090 	0.191 
007830 	0.522 	0.144 	0.089 	0.195 
007831 	0.522 	0.149 	0.089 	0.193 
007832 	0.523 	0.157 	0.087 	0.195 
007833 	0.524 	0.168 	0.084 	0.194 
007834 	0.524 	0.170 	0.086 	0.196 
007835 	0.524 	0.166 	0.086 	0.199 
007836 	0.523 	0.161 	0.087 	0.197 
007837 	0.521 	0.158 	0.088 	0.197 
007838 	0.521 	0.155 	0.089 	0.196 
007839 	0.522 	0.153 	0.089 	0.193 
007840 	0.522 	0.153 	0.089 	0.193 
007841 	0.522 	0.153 	0.089 	0.194 
007842 	0.523 	0.153 	0.090 	0.193 
007843 	0.526 	0.151 	0.091 	0.190 
007844 	0.529 	0.150 	0.092 	0.192 
007845 	0.531 	0.151 	0.091 	0.190 
007846 	0.534 	0.152 	0.092 	0.188 
007847 	0.537 	0.155 	0.091 	0.188 
007848 	0.539 	0.159 	0.092 	0.190 
007849 	0.543 	0.167 	0.090 	0.192 
007850 	0.546 	0.167 	0.090 	0.195 
007851 	0.548 	0.170 	0.089 	0.193 
007852 	0.550 	0.170 	0.089 	0.193 
007853 	0.551 	0.169 	0.089 	0.194 
007854 	0.553 	0.167 	0.088 	0.194 
007855 	0.555 	0.166 	0.088 	0.193 
007856 	0.555 	0.168 	0.088 	0.190 
007857 	0.555 	0.167 	0.089 	0.192 
007858 	0.555 	0.165 	0.089 	0.192 
007859 	0.555 	0.163 	0.088 	0.194 
007860 	0.555 	0.163 	0.088 	0.194 
007861 	0.554 	0.162 	0.088 	0.196 
007862 	0.554 	0.162 	0.088 	0.194 
007863 	0.553 	0.161 	0.088 	0.195 
007864 	0.552 	0.161 	0.089 	0.197 
007865 	0.552 	0.162 	0.089 	0.197 
007866 	0.551 	0.161 	0.089 	0.197 
007867 	0.550 	0.160 	0.090 	0.198 
007868 	0.550 	0.159 	0.089 	0.200 
007869 	0.548 	0.157 	0.089 	0.198 
007870 	0.546 	0.155 	0.090 	0.198 
007871 	0.545 	0.154 	0.090 	0.197 
007872 	0.545 	0.155 	0.089 	0.198 
007873 	0.546 	0.156 	0.088 	0.203 
007874 	0.544 	0.159 	0.088 	0.205 
007875 	0.541 	0.156 	0.089 	0.199 
007876 	0.538 	0.156 	0.089 	0.193 
007877 	0.534 	0.153 	0.089 	0.193 
007878 	0.530 	0.152 	0.088 	0.179 
007879 	0.526 	0.154 	0.086 	0.171 
007880 	0.521 	0.153 	0.085 	0.175 
007881 	0.519 	0.154 	0.083 	0.184 
007882 	0.517 	0.154 	0.083 	0.197 
007883 	0.515 	0.158 	0.083 	0.193 
007884 	0.513 	0.159 	0.084 	0.196 
007885 	0.512 	0.159 	0.084 	0.197 
007886 	0.513 	0.158 	0.083 	0.199 
007887 	0.514 	0.157 	0.082 	0.202 
007888 	0.515 	0.157 	0.082 	0.201 
007889 	0.515 	0.157 	0.082 	0.201 
007890 	0.515 	0.158 	0.082 	0.197 
007891 	0.516 	0.160 	0.082 	0.196 
007892 	0.515 	0.159 	0.085 	0.195 
007893 	0.515 	0.159 	0.085 	0.193 
007894 	0.516 	0.157 	0.083 	0.191 
007895 	0.517 	0.157 	0.082 	0.188 
