Text:  THINK YOU ACTUALLY WANT THE POLITICS DEPARTMENT I MEAN ALL THESE 
Conf:  2
Ref:   1BHOflzxPjI

FRAME 	X 	Y 	W 	H 
008029 	0.530 	0.147 	0.077 	0.207 
008030 	0.532 	0.147 	0.078 	0.211 
008031 	0.534 	0.152 	0.081 	0.204 
008032 	0.535 	0.153 	0.086 	0.197 
008033 	0.536 	0.155 	0.087 	0.196 
008034 	0.533 	0.156 	0.088 	0.193 
008035 	0.530 	0.159 	0.087 	0.189 
008036 	0.524 	0.163 	0.087 	0.188 
008037 	0.516 	0.168 	0.090 	0.180 
008038 	0.509 	0.171 	0.089 	0.183 
008039 	0.503 	0.176 	0.087 	0.183 
008040 	0.494 	0.176 	0.088 	0.184 
008041 	0.487 	0.172 	0.089 	0.185 
008042 	0.480 	0.168 	0.088 	0.191 
008043 	0.473 	0.170 	0.088 	0.189 
008044 	0.465 	0.169 	0.088 	0.185 
008045 	0.458 	0.158 	0.088 	0.189 
008046 	0.450 	0.151 	0.087 	0.191 
008047 	0.443 	0.147 	0.088 	0.192 
008048 	0.436 	0.147 	0.092 	0.188 
008049 	0.429 	0.148 	0.088 	0.188 
008050 	0.423 	0.148 	0.087 	0.183 
008051 	0.416 	0.148 	0.087 	0.187 
008052 	0.410 	0.147 	0.091 	0.192 
008053 	0.402 	0.144 	0.090 	0.197 
008054 	0.398 	0.147 	0.089 	0.190 
008055 	0.394 	0.148 	0.087 	0.188 
008056 	0.392 	0.148 	0.087 	0.186 
008057 	0.387 	0.146 	0.089 	0.189 
008058 	0.384 	0.148 	0.088 	0.187 
008059 	0.382 	0.152 	0.088 	0.193 
008060 	0.380 	0.158 	0.086 	0.191 
008061 	0.377 	0.168 	0.087 	0.187 
008062 	0.374 	0.170 	0.088 	0.189 
008063 	0.373 	0.170 	0.087 	0.187 
008064 	0.373 	0.166 	0.087 	0.188 
008065 	0.375 	0.162 	0.087 	0.191 
008066 	0.377 	0.160 	0.087 	0.190 
008067 	0.379 	0.158 	0.089 	0.189 
008068 	0.385 	0.162 	0.088 	0.187 
008069 	0.393 	0.159 	0.087 	0.188 
008070 	0.397 	0.155 	0.090 	0.191 
008071 	0.405 	0.154 	0.091 	0.188 
008072 	0.414 	0.151 	0.088 	0.193 
