Text:  OF THE MODELING AND THE MATHS THAT ECONOMISTS LOVE TO DO BECAUSE IT TURNS ECONOMISTS INTO SCIENTISTS SO 
Conf:  4
Ref:   1BHOflzxPjI

FRAME 	X 	Y 	W 	H 
008426 	0.512 	0.150 	0.097 	0.193 
008427 	0.513 	0.150 	0.096 	0.195 
008428 	0.513 	0.150 	0.095 	0.195 
008429 	0.512 	0.149 	0.095 	0.196 
008430 	0.513 	0.147 	0.094 	0.193 
008431 	0.510 	0.147 	0.094 	0.187 
008432 	0.509 	0.143 	0.099 	0.189 
008433 	0.510 	0.144 	0.092 	0.187 
008434 	0.509 	0.141 	0.091 	0.190 
008435 	0.509 	0.140 	0.090 	0.189 
008436 	0.509 	0.139 	0.090 	0.188 
008437 	0.509 	0.139 	0.090 	0.191 
008438 	0.509 	0.144 	0.089 	0.200 
008439 	0.508 	0.149 	0.089 	0.196 
008440 	0.508 	0.148 	0.090 	0.191 
008441 	0.508 	0.148 	0.090 	0.188 
008442 	0.507 	0.150 	0.091 	0.187 
008443 	0.507 	0.152 	0.090 	0.190 
008444 	0.507 	0.155 	0.090 	0.192 
008445 	0.506 	0.155 	0.090 	0.192 
008446 	0.505 	0.156 	0.090 	0.191 
008447 	0.504 	0.156 	0.089 	0.192 
008448 	0.502 	0.156 	0.088 	0.194 
008449 	0.501 	0.154 	0.087 	0.198 
008450 	0.500 	0.154 	0.087 	0.195 
008451 	0.499 	0.152 	0.088 	0.191 
008452 	0.499 	0.152 	0.087 	0.190 
008453 	0.498 	0.149 	0.087 	0.190 
008454 	0.498 	0.148 	0.086 	0.191 
008455 	0.496 	0.147 	0.086 	0.195 
008456 	0.495 	0.148 	0.086 	0.199 
008457 	0.493 	0.152 	0.085 	0.205 
008458 	0.491 	0.155 	0.085 	0.207 
008459 	0.487 	0.161 	0.092 	0.195 
008460 	0.485 	0.161 	0.091 	0.191 
008461 	0.483 	0.156 	0.092 	0.190 
008462 	0.482 	0.155 	0.091 	0.190 
008463 	0.481 	0.155 	0.090 	0.189 
008464 	0.479 	0.152 	0.090 	0.189 
008465 	0.477 	0.149 	0.091 	0.191 
008466 	0.477 	0.148 	0.091 	0.191 
008467 	0.476 	0.149 	0.091 	0.189 
008468 	0.475 	0.149 	0.090 	0.187 
008469 	0.474 	0.148 	0.090 	0.189 
008470 	0.474 	0.146 	0.090 	0.189 
008471 	0.472 	0.145 	0.090 	0.189 
008472 	0.473 	0.145 	0.089 	0.191 
008473 	0.473 	0.147 	0.088 	0.190 
008474 	0.473 	0.147 	0.087 	0.190 
