Text:  AWAY FROM ECONOMICS AND I IMMERSED MYSELF IN REAL WORLD CHALLENGES I SPENT THREE YEARS WORKING IN THE VILLAGES OF 
Conf:  1
Ref:   1BHOflzxPjI

FRAME 	X 	Y 	W 	H 
008811 	0.530 	0.151 	0.087 	0.186 
008812 	0.524 	0.151 	0.090 	0.185 
008813 	0.518 	0.150 	0.093 	0.188 
008814 	0.514 	0.148 	0.095 	0.184 
008815 	0.509 	0.146 	0.091 	0.184 
008816 	0.506 	0.145 	0.091 	0.191 
008817 	0.505 	0.145 	0.090 	0.198 
008818 	0.505 	0.147 	0.093 	0.194 
008819 	0.510 	0.153 	0.092 	0.187 
008820 	0.515 	0.154 	0.095 	0.189 
008821 	0.516 	0.154 	0.096 	0.187 
008822 	0.516 	0.155 	0.097 	0.188 
008823 	0.517 	0.155 	0.097 	0.192 
008824 	0.516 	0.157 	0.098 	0.197 
008825 	0.519 	0.158 	0.091 	0.197 
008826 	0.520 	0.159 	0.090 	0.196 
008827 	0.519 	0.159 	0.091 	0.195 
008828 	0.521 	0.157 	0.090 	0.199 
008829 	0.521 	0.157 	0.090 	0.201 
008830 	0.521 	0.156 	0.091 	0.200 
008831 	0.523 	0.155 	0.091 	0.201 
008832 	0.523 	0.155 	0.091 	0.202 
008833 	0.524 	0.157 	0.092 	0.201 
008834 	0.526 	0.160 	0.091 	0.197 
008835 	0.526 	0.163 	0.092 	0.196 
008836 	0.527 	0.164 	0.092 	0.195 
008837 	0.527 	0.164 	0.092 	0.194 
008838 	0.527 	0.164 	0.091 	0.192 
008839 	0.528 	0.162 	0.093 	0.191 
008840 	0.528 	0.159 	0.093 	0.190 
008841 	0.528 	0.157 	0.093 	0.191 
008842 	0.528 	0.156 	0.094 	0.191 
008843 	0.528 	0.157 	0.094 	0.189 
008844 	0.528 	0.156 	0.093 	0.192 
008845 	0.527 	0.156 	0.093 	0.195 
008846 	0.528 	0.156 	0.092 	0.200 
008847 	0.528 	0.157 	0.090 	0.201 
008848 	0.526 	0.152 	0.090 	0.209 
008849 	0.525 	0.132 	0.095 	0.226 
008850 	0.520 	0.143 	0.090 	0.206 
008851 	0.516 	0.142 	0.093 	0.196 
008852 	0.512 	0.138 	0.089 	0.197 
008853 	0.507 	0.136 	0.088 	0.200 
008854 	0.501 	0.138 	0.087 	0.202 
008855 	0.497 	0.137 	0.086 	0.197 
008856 	0.491 	0.140 	0.087 	0.197 
008857 	0.488 	0.142 	0.084 	0.194 
008858 	0.484 	0.143 	0.085 	0.202 
008859 	0.480 	0.145 	0.085 	0.203 
008860 	0.478 	0.146 	0.085 	0.199 
008861 	0.474 	0.144 	0.085 	0.200 
008862 	0.469 	0.141 	0.085 	0.204 
008863 	0.464 	0.147 	0.088 	0.198 
008864 	0.457 	0.146 	0.089 	0.196 
008865 	0.452 	0.147 	0.088 	0.194 
008866 	0.446 	0.143 	0.086 	0.205 
008867 	0.438 	0.148 	0.094 	0.200 
008868 	0.428 	0.148 	0.088 	0.197 
008869 	0.421 	0.148 	0.089 	0.197 
008870 	0.412 	0.148 	0.090 	0.197 
008871 	0.404 	0.149 	0.090 	0.196 
008872 	0.399 	0.150 	0.087 	0.199 
008873 	0.392 	0.149 	0.086 	0.207 
008874 	0.386 	0.149 	0.087 	0.206 
008875 	0.380 	0.148 	0.089 	0.201 
008876 	0.376 	0.147 	0.089 	0.202 
008877 	0.373 	0.148 	0.088 	0.198 
008878 	0.371 	0.149 	0.087 	0.197 
008879 	0.368 	0.144 	0.086 	0.201 
008880 	0.366 	0.142 	0.087 	0.200 
008881 	0.365 	0.139 	0.087 	0.199 
008882 	0.365 	0.137 	0.087 	0.197 
008883 	0.366 	0.139 	0.087 	0.197 
008884 	0.367 	0.139 	0.088 	0.199 
008885 	0.368 	0.144 	0.089 	0.197 
008886 	0.369 	0.149 	0.090 	0.201 
