Text:  WITH MONEY BUT STARTED WITH HUMAN WELL BEING AND THERE ARE TWO SIDES TO 
Conf:  1
Ref:   1BHOflzxPjI

FRAME 	X 	Y 	W 	H 
010545 	0.429 	0.172 	0.090 	0.196 
010546 	0.424 	0.175 	0.090 	0.198 
010547 	0.422 	0.175 	0.088 	0.194 
010548 	0.417 	0.175 	0.089 	0.194 
010549 	0.413 	0.177 	0.090 	0.192 
010550 	0.409 	0.177 	0.094 	0.191 
010551 	0.408 	0.176 	0.094 	0.190 
010552 	0.406 	0.175 	0.093 	0.190 
010553 	0.404 	0.175 	0.093 	0.188 
010554 	0.403 	0.178 	0.091 	0.183 
010555 	0.401 	0.179 	0.091 	0.181 
010556 	0.400 	0.181 	0.091 	0.188 
010557 	0.400 	0.186 	0.090 	0.186 
010558 	0.400 	0.188 	0.090 	0.183 
010559 	0.401 	0.190 	0.089 	0.183 
010560 	0.401 	0.190 	0.089 	0.183 
010561 	0.401 	0.189 	0.089 	0.184 
010562 	0.401 	0.188 	0.089 	0.186 
010563 	0.401 	0.189 	0.090 	0.183 
010564 	0.401 	0.190 	0.090 	0.179 
010565 	0.402 	0.190 	0.089 	0.179 
010566 	0.402 	0.190 	0.090 	0.177 
010567 	0.402 	0.188 	0.091 	0.178 
010568 	0.403 	0.187 	0.093 	0.178 
010569 	0.405 	0.188 	0.094 	0.177 
010570 	0.406 	0.186 	0.094 	0.179 
010571 	0.407 	0.184 	0.094 	0.182 
010572 	0.409 	0.183 	0.094 	0.183 
010573 	0.412 	0.181 	0.090 	0.186 
010574 	0.414 	0.179 	0.091 	0.186 
010575 	0.419 	0.179 	0.090 	0.187 
010576 	0.422 	0.180 	0.091 	0.184 
010577 	0.426 	0.179 	0.092 	0.183 
010578 	0.432 	0.178 	0.095 	0.182 
010579 	0.435 	0.178 	0.095 	0.184 
010580 	0.441 	0.175 	0.090 	0.189 
010581 	0.446 	0.175 	0.091 	0.187 
010582 	0.452 	0.177 	0.092 	0.180 
010583 	0.457 	0.174 	0.094 	0.184 
010584 	0.459 	0.174 	0.097 	0.181 
010585 	0.467 	0.172 	0.095 	0.188 
010586 	0.473 	0.174 	0.091 	0.183 
010587 	0.479 	0.174 	0.092 	0.183 
010588 	0.483 	0.174 	0.097 	0.183 
010589 	0.489 	0.173 	0.096 	0.190 
010590 	0.493 	0.177 	0.095 	0.190 
010591 	0.499 	0.178 	0.090 	0.191 
010592 	0.502 	0.179 	0.090 	0.191 
010593 	0.505 	0.178 	0.092 	0.186 
010594 	0.508 	0.176 	0.096 	0.183 
010595 	0.509 	0.173 	0.098 	0.184 
010596 	0.511 	0.170 	0.096 	0.186 
010597 	0.511 	0.168 	0.096 	0.186 
010598 	0.510 	0.167 	0.092 	0.187 
010599 	0.508 	0.163 	0.090 	0.188 
010600 	0.506 	0.161 	0.088 	0.189 
010601 	0.503 	0.155 	0.085 	0.193 
010602 	0.500 	0.150 	0.085 	0.198 
010603 	0.498 	0.147 	0.085 	0.201 
010604 	0.497 	0.146 	0.084 	0.203 
010605 	0.496 	0.143 	0.087 	0.203 
010606 	0.498 	0.145 	0.085 	0.193 
010607 	0.497 	0.142 	0.086 	0.192 
010608 	0.497 	0.139 	0.085 	0.197 
010609 	0.497 	0.139 	0.084 	0.194 
010610 	0.496 	0.139 	0.085 	0.197 
010611 	0.494 	0.140 	0.085 	0.196 
010612 	0.491 	0.143 	0.084 	0.195 
010613 	0.489 	0.145 	0.085 	0.196 
010614 	0.486 	0.144 	0.086 	0.197 
010615 	0.484 	0.143 	0.086 	0.190 
010616 	0.482 	0.141 	0.086 	0.194 
010617 	0.479 	0.141 	0.086 	0.194 
010618 	0.478 	0.142 	0.086 	0.193 
010619 	0.476 	0.143 	0.085 	0.192 
010620 	0.474 	0.141 	0.086 	0.192 
010621 	0.471 	0.141 	0.086 	0.194 
010622 	0.470 	0.141 	0.087 	0.204 
010623 	0.471 	0.143 	0.086 	0.200 
010624 	0.471 	0.144 	0.087 	0.196 
010625 	0.471 	0.142 	0.087 	0.191 
010626 	0.471 	0.141 	0.088 	0.189 
010627 	0.470 	0.139 	0.089 	0.191 
010628 	0.468 	0.139 	0.090 	0.193 
010629 	0.468 	0.141 	0.091 	0.197 
010630 	0.467 	0.144 	0.091 	0.197 
010631 	0.467 	0.146 	0.092 	0.196 
010632 	0.467 	0.148 	0.090 	0.199 
