Text:  PLENTIFUL WATER CLEAN AIR 
Conf:  2
Ref:   1BHOflzxPjI

FRAME 	X 	Y 	W 	H 
011499 	0.517 	0.167 	0.087 	0.187 
011500 	0.513 	0.161 	0.090 	0.188 
011501 	0.510 	0.156 	0.090 	0.193 
011502 	0.505 	0.153 	0.088 	0.197 
011503 	0.501 	0.150 	0.086 	0.203 
011504 	0.497 	0.145 	0.084 	0.212 
011505 	0.492 	0.147 	0.081 	0.202 
011506 	0.488 	0.145 	0.079 	0.207 
011507 	0.486 	0.146 	0.077 	0.203 
011508 	0.483 	0.145 	0.077 	0.203 
011509 	0.481 	0.143 	0.076 	0.206 
011510 	0.478 	0.141 	0.077 	0.207 
011511 	0.474 	0.141 	0.076 	0.205 
011512 	0.469 	0.141 	0.078 	0.201 
011513 	0.465 	0.143 	0.075 	0.198 
011514 	0.461 	0.140 	0.076 	0.198 
011515 	0.457 	0.137 	0.077 	0.198 
011516 	0.455 	0.134 	0.078 	0.200 
011517 	0.451 	0.132 	0.078 	0.203 
011518 	0.449 	0.132 	0.080 	0.206 
011519 	0.446 	0.132 	0.082 	0.204 
011520 	0.445 	0.135 	0.084 	0.201 
011521 	0.444 	0.139 	0.085 	0.195 
011522 	0.444 	0.143 	0.086 	0.193 
011523 	0.442 	0.145 	0.088 	0.194 
011524 	0.439 	0.147 	0.090 	0.195 
011525 	0.436 	0.149 	0.093 	0.194 
011526 	0.434 	0.151 	0.093 	0.194 
011527 	0.433 	0.153 	0.093 	0.193 
011528 	0.429 	0.154 	0.090 	0.194 
011529 	0.428 	0.155 	0.091 	0.193 
011530 	0.426 	0.156 	0.091 	0.193 
011531 	0.424 	0.156 	0.091 	0.193 
011532 	0.423 	0.158 	0.091 	0.191 
011533 	0.420 	0.159 	0.091 	0.191 
011534 	0.420 	0.160 	0.089 	0.192 
011535 	0.419 	0.160 	0.089 	0.193 
011536 	0.418 	0.160 	0.088 	0.192 
011537 	0.417 	0.160 	0.089 	0.192 
011538 	0.416 	0.161 	0.088 	0.193 
011539 	0.416 	0.161 	0.089 	0.192 
011540 	0.415 	0.161 	0.089 	0.192 
011541 	0.415 	0.161 	0.089 	0.193 
011542 	0.415 	0.160 	0.089 	0.195 
011543 	0.416 	0.157 	0.089 	0.198 
011544 	0.416 	0.154 	0.089 	0.197 
011545 	0.418 	0.133 	0.094 	0.221 
011546 	0.417 	0.150 	0.092 	0.195 
011547 	0.417 	0.149 	0.093 	0.191 
011548 	0.421 	0.144 	0.092 	0.195 
011549 	0.423 	0.146 	0.094 	0.190 
011550 	0.426 	0.146 	0.096 	0.191 
011551 	0.433 	0.151 	0.094 	0.186 
011552 	0.437 	0.151 	0.095 	0.187 
011553 	0.442 	0.147 	0.091 	0.189 
011554 	0.447 	0.142 	0.093 	0.194 
011555 	0.452 	0.146 	0.092 	0.194 
011556 	0.458 	0.147 	0.092 	0.192 
011557 	0.463 	0.129 	0.093 	0.219 
011558 	0.467 	0.143 	0.091 	0.203 
011559 	0.474 	0.147 	0.090 	0.194 
011560 	0.481 	0.149 	0.090 	0.193 
011561 	0.485 	0.152 	0.092 	0.188 
011562 	0.491 	0.147 	0.089 	0.199 
011563 	0.497 	0.152 	0.085 	0.193 
011564 	0.502 	0.155 	0.087 	0.193 
011565 	0.507 	0.162 	0.088 	0.192 
011566 	0.513 	0.168 	0.089 	0.187 
011567 	0.517 	0.165 	0.088 	0.202 
011568 	0.523 	0.171 	0.086 	0.197 
011569 	0.526 	0.174 	0.088 	0.192 

WORD START END ASDSCORE
PLENTIFUL 0.10 0.66 7.6
WATER 0.66 1.22 8.8
CLEAN 1.81 2.23 -1.3
AIR 2.23 2.73 5.8
