Text:  {NS} I WANTED TO BRING THESE TWO IDEAS TOGETHER AND DRAW A NEW PICTURE FOR ECONOMICS THE KIND OF PICTURE I DID WANT TO HAVE 
Conf:  2
Ref:   1BHOflzxPjI

FRAME 	X 	Y 	W 	H 
011999 	0.532 	0.162 	0.089 	0.193 
012000 	0.532 	0.164 	0.089 	0.191 
012001 	0.532 	0.164 	0.090 	0.192 
012002 	0.533 	0.164 	0.089 	0.190 
012003 	0.533 	0.163 	0.089 	0.194 
012004 	0.534 	0.163 	0.088 	0.195 
012005 	0.533 	0.162 	0.089 	0.201 
012006 	0.532 	0.161 	0.090 	0.206 
012007 	0.532 	0.161 	0.090 	0.206 
012008 	0.532 	0.163 	0.089 	0.201 
012009 	0.531 	0.167 	0.089 	0.195 
012010 	0.531 	0.171 	0.089 	0.192 
012011 	0.529 	0.170 	0.090 	0.195 
012012 	0.528 	0.171 	0.089 	0.193 
012013 	0.528 	0.171 	0.089 	0.193 
012014 	0.528 	0.172 	0.089 	0.193 
012015 	0.527 	0.172 	0.089 	0.193 
012016 	0.527 	0.174 	0.089 	0.189 
012017 	0.527 	0.172 	0.088 	0.191 
012018 	0.526 	0.172 	0.089 	0.192 
012019 	0.525 	0.171 	0.088 	0.193 
012020 	0.524 	0.174 	0.089 	0.190 
012021 	0.523 	0.174 	0.089 	0.189 
012022 	0.522 	0.172 	0.089 	0.192 
012023 	0.521 	0.173 	0.089 	0.190 
012024 	0.520 	0.175 	0.089 	0.189 
012025 	0.518 	0.177 	0.089 	0.187 
012026 	0.517 	0.178 	0.089 	0.187 
012027 	0.516 	0.179 	0.088 	0.186 
012028 	0.515 	0.183 	0.088 	0.186 
012029 	0.514 	0.188 	0.088 	0.184 
012030 	0.514 	0.191 	0.087 	0.183 
012031 	0.514 	0.194 	0.087 	0.184 
012032 	0.512 	0.195 	0.089 	0.185 
012033 	0.512 	0.195 	0.086 	0.188 
012034 	0.510 	0.196 	0.086 	0.182 
012035 	0.509 	0.195 	0.087 	0.182 
012036 	0.507 	0.194 	0.087 	0.180 
012037 	0.506 	0.194 	0.087 	0.178 
012038 	0.505 	0.193 	0.088 	0.180 
012039 	0.505 	0.192 	0.088 	0.181 
012040 	0.505 	0.192 	0.087 	0.181 
012041 	0.504 	0.192 	0.087 	0.180 
012042 	0.504 	0.191 	0.087 	0.180 
012043 	0.504 	0.190 	0.087 	0.183 
012044 	0.504 	0.189 	0.088 	0.183 
012045 	0.505 	0.187 	0.086 	0.190 
012046 	0.505 	0.185 	0.088 	0.189 
012047 	0.505 	0.183 	0.089 	0.187 
012048 	0.505 	0.181 	0.089 	0.190 
012049 	0.506 	0.178 	0.089 	0.191 
012050 	0.506 	0.174 	0.089 	0.198 
012051 	0.505 	0.175 	0.090 	0.190 
012052 	0.505 	0.172 	0.089 	0.188 
