Text:  RESOURCES TO MEET OUR RIGHTS AND PROTECTING THE PLANET'S LIFE SUPPORT SYSTEMS AND IF IT'S THAT 
Conf:  1
Ref:   1BHOflzxPjI

FRAME 	X 	Y 	W 	H 
014796 	0.504 	0.230 	0.080 	0.178 
014797 	0.509 	0.233 	0.079 	0.175 
014798 	0.515 	0.234 	0.078 	0.172 
014799 	0.518 	0.236 	0.079 	0.170 
014800 	0.524 	0.227 	0.077 	0.179 
014801 	0.527 	0.222 	0.077 	0.188 
014802 	0.530 	0.226 	0.075 	0.182 
014803 	0.532 	0.224 	0.073 	0.184 
014804 	0.532 	0.225 	0.073 	0.182 
014805 	0.532 	0.226 	0.074 	0.182 
014806 	0.531 	0.227 	0.073 	0.182 
014807 	0.530 	0.226 	0.074 	0.185 
014808 	0.529 	0.224 	0.073 	0.188 
014809 	0.527 	0.222 	0.073 	0.188 
014810 	0.526 	0.222 	0.073 	0.187 
014811 	0.523 	0.223 	0.075 	0.183 
014812 	0.525 	0.221 	0.074 	0.184 
014813 	0.526 	0.222 	0.073 	0.180 
014814 	0.527 	0.221 	0.074 	0.181 
014815 	0.530 	0.220 	0.072 	0.182 
014816 	0.530 	0.221 	0.073 	0.181 
014817 	0.530 	0.214 	0.073 	0.188 
014818 	0.529 	0.213 	0.073 	0.189 
014819 	0.529 	0.211 	0.073 	0.186 
014820 	0.527 	0.203 	0.075 	0.186 
014821 	0.526 	0.204 	0.075 	0.177 
014822 	0.518 	0.203 	0.080 	0.176 
014823 	0.511 	0.193 	0.084 	0.183 
014824 	0.505 	0.186 	0.083 	0.186 
014825 	0.492 	0.180 	0.088 	0.187 
014826 	0.485 	0.179 	0.086 	0.171 
014827 	0.476 	0.176 	0.084 	0.178 
014828 	0.461 	0.167 	0.088 	0.183 
014829 	0.456 	0.163 	0.080 	0.187 
014830 	0.449 	0.161 	0.077 	0.187 
014831 	0.442 	0.161 	0.070 	0.184 
014832 	0.437 	0.159 	0.070 	0.188 
014833 	0.432 	0.163 	0.068 	0.185 
014834 	0.425 	0.160 	0.067 	0.188 
014835 	0.418 	0.157 	0.071 	0.194 
014836 	0.415 	0.157 	0.066 	0.191 
014837 	0.408 	0.156 	0.067 	0.190 
014838 	0.400 	0.158 	0.066 	0.191 
014839 	0.392 	0.159 	0.070 	0.192 
