Text:  MILLIONS OF PEOPLE LIVE BELOW THAT SOCIAL FOUNDATION ONE PERSON 
Conf:  6
Ref:   1BHOflzxPjI

FRAME 	X 	Y 	W 	H 
015351 	0.417 	0.143 	0.084 	0.185 
015352 	0.417 	0.142 	0.084 	0.183 
015353 	0.416 	0.139 	0.085 	0.180 
015354 	0.414 	0.134 	0.084 	0.183 
015355 	0.412 	0.126 	0.085 	0.186 
015356 	0.407 	0.118 	0.088 	0.189 
015357 	0.404 	0.115 	0.088 	0.189 
015358 	0.401 	0.112 	0.085 	0.193 
015359 	0.399 	0.109 	0.083 	0.194 
015360 	0.397 	0.111 	0.084 	0.194 
015361 	0.396 	0.115 	0.082 	0.190 
015362 	0.394 	0.117 	0.082 	0.188 
015363 	0.393 	0.118 	0.082 	0.193 
015364 	0.391 	0.121 	0.082 	0.190 
015365 	0.390 	0.122 	0.080 	0.191 
015366 	0.386 	0.126 	0.082 	0.189 
015367 	0.382 	0.127 	0.085 	0.188 
015368 	0.378 	0.126 	0.085 	0.190 
015369 	0.371 	0.129 	0.085 	0.187 
015370 	0.363 	0.127 	0.086 	0.199 
015371 	0.353 	0.128 	0.087 	0.193 
015372 	0.347 	0.129 	0.085 	0.189 
015373 	0.341 	0.126 	0.081 	0.195 
015374 	0.335 	0.123 	0.083 	0.197 
015375 	0.328 	0.124 	0.085 	0.192 
015376 	0.324 	0.123 	0.086 	0.193 
015377 	0.320 	0.125 	0.086 	0.191 
015378 	0.315 	0.126 	0.085 	0.192 
015379 	0.310 	0.125 	0.083 	0.195 
015380 	0.303 	0.122 	0.085 	0.193 
015381 	0.300 	0.120 	0.084 	0.194 
015382 	0.299 	0.119 	0.085 	0.196 
015383 	0.298 	0.120 	0.087 	0.193 
015384 	0.296 	0.122 	0.088 	0.192 
015385 	0.293 	0.123 	0.089 	0.195 
015386 	0.292 	0.125 	0.087 	0.197 
015387 	0.290 	0.129 	0.085 	0.196 
015388 	0.288 	0.132 	0.084 	0.191 
015389 	0.285 	0.133 	0.086 	0.188 
015390 	0.285 	0.133 	0.087 	0.191 
015391 	0.285 	0.132 	0.087 	0.196 
015392 	0.284 	0.133 	0.088 	0.192 
015393 	0.283 	0.134 	0.087 	0.189 
015394 	0.279 	0.136 	0.089 	0.188 
015395 	0.276 	0.135 	0.092 	0.191 
015396 	0.275 	0.137 	0.091 	0.190 
015397 	0.277 	0.140 	0.088 	0.189 
015398 	0.277 	0.140 	0.087 	0.189 
015399 	0.275 	0.132 	0.090 	0.191 
015400 	0.274 	0.129 	0.089 	0.192 
015401 	0.273 	0.128 	0.091 	0.190 
015402 	0.273 	0.128 	0.091 	0.190 
015403 	0.273 	0.129 	0.091 	0.190 
015404 	0.273 	0.130 	0.091 	0.189 
015405 	0.273 	0.131 	0.090 	0.189 
015406 	0.273 	0.131 	0.091 	0.189 
015407 	0.274 	0.131 	0.090 	0.192 
015408 	0.277 	0.136 	0.087 	0.192 
015409 	0.278 	0.135 	0.088 	0.190 
015410 	0.281 	0.135 	0.087 	0.186 
015411 	0.283 	0.134 	0.087 	0.188 
015412 	0.285 	0.133 	0.087 	0.189 
015413 	0.287 	0.131 	0.088 	0.192 
