Text:  INDICTMENT OF THE ECONOMIC DEVELOPMENT PATH WE'VE FOLLOWED TO DATE AND WE HAVE TO FIGURE OUT HOW FOR THE 
Conf:  1
Ref:   1BHOflzxPjI

FRAME 	X 	Y 	W 	H 
016352 	0.400 	0.179 	0.082 	0.188 
016353 	0.400 	0.178 	0.082 	0.187 
016354 	0.400 	0.179 	0.083 	0.186 
016355 	0.400 	0.179 	0.085 	0.185 
016356 	0.401 	0.175 	0.086 	0.185 
016357 	0.401 	0.173 	0.087 	0.183 
016358 	0.403 	0.173 	0.085 	0.182 
016359 	0.404 	0.169 	0.086 	0.183 
016360 	0.404 	0.166 	0.086 	0.188 
016361 	0.405 	0.166 	0.086 	0.187 
016362 	0.405 	0.167 	0.086 	0.182 
016363 	0.406 	0.166 	0.085 	0.181 
016364 	0.406 	0.165 	0.086 	0.181 
016365 	0.405 	0.165 	0.086 	0.183 
016366 	0.405 	0.163 	0.087 	0.184 
016367 	0.405 	0.165 	0.087 	0.183 
016368 	0.405 	0.165 	0.086 	0.182 
016369 	0.404 	0.164 	0.087 	0.183 
016370 	0.404 	0.162 	0.088 	0.185 
016371 	0.404 	0.161 	0.087 	0.187 
016372 	0.403 	0.160 	0.088 	0.188 
016373 	0.404 	0.160 	0.086 	0.186 
016374 	0.403 	0.161 	0.087 	0.184 
016375 	0.403 	0.160 	0.087 	0.186 
016376 	0.402 	0.160 	0.087 	0.187 
016377 	0.402 	0.160 	0.087 	0.187 
016378 	0.401 	0.160 	0.088 	0.187 
016379 	0.401 	0.159 	0.087 	0.188 
016380 	0.402 	0.159 	0.085 	0.189 
016381 	0.402 	0.160 	0.085 	0.192 
016382 	0.401 	0.159 	0.085 	0.189 
016383 	0.400 	0.159 	0.086 	0.185 
016384 	0.398 	0.161 	0.087 	0.185 
016385 	0.398 	0.163 	0.086 	0.185 
016386 	0.398 	0.165 	0.086 	0.187 
016387 	0.397 	0.167 	0.086 	0.187 
016388 	0.396 	0.166 	0.086 	0.188 
016389 	0.395 	0.165 	0.086 	0.187 
016390 	0.395 	0.164 	0.086 	0.186 
016391 	0.396 	0.165 	0.084 	0.187 
016392 	0.396 	0.167 	0.084 	0.186 
016393 	0.396 	0.168 	0.084 	0.184 
016394 	0.395 	0.167 	0.085 	0.184 
016395 	0.395 	0.166 	0.085 	0.183 
016396 	0.394 	0.163 	0.086 	0.187 
016397 	0.394 	0.165 	0.085 	0.187 
016398 	0.394 	0.166 	0.086 	0.185 
016399 	0.393 	0.168 	0.085 	0.182 
016400 	0.392 	0.167 	0.086 	0.184 
016401 	0.393 	0.166 	0.085 	0.186 
016402 	0.393 	0.161 	0.085 	0.184 
016403 	0.393 	0.162 	0.085 	0.182 
016404 	0.393 	0.163 	0.085 	0.182 
016405 	0.394 	0.163 	0.085 	0.183 
016406 	0.393 	0.162 	0.085 	0.183 
016407 	0.392 	0.162 	0.086 	0.185 
016408 	0.393 	0.161 	0.085 	0.190 
016409 	0.394 	0.161 	0.084 	0.192 
016410 	0.393 	0.166 	0.084 	0.189 
016411 	0.394 	0.168 	0.083 	0.190 
016412 	0.394 	0.171 	0.084 	0.187 
016413 	0.394 	0.177 	0.083 	0.183 
016414 	0.392 	0.176 	0.084 	0.185 
016415 	0.391 	0.177 	0.085 	0.186 
016416 	0.390 	0.178 	0.085 	0.183 
016417 	0.389 	0.175 	0.086 	0.185 
016418 	0.387 	0.174 	0.087 	0.183 
016419 	0.386 	0.173 	0.086 	0.185 
016420 	0.385 	0.174 	0.086 	0.183 
016421 	0.383 	0.170 	0.085 	0.185 
016422 	0.381 	0.167 	0.087 	0.187 
016423 	0.380 	0.165 	0.088 	0.187 
016424 	0.378 	0.165 	0.090 	0.183 
016425 	0.378 	0.163 	0.090 	0.186 
016426 	0.378 	0.161 	0.090 	0.187 
016427 	0.378 	0.161 	0.091 	0.187 
016428 	0.379 	0.161 	0.090 	0.187 
016429 	0.380 	0.161 	0.089 	0.186 
016430 	0.382 	0.162 	0.088 	0.187 
016431 	0.384 	0.164 	0.086 	0.187 
016432 	0.386 	0.162 	0.085 	0.187 
016433 	0.388 	0.164 	0.086 	0.184 
016434 	0.390 	0.163 	0.086 	0.184 
016435 	0.391 	0.160 	0.087 	0.185 
016436 	0.393 	0.165 	0.087 	0.182 
016437 	0.396 	0.166 	0.086 	0.180 
