Text:  WITHIN THOSE PLANETARY BOUNDARIES 
Conf:  5
Ref:   1BHOflzxPjI

FRAME 	X 	Y 	W 	H 
016687 	0.405 	0.146 	0.086 	0.193 
016688 	0.405 	0.145 	0.085 	0.194 
016689 	0.406 	0.145 	0.084 	0.192 
016690 	0.405 	0.144 	0.085 	0.192 
016691 	0.405 	0.145 	0.086 	0.188 
016692 	0.405 	0.144 	0.086 	0.189 
016693 	0.405 	0.145 	0.086 	0.188 
016694 	0.406 	0.144 	0.086 	0.190 
016695 	0.405 	0.143 	0.086 	0.188 
016696 	0.406 	0.142 	0.086 	0.187 
016697 	0.406 	0.140 	0.087 	0.189 
016698 	0.407 	0.141 	0.085 	0.188 
016699 	0.408 	0.138 	0.084 	0.189 
016700 	0.408 	0.137 	0.083 	0.187 
016701 	0.408 	0.134 	0.084 	0.189 
016702 	0.409 	0.135 	0.085 	0.179 
016703 	0.409 	0.135 	0.086 	0.177 
016704 	0.409 	0.133 	0.086 	0.180 
016705 	0.408 	0.134 	0.087 	0.186 
016706 	0.408 	0.135 	0.088 	0.191 
016707 	0.407 	0.136 	0.089 	0.194 
016708 	0.408 	0.139 	0.088 	0.190 
016709 	0.408 	0.142 	0.088 	0.187 
016710 	0.409 	0.145 	0.086 	0.185 
016711 	0.408 	0.145 	0.088 	0.189 
016712 	0.409 	0.148 	0.087 	0.184 
016713 	0.411 	0.151 	0.087 	0.188 
016714 	0.411 	0.153 	0.087 	0.188 
016715 	0.412 	0.151 	0.087 	0.189 
016716 	0.411 	0.151 	0.087 	0.191 
016717 	0.413 	0.151 	0.086 	0.198 
016718 	0.413 	0.153 	0.085 	0.196 
016719 	0.415 	0.156 	0.084 	0.189 
016720 	0.415 	0.158 	0.084 	0.186 
016721 	0.416 	0.156 	0.083 	0.186 
016722 	0.416 	0.157 	0.084 	0.184 
016723 	0.416 	0.156 	0.084 	0.185 
016724 	0.416 	0.156 	0.084 	0.185 
016725 	0.415 	0.157 	0.085 	0.185 
016726 	0.415 	0.157 	0.086 	0.184 
016727 	0.415 	0.156 	0.086 	0.185 
016728 	0.414 	0.156 	0.086 	0.185 
016729 	0.413 	0.155 	0.088 	0.185 
016730 	0.412 	0.155 	0.088 	0.185 
016731 	0.411 	0.156 	0.088 	0.184 
016732 	0.411 	0.157 	0.088 	0.183 
016733 	0.410 	0.157 	0.088 	0.183 

WORD START END ASDSCORE
WITHIN 0.08 0.42 7.5
THOSE 0.42 0.65 5.6
PLANETARY 0.65 1.13 9.8
BOUNDARIES 1.13 1.77 9.9
