Text:  MODEL HELPING TO BRING HUMANITY INTO THAT SAFE AND JUST SPACE BETWEEN PLANETARY AND SOCIAL BOUNDARIES OR AT THE VERY LEAST NOT PROFITING BY PUSHING 
Conf:  4
Ref:   1BHOflzxPjI

FRAME 	X 	Y 	W 	H 
017917 	0.476 	0.177 	0.087 	0.182 
017918 	0.477 	0.178 	0.088 	0.181 
017919 	0.479 	0.180 	0.087 	0.176 
017920 	0.481 	0.181 	0.085 	0.179 
017921 	0.483 	0.179 	0.085 	0.185 
017922 	0.484 	0.179 	0.083 	0.190 
017923 	0.484 	0.178 	0.085 	0.188 
017924 	0.484 	0.178 	0.087 	0.186 
017925 	0.485 	0.178 	0.087 	0.185 
017926 	0.485 	0.178 	0.088 	0.184 
017927 	0.485 	0.177 	0.088 	0.184 
017928 	0.485 	0.177 	0.088 	0.182 
017929 	0.484 	0.176 	0.088 	0.182 
017930 	0.483 	0.174 	0.087 	0.187 
017931 	0.481 	0.174 	0.086 	0.190 
017932 	0.478 	0.176 	0.088 	0.190 
017933 	0.475 	0.174 	0.087 	0.197 
017934 	0.471 	0.173 	0.086 	0.197 
017935 	0.467 	0.172 	0.085 	0.199 
017936 	0.462 	0.170 	0.087 	0.199 
017937 	0.459 	0.169 	0.087 	0.195 
017938 	0.456 	0.169 	0.082 	0.182 
017939 	0.450 	0.171 	0.083 	0.181 
017940 	0.445 	0.170 	0.083 	0.180 
017941 	0.439 	0.173 	0.083 	0.183 
017942 	0.435 	0.175 	0.080 	0.181 
017943 	0.430 	0.177 	0.080 	0.179 
017944 	0.427 	0.179 	0.078 	0.172 
017945 	0.421 	0.176 	0.079 	0.175 
017946 	0.415 	0.173 	0.081 	0.183 
017947 	0.410 	0.172 	0.083 	0.183 
017948 	0.405 	0.173 	0.086 	0.184 
017949 	0.402 	0.175 	0.086 	0.183 
017950 	0.397 	0.174 	0.086 	0.187 
017951 	0.391 	0.176 	0.086 	0.187 
017952 	0.384 	0.181 	0.086 	0.183 
017953 	0.379 	0.179 	0.087 	0.186 
017954 	0.374 	0.179 	0.086 	0.187 
017955 	0.370 	0.182 	0.083 	0.186 
017956 	0.365 	0.188 	0.083 	0.181 
017957 	0.361 	0.195 	0.083 	0.176 
017958 	0.354 	0.195 	0.088 	0.176 
017959 	0.350 	0.193 	0.088 	0.175 
017960 	0.344 	0.193 	0.087 	0.181 
017961 	0.340 	0.195 	0.086 	0.181 
017962 	0.335 	0.197 	0.086 	0.177 
017963 	0.331 	0.198 	0.087 	0.179 
017964 	0.328 	0.199 	0.090 	0.177 
017965 	0.325 	0.197 	0.090 	0.179 
017966 	0.324 	0.198 	0.088 	0.177 
017967 	0.323 	0.196 	0.087 	0.179 
017968 	0.323 	0.196 	0.087 	0.177 
017969 	0.322 	0.195 	0.087 	0.178 
017970 	0.322 	0.196 	0.087 	0.177 
017971 	0.321 	0.197 	0.087 	0.176 
017972 	0.321 	0.198 	0.087 	0.176 
017973 	0.322 	0.199 	0.086 	0.175 
017974 	0.322 	0.199 	0.085 	0.180 
017975 	0.322 	0.199 	0.086 	0.178 
017976 	0.321 	0.200 	0.087 	0.176 
017977 	0.321 	0.203 	0.086 	0.175 
017978 	0.320 	0.202 	0.087 	0.175 
