Text:  THAT DOESN'T PROFIT BY UNDERMINING AND DESTABILIZING HUMAN WELL BEING BUT ACTUALLY 
Conf:  1
Ref:   1BHOflzxPjI

FRAME 	X 	Y 	W 	H 
018695 	0.475 	0.175 	0.085 	0.187 
018696 	0.475 	0.174 	0.085 	0.189 
018697 	0.475 	0.174 	0.085 	0.187 
018698 	0.475 	0.173 	0.085 	0.188 
018699 	0.474 	0.172 	0.085 	0.187 
018700 	0.472 	0.174 	0.086 	0.183 
018701 	0.468 	0.177 	0.085 	0.179 
018702 	0.464 	0.176 	0.086 	0.178 
018703 	0.461 	0.174 	0.086 	0.184 
018704 	0.458 	0.174 	0.086 	0.183 
018705 	0.458 	0.171 	0.084 	0.185 
018706 	0.458 	0.169 	0.084 	0.182 
018707 	0.460 	0.167 	0.085 	0.184 
018708 	0.462 	0.167 	0.085 	0.182 
018709 	0.464 	0.167 	0.085 	0.183 
018710 	0.466 	0.171 	0.084 	0.184 
018711 	0.465 	0.171 	0.084 	0.186 
018712 	0.464 	0.173 	0.084 	0.189 
018713 	0.463 	0.173 	0.085 	0.191 
018714 	0.463 	0.174 	0.085 	0.188 
018715 	0.464 	0.173 	0.084 	0.185 
018716 	0.466 	0.175 	0.084 	0.183 
018717 	0.468 	0.176 	0.084 	0.183 
018718 	0.471 	0.176 	0.082 	0.182 
018719 	0.472 	0.176 	0.084 	0.183 
018720 	0.474 	0.177 	0.085 	0.181 
018721 	0.476 	0.173 	0.086 	0.184 
018722 	0.478 	0.177 	0.085 	0.178 
018723 	0.479 	0.176 	0.086 	0.178 
018724 	0.480 	0.176 	0.086 	0.179 
018725 	0.480 	0.176 	0.085 	0.179 
018726 	0.480 	0.176 	0.085 	0.177 
018727 	0.480 	0.176 	0.084 	0.176 
018728 	0.480 	0.177 	0.084 	0.176 
018729 	0.480 	0.175 	0.084 	0.178 
018730 	0.479 	0.173 	0.084 	0.179 
018731 	0.479 	0.171 	0.084 	0.189 
018732 	0.481 	0.170 	0.084 	0.193 
018733 	0.481 	0.170 	0.083 	0.192 
018734 	0.479 	0.170 	0.084 	0.186 
018735 	0.476 	0.171 	0.084 	0.181 
018736 	0.473 	0.174 	0.084 	0.177 
018737 	0.471 	0.174 	0.084 	0.181 
018738 	0.470 	0.175 	0.084 	0.181 
018739 	0.472 	0.173 	0.084 	0.176 
018740 	0.474 	0.168 	0.085 	0.177 
018741 	0.475 	0.164 	0.085 	0.183 
018742 	0.474 	0.160 	0.085 	0.192 
018743 	0.472 	0.161 	0.083 	0.193 
018744 	0.466 	0.164 	0.086 	0.191 
018745 	0.461 	0.161 	0.086 	0.191 
018746 	0.460 	0.162 	0.087 	0.191 
018747 	0.461 	0.165 	0.089 	0.186 
018748 	0.464 	0.169 	0.087 	0.184 
018749 	0.467 	0.167 	0.087 	0.184 
018750 	0.466 	0.166 	0.087 	0.184 
018751 	0.463 	0.161 	0.087 	0.184 
018752 	0.460 	0.159 	0.087 	0.189 
018753 	0.457 	0.160 	0.085 	0.190 
018754 	0.455 	0.160 	0.085 	0.188 
