Text:  THERE'S A LOT OF COMMON INTEREST THAT WE NEED TO WORK ON BETWEEN NOW AND 2050 WE'VE GOT A GROWING GLOBAL POPULATION 
Conf:  2
Ref:   1BHOflzxPjI

FRAME 	X 	Y 	W 	H 
018953 	0.439 	0.182 	0.083 	0.185 
018954 	0.434 	0.177 	0.089 	0.187 
018955 	0.431 	0.177 	0.087 	0.189 
018956 	0.430 	0.180 	0.084 	0.190 
018957 	0.429 	0.182 	0.080 	0.190 
018958 	0.429 	0.182 	0.079 	0.193 
018959 	0.430 	0.185 	0.078 	0.190 
018960 	0.431 	0.183 	0.083 	0.189 
018961 	0.433 	0.182 	0.086 	0.186 
018962 	0.438 	0.183 	0.084 	0.182 
018963 	0.442 	0.180 	0.084 	0.180 
018964 	0.443 	0.177 	0.084 	0.182 
018965 	0.443 	0.175 	0.085 	0.184 
018966 	0.442 	0.176 	0.084 	0.184 
018967 	0.442 	0.176 	0.083 	0.185 
018968 	0.441 	0.174 	0.082 	0.191 
018969 	0.441 	0.173 	0.083 	0.191 
018970 	0.442 	0.174 	0.085 	0.188 
018971 	0.443 	0.174 	0.084 	0.189 
018972 	0.444 	0.174 	0.084 	0.186 
018973 	0.446 	0.174 	0.083 	0.183 
018974 	0.447 	0.172 	0.084 	0.185 
018975 	0.448 	0.170 	0.085 	0.185 
018976 	0.449 	0.172 	0.085 	0.185 
018977 	0.449 	0.170 	0.085 	0.187 
018978 	0.449 	0.170 	0.085 	0.188 
018979 	0.449 	0.170 	0.085 	0.185 
018980 	0.450 	0.171 	0.084 	0.186 
018981 	0.451 	0.169 	0.083 	0.186 
018982 	0.452 	0.171 	0.082 	0.189 
018983 	0.452 	0.177 	0.081 	0.181 
018984 	0.451 	0.174 	0.083 	0.184 
018985 	0.449 	0.177 	0.083 	0.181 
018986 	0.447 	0.175 	0.082 	0.186 
018987 	0.447 	0.173 	0.084 	0.186 
018988 	0.449 	0.171 	0.084 	0.185 
018989 	0.450 	0.170 	0.083 	0.184 
018990 	0.449 	0.171 	0.083 	0.186 
018991 	0.449 	0.173 	0.081 	0.182 
018992 	0.449 	0.176 	0.081 	0.182 
018993 	0.450 	0.177 	0.080 	0.184 
018994 	0.453 	0.178 	0.079 	0.184 
018995 	0.452 	0.177 	0.079 	0.189 
018996 	0.451 	0.179 	0.079 	0.192 
018997 	0.450 	0.179 	0.079 	0.192 
018998 	0.449 	0.178 	0.079 	0.192 
018999 	0.448 	0.176 	0.081 	0.191 
019000 	0.447 	0.173 	0.082 	0.189 
019001 	0.447 	0.170 	0.082 	0.190 
019002 	0.447 	0.170 	0.082 	0.190 
019003 	0.447 	0.169 	0.082 	0.190 
019004 	0.447 	0.170 	0.082 	0.188 
019005 	0.446 	0.170 	0.083 	0.187 
019006 	0.446 	0.170 	0.083 	0.186 
019007 	0.445 	0.168 	0.083 	0.189 
019008 	0.445 	0.170 	0.083 	0.186 
019009 	0.444 	0.175 	0.083 	0.180 
019010 	0.444 	0.179 	0.081 	0.178 
019011 	0.442 	0.179 	0.083 	0.182 
019012 	0.443 	0.179 	0.083 	0.188 
019013 	0.443 	0.180 	0.083 	0.186 
019014 	0.445 	0.178 	0.083 	0.183 
019015 	0.448 	0.178 	0.083 	0.182 
019016 	0.450 	0.174 	0.085 	0.191 
019017 	0.453 	0.170 	0.082 	0.195 
019018 	0.455 	0.170 	0.082 	0.196 
019019 	0.456 	0.171 	0.082 	0.188 
019020 	0.455 	0.171 	0.081 	0.184 
019021 	0.452 	0.174 	0.082 	0.183 
019022 	0.451 	0.176 	0.083 	0.183 
019023 	0.449 	0.180 	0.082 	0.183 
019024 	0.446 	0.186 	0.083 	0.180 
019025 	0.444 	0.187 	0.082 	0.178 
019026 	0.442 	0.186 	0.083 	0.181 
019027 	0.439 	0.186 	0.084 	0.183 
019028 	0.436 	0.183 	0.086 	0.182 
019029 	0.434 	0.180 	0.087 	0.183 
019030 	0.433 	0.180 	0.086 	0.179 
019031 	0.432 	0.178 	0.087 	0.182 
019032 	0.433 	0.177 	0.086 	0.183 
019033 	0.432 	0.177 	0.087 	0.182 
019034 	0.433 	0.175 	0.087 	0.182 
019035 	0.433 	0.174 	0.088 	0.182 
019036 	0.435 	0.175 	0.087 	0.182 
019037 	0.439 	0.179 	0.085 	0.177 
019038 	0.442 	0.176 	0.084 	0.179 
019039 	0.444 	0.178 	0.083 	0.179 
019040 	0.446 	0.176 	0.083 	0.181 
019041 	0.447 	0.177 	0.083 	0.180 
019042 	0.448 	0.174 	0.084 	0.183 
019043 	0.449 	0.175 	0.084 	0.183 
019044 	0.451 	0.174 	0.082 	0.184 
019045 	0.452 	0.172 	0.081 	0.186 
019046 	0.452 	0.171 	0.081 	0.187 
019047 	0.451 	0.169 	0.081 	0.186 
019048 	0.448 	0.170 	0.082 	0.182 
019049 	0.443 	0.164 	0.083 	0.187 
019050 	0.438 	0.159 	0.085 	0.186 
019051 	0.434 	0.156 	0.085 	0.193 
019052 	0.431 	0.156 	0.083 	0.194 
019053 	0.430 	0.158 	0.081 	0.196 
019054 	0.428 	0.164 	0.079 	0.192 
019055 	0.425 	0.167 	0.079 	0.188 
019056 	0.422 	0.168 	0.079 	0.190 
019057 	0.420 	0.167 	0.078 	0.192 
019058 	0.414 	0.167 	0.081 	0.192 
019059 	0.412 	0.165 	0.080 	0.192 
019060 	0.407 	0.160 	0.083 	0.196 
019061 	0.403 	0.156 	0.083 	0.197 
019062 	0.398 	0.155 	0.082 	0.192 
019063 	0.394 	0.151 	0.081 	0.198 
019064 	0.387 	0.150 	0.084 	0.195 
019065 	0.379 	0.150 	0.086 	0.192 
019066 	0.374 	0.150 	0.085 	0.188 
019067 	0.368 	0.151 	0.080 	0.198 
019068 	0.359 	0.152 	0.084 	0.200 
019069 	0.351 	0.152 	0.086 	0.192 
019070 	0.344 	0.156 	0.083 	0.188 
019071 	0.336 	0.157 	0.084 	0.191 
019072 	0.328 	0.155 	0.088 	0.187 
019073 	0.323 	0.151 	0.086 	0.190 
019074 	0.318 	0.154 	0.082 	0.194 
019075 	0.313 	0.155 	0.083 	0.191 
019076 	0.307 	0.156 	0.084 	0.193 
019077 	0.301 	0.154 	0.087 	0.193 
019078 	0.298 	0.155 	0.087 	0.194 
019079 	0.295 	0.154 	0.087 	0.196 
019080 	0.293 	0.156 	0.085 	0.195 
019081 	0.290 	0.158 	0.085 	0.192 
019082 	0.289 	0.161 	0.084 	0.187 
019083 	0.288 	0.161 	0.085 	0.187 
019084 	0.286 	0.162 	0.085 	0.187 
019085 	0.286 	0.163 	0.085 	0.187 
019086 	0.286 	0.163 	0.085 	0.186 
019087 	0.285 	0.163 	0.086 	0.184 
019088 	0.285 	0.164 	0.086 	0.182 
019089 	0.285 	0.164 	0.086 	0.182 
019090 	0.284 	0.163 	0.086 	0.183 
019091 	0.284 	0.162 	0.087 	0.182 

WORD START END ASDSCORE
THERE'S 0.10 0.24 2.4
A 0.24 0.28 6.9
LOT 0.28 0.43 6.9
OF 0.43 0.52 6.9
COMMON 0.52 0.77 7.2
INTEREST 0.77 1.14 10.4
THAT 1.14 1.24 12.1
WE 1.24 1.36 12.0
NEED 1.36 1.53 10.4
TO 1.53 1.63 9.7
WORK 1.63 1.96 7.8
ON 1.96 2.15 6.5
BETWEEN 2.15 2.44 8.3
NOW 2.44 2.71 12.2
AND 2.71 2.81 13.7
2050 2.81 3.54 8.8
WE'VE 3.77 3.87 9.9
GOT 3.87 4.02 5.3
A 4.02 4.05 2.7
GROWING 4.05 4.48 5.5
GLOBAL 4.48 4.77 8.5
POPULATION 4.77 5.46 9.4
