Text:  HAVING THIS DIAGRAM PUT IN THE BACK OF THEIR HEADS SO 
Conf:  1
Ref:   1BHOflzxPjI

FRAME 	X 	Y 	W 	H 
019678 	0.391 	0.173 	0.083 	0.184 
019679 	0.388 	0.167 	0.083 	0.192 
019680 	0.387 	0.167 	0.084 	0.194 
019681 	0.392 	0.171 	0.082 	0.193 
019682 	0.397 	0.172 	0.082 	0.191 
019683 	0.399 	0.173 	0.086 	0.189 
019684 	0.402 	0.173 	0.086 	0.184 
019685 	0.403 	0.176 	0.086 	0.180 
019686 	0.403 	0.176 	0.087 	0.180 
019687 	0.402 	0.174 	0.088 	0.185 
019688 	0.400 	0.176 	0.088 	0.184 
019689 	0.399 	0.173 	0.087 	0.185 
019690 	0.398 	0.174 	0.085 	0.184 
019691 	0.400 	0.171 	0.084 	0.187 
019692 	0.401 	0.170 	0.085 	0.187 
019693 	0.403 	0.171 	0.086 	0.186 
019694 	0.403 	0.171 	0.086 	0.188 
019695 	0.404 	0.170 	0.086 	0.190 
019696 	0.402 	0.172 	0.086 	0.187 
019697 	0.402 	0.173 	0.084 	0.183 
019698 	0.401 	0.170 	0.085 	0.189 
019699 	0.400 	0.172 	0.084 	0.186 
019700 	0.399 	0.172 	0.083 	0.192 
019701 	0.399 	0.170 	0.082 	0.197 
019702 	0.397 	0.172 	0.082 	0.188 
019703 	0.395 	0.173 	0.081 	0.184 
019704 	0.391 	0.173 	0.082 	0.188 
019705 	0.384 	0.170 	0.085 	0.184 
019706 	0.380 	0.169 	0.085 	0.187 
019707 	0.379 	0.170 	0.081 	0.184 
019708 	0.377 	0.171 	0.080 	0.187 
019709 	0.378 	0.172 	0.080 	0.185 
019710 	0.377 	0.174 	0.079 	0.184 
019711 	0.377 	0.176 	0.080 	0.190 
019712 	0.377 	0.176 	0.080 	0.190 
019713 	0.379 	0.175 	0.080 	0.195 
019714 	0.380 	0.180 	0.083 	0.189 
019715 	0.381 	0.181 	0.083 	0.190 
019716 	0.378 	0.179 	0.086 	0.190 
019717 	0.377 	0.175 	0.085 	0.193 
019718 	0.375 	0.175 	0.084 	0.193 
019719 	0.374 	0.174 	0.084 	0.193 
019720 	0.373 	0.175 	0.084 	0.190 
019721 	0.372 	0.174 	0.083 	0.188 
019722 	0.371 	0.172 	0.084 	0.185 
019723 	0.370 	0.171 	0.084 	0.183 
019724 	0.371 	0.170 	0.083 	0.187 
019725 	0.370 	0.168 	0.084 	0.191 
019726 	0.369 	0.168 	0.084 	0.191 
019727 	0.370 	0.166 	0.084 	0.192 
019728 	0.369 	0.165 	0.085 	0.192 
019729 	0.369 	0.164 	0.084 	0.191 
019730 	0.369 	0.163 	0.085 	0.192 
019731 	0.369 	0.160 	0.085 	0.192 
019732 	0.369 	0.160 	0.085 	0.193 
019733 	0.370 	0.159 	0.086 	0.193 
019734 	0.371 	0.160 	0.087 	0.191 
019735 	0.372 	0.158 	0.087 	0.189 
019736 	0.373 	0.157 	0.088 	0.190 
019737 	0.376 	0.159 	0.087 	0.189 
019738 	0.376 	0.159 	0.089 	0.189 
019739 	0.378 	0.158 	0.090 	0.190 
019740 	0.381 	0.160 	0.090 	0.186 
019741 	0.383 	0.164 	0.089 	0.184 
019742 	0.388 	0.163 	0.086 	0.184 
019743 	0.391 	0.166 	0.087 	0.183 
019744 	0.393 	0.168 	0.087 	0.183 
019745 	0.397 	0.171 	0.086 	0.180 
019746 	0.399 	0.173 	0.086 	0.180 
019747 	0.401 	0.174 	0.087 	0.179 
019748 	0.403 	0.173 	0.087 	0.182 
019749 	0.404 	0.173 	0.087 	0.182 
019750 	0.406 	0.175 	0.087 	0.180 
019751 	0.407 	0.176 	0.088 	0.177 
019752 	0.408 	0.175 	0.088 	0.178 
019753 	0.409 	0.177 	0.088 	0.178 
019754 	0.408 	0.175 	0.089 	0.182 
019755 	0.409 	0.177 	0.087 	0.180 
019756 	0.410 	0.176 	0.085 	0.182 
019757 	0.410 	0.177 	0.086 	0.182 
019758 	0.410 	0.177 	0.086 	0.181 
019759 	0.411 	0.179 	0.085 	0.183 
019760 	0.410 	0.177 	0.085 	0.182 
019761 	0.410 	0.177 	0.086 	0.183 
019762 	0.410 	0.177 	0.086 	0.184 
019763 	0.410 	0.177 	0.086 	0.185 
019764 	0.410 	0.177 	0.086 	0.184 
019765 	0.410 	0.177 	0.086 	0.185 
019766 	0.410 	0.177 	0.086 	0.186 
019767 	0.410 	0.178 	0.086 	0.184 
019768 	0.410 	0.178 	0.085 	0.185 
019769 	0.410 	0.178 	0.085 	0.185 
019770 	0.410 	0.178 	0.086 	0.185 
019771 	0.410 	0.178 	0.086 	0.184 
019772 	0.410 	0.178 	0.085 	0.185 
019773 	0.410 	0.178 	0.085 	0.185 
019774 	0.410 	0.178 	0.085 	0.185 
019775 	0.410 	0.179 	0.086 	0.184 
019776 	0.410 	0.178 	0.086 	0.185 
019777 	0.409 	0.178 	0.086 	0.185 
019778 	0.409 	0.177 	0.085 	0.186 
019779 	0.409 	0.178 	0.086 	0.186 
019780 	0.409 	0.179 	0.086 	0.185 
019781 	0.408 	0.178 	0.086 	0.186 
019782 	0.408 	0.177 	0.086 	0.186 
019783 	0.407 	0.177 	0.088 	0.186 
019784 	0.407 	0.177 	0.088 	0.185 
019785 	0.406 	0.177 	0.088 	0.186 
019786 	0.405 	0.176 	0.087 	0.189 
019787 	0.405 	0.175 	0.087 	0.188 
019788 	0.403 	0.173 	0.087 	0.189 
019789 	0.400 	0.172 	0.087 	0.188 
019790 	0.399 	0.172 	0.085 	0.185 
019791 	0.399 	0.174 	0.083 	0.184 
019792 	0.397 	0.173 	0.083 	0.185 

WORD START END ASDSCORE
HAVING 0.10 0.37 6.8
THIS 0.37 0.56 10.2
DIAGRAM 0.56 1.13 10.9
PUT 1.42 1.60 8.8
IN 1.60 1.67 8.8
THE 1.67 1.73 9.0
BACK 1.73 1.94 9.6
OF 1.94 2.00 9.5
THEIR 2.00 2.10 10.2
HEADS 2.10 2.50 10.0
SO 4.36 4.49 0.3
