Text:  YOU DRAW IN THE COLLABORATIVE COMMONS AND YOU 
Conf:  5
Ref:   1BHOflzxPjI

FRAME 	X 	Y 	W 	H 
020838 	0.474 	0.203 	0.084 	0.184 
020839 	0.473 	0.203 	0.083 	0.182 
020840 	0.472 	0.201 	0.083 	0.180 
020841 	0.468 	0.196 	0.085 	0.185 
020842 	0.467 	0.191 	0.085 	0.186 
020843 	0.468 	0.183 	0.084 	0.189 
020844 	0.469 	0.179 	0.084 	0.187 
020845 	0.472 	0.177 	0.083 	0.188 
020846 	0.473 	0.177 	0.084 	0.185 
020847 	0.475 	0.176 	0.083 	0.185 
020848 	0.476 	0.176 	0.082 	0.185 
020849 	0.478 	0.173 	0.082 	0.194 
020850 	0.479 	0.176 	0.083 	0.191 
020851 	0.481 	0.175 	0.085 	0.195 
020852 	0.481 	0.175 	0.088 	0.199 
020853 	0.483 	0.179 	0.089 	0.196 
020854 	0.485 	0.179 	0.089 	0.191 
020855 	0.488 	0.179 	0.089 	0.186 
020856 	0.491 	0.181 	0.088 	0.186 
020857 	0.495 	0.179 	0.088 	0.187 
020858 	0.498 	0.179 	0.089 	0.187 
020859 	0.501 	0.178 	0.089 	0.190 
020860 	0.502 	0.177 	0.091 	0.190 
020861 	0.504 	0.178 	0.092 	0.188 
020862 	0.506 	0.177 	0.092 	0.187 
020863 	0.509 	0.179 	0.091 	0.183 
020864 	0.511 	0.179 	0.090 	0.184 
020865 	0.514 	0.178 	0.089 	0.184 
020866 	0.517 	0.179 	0.087 	0.185 
020867 	0.519 	0.178 	0.086 	0.185 
020868 	0.521 	0.176 	0.085 	0.187 
020869 	0.522 	0.176 	0.086 	0.188 
020870 	0.523 	0.177 	0.087 	0.190 
020871 	0.525 	0.176 	0.084 	0.199 
020872 	0.527 	0.181 	0.082 	0.198 
020873 	0.527 	0.183 	0.083 	0.191 
020874 	0.528 	0.183 	0.084 	0.189 
020875 	0.528 	0.182 	0.086 	0.188 
020876 	0.530 	0.181 	0.086 	0.190 
020877 	0.531 	0.179 	0.088 	0.192 
020878 	0.531 	0.179 	0.089 	0.190 
020879 	0.533 	0.180 	0.087 	0.191 
020880 	0.535 	0.181 	0.086 	0.193 
020881 	0.536 	0.183 	0.085 	0.195 
020882 	0.537 	0.184 	0.085 	0.195 
020883 	0.537 	0.185 	0.085 	0.189 
020884 	0.537 	0.185 	0.086 	0.187 
020885 	0.536 	0.187 	0.088 	0.184 
020886 	0.536 	0.186 	0.089 	0.185 
020887 	0.536 	0.186 	0.088 	0.183 
020888 	0.535 	0.186 	0.089 	0.183 
020889 	0.535 	0.187 	0.089 	0.182 
020890 	0.535 	0.187 	0.089 	0.182 
020891 	0.535 	0.187 	0.089 	0.182 
020892 	0.534 	0.187 	0.089 	0.181 
020893 	0.534 	0.186 	0.089 	0.183 
020894 	0.534 	0.187 	0.088 	0.183 
020895 	0.535 	0.188 	0.087 	0.183 
020896 	0.534 	0.188 	0.087 	0.184 
020897 	0.534 	0.189 	0.087 	0.183 
020898 	0.534 	0.188 	0.087 	0.185 
020899 	0.534 	0.187 	0.086 	0.186 
020900 	0.534 	0.187 	0.086 	0.186 
020901 	0.533 	0.189 	0.086 	0.185 
020902 	0.533 	0.189 	0.086 	0.185 
020903 	0.534 	0.190 	0.085 	0.185 
020904 	0.534 	0.191 	0.085 	0.184 
020905 	0.533 	0.190 	0.085 	0.185 
020906 	0.534 	0.190 	0.085 	0.185 
020907 	0.533 	0.189 	0.086 	0.188 
020908 	0.533 	0.188 	0.086 	0.191 
020909 	0.533 	0.188 	0.086 	0.194 
020910 	0.532 	0.188 	0.085 	0.197 
020911 	0.531 	0.191 	0.085 	0.187 
020912 	0.529 	0.200 	0.083 	0.176 
020913 	0.526 	0.203 	0.083 	0.177 
020914 	0.524 	0.202 	0.083 	0.182 
020915 	0.523 	0.206 	0.083 	0.180 
020916 	0.524 	0.216 	0.081 	0.176 
020917 	0.525 	0.229 	0.079 	0.168 

WORD START END ASDSCORE
YOU 0.09 0.20 3.4
DRAW 0.20 0.58 6.5
IN 0.58 0.99 7.9
THE 1.05 1.15 4.6
COLLABORATIVE 1.15 1.66 6.9
COMMONS 1.66 2.24 7.0
AND 2.87 3.02 3.8
YOU 3.02 3.10 4.8
