Text:  FURTHER STICK A DOUGHNUT PICTURE IN THEIR TEXTBOOK 
Conf:  4
Ref:   1BHOflzxPjI

FRAME 	X 	Y 	W 	H 
021243 	0.452 	0.158 	0.085 	0.190 
021244 	0.447 	0.164 	0.084 	0.187 
021245 	0.442 	0.168 	0.084 	0.186 
021246 	0.434 	0.168 	0.088 	0.184 
021247 	0.429 	0.171 	0.088 	0.189 
021248 	0.426 	0.174 	0.086 	0.192 
021249 	0.422 	0.179 	0.082 	0.188 
021250 	0.416 	0.182 	0.083 	0.187 
021251 	0.411 	0.185 	0.085 	0.185 
021252 	0.405 	0.186 	0.086 	0.185 
021253 	0.401 	0.184 	0.086 	0.189 
021254 	0.399 	0.189 	0.084 	0.186 
021255 	0.394 	0.190 	0.084 	0.183 
021256 	0.390 	0.190 	0.085 	0.182 
021257 	0.386 	0.190 	0.087 	0.180 
021258 	0.383 	0.192 	0.087 	0.178 
021259 	0.381 	0.193 	0.088 	0.175 
021260 	0.380 	0.193 	0.088 	0.174 
021261 	0.377 	0.191 	0.088 	0.176 
021262 	0.376 	0.189 	0.088 	0.180 
021263 	0.374 	0.188 	0.088 	0.181 
021264 	0.373 	0.186 	0.087 	0.186 
021265 	0.371 	0.186 	0.087 	0.184 
021266 	0.372 	0.184 	0.086 	0.185 
021267 	0.371 	0.181 	0.085 	0.187 
021268 	0.369 	0.181 	0.086 	0.186 
021269 	0.368 	0.178 	0.087 	0.186 
021270 	0.368 	0.175 	0.087 	0.186 
021271 	0.368 	0.174 	0.087 	0.185 
021272 	0.369 	0.172 	0.086 	0.186 
021273 	0.370 	0.166 	0.085 	0.188 
021274 	0.371 	0.162 	0.086 	0.188 
021275 	0.372 	0.157 	0.087 	0.192 
021276 	0.374 	0.154 	0.088 	0.192 
021277 	0.377 	0.155 	0.088 	0.189 
021278 	0.381 	0.159 	0.087 	0.186 
021279 	0.386 	0.166 	0.085 	0.185 
021280 	0.390 	0.170 	0.086 	0.183 
021281 	0.394 	0.172 	0.087 	0.182 
021282 	0.398 	0.178 	0.089 	0.183 
021283 	0.401 	0.188 	0.090 	0.184 
021284 	0.404 	0.198 	0.089 	0.187 
021285 	0.410 	0.211 	0.085 	0.186 
021286 	0.415 	0.225 	0.085 	0.185 
021287 	0.419 	0.232 	0.085 	0.183 
021288 	0.421 	0.239 	0.086 	0.187 
021289 	0.425 	0.248 	0.087 	0.186 
021290 	0.427 	0.253 	0.086 	0.190 
021291 	0.430 	0.255 	0.087 	0.186 
021292 	0.432 	0.255 	0.088 	0.182 
021293 	0.434 	0.255 	0.087 	0.182 
021294 	0.437 	0.251 	0.086 	0.186 
021295 	0.438 	0.247 	0.085 	0.184 
021296 	0.441 	0.235 	0.085 	0.185 
021297 	0.444 	0.229 	0.084 	0.183 
021298 	0.445 	0.219 	0.084 	0.190 
021299 	0.446 	0.209 	0.085 	0.191 
021300 	0.447 	0.201 	0.085 	0.188 
021301 	0.449 	0.194 	0.084 	0.188 
021302 	0.450 	0.184 	0.086 	0.188 
021303 	0.452 	0.179 	0.085 	0.187 
021304 	0.454 	0.171 	0.085 	0.188 
021305 	0.456 	0.168 	0.085 	0.186 
021306 	0.458 	0.163 	0.086 	0.185 
021307 	0.458 	0.159 	0.086 	0.184 
021308 	0.460 	0.158 	0.086 	0.182 
021309 	0.462 	0.158 	0.088 	0.178 
021310 	0.463 	0.157 	0.088 	0.178 
021311 	0.464 	0.157 	0.086 	0.181 
021312 	0.465 	0.156 	0.086 	0.181 
021313 	0.466 	0.158 	0.086 	0.181 
021314 	0.466 	0.159 	0.085 	0.182 
021315 	0.465 	0.161 	0.085 	0.182 
021316 	0.464 	0.161 	0.087 	0.182 
021317 	0.463 	0.159 	0.086 	0.183 
021318 	0.463 	0.158 	0.086 	0.184 
021319 	0.463 	0.156 	0.087 	0.188 
021320 	0.464 	0.157 	0.087 	0.189 
021321 	0.465 	0.158 	0.085 	0.187 
021322 	0.466 	0.158 	0.084 	0.189 
021323 	0.467 	0.159 	0.085 	0.183 
021324 	0.467 	0.159 	0.086 	0.184 
021325 	0.469 	0.161 	0.085 	0.183 
021326 	0.471 	0.160 	0.084 	0.183 
021327 	0.472 	0.162 	0.083 	0.181 
021328 	0.472 	0.162 	0.083 	0.180 
021329 	0.472 	0.160 	0.085 	0.180 
021330 	0.473 	0.160 	0.083 	0.178 
021331 	0.474 	0.160 	0.084 	0.181 
021332 	0.476 	0.161 	0.082 	0.184 
021333 	0.476 	0.159 	0.083 	0.184 
021334 	0.476 	0.160 	0.084 	0.183 
021335 	0.477 	0.157 	0.083 	0.187 
021336 	0.476 	0.157 	0.085 	0.186 
021337 	0.477 	0.156 	0.084 	0.185 

WORD START END ASDSCORE
FURTHER 0.08 0.47 9.5
STICK 1.49 1.73 2.6
A 1.73 1.76 4.6
DOUGHNUT 1.76 2.16 6.3
PICTURE 2.16 2.49 7.9
IN 2.97 3.09 5.1
THEIR 3.09 3.22 5.6
TEXTBOOK 3.22 3.70 10.8
