Text:  YOU'VE GOT THOSE FUNDAMENTAL VALUES IN PLACE NOW YOUR TASK AS AN ECONOMIST IS A CRUCIAL ONE 
Conf:  3
Ref:   1BHOflzxPjI

FRAME 	X 	Y 	W 	H 
021791 	0.415 	0.152 	0.083 	0.189 
021792 	0.413 	0.152 	0.085 	0.185 
021793 	0.409 	0.151 	0.087 	0.184 
021794 	0.408 	0.150 	0.086 	0.188 
021795 	0.408 	0.151 	0.085 	0.187 
021796 	0.407 	0.150 	0.085 	0.192 
021797 	0.407 	0.153 	0.085 	0.194 
021798 	0.407 	0.156 	0.085 	0.195 
021799 	0.408 	0.159 	0.084 	0.193 
021800 	0.408 	0.162 	0.085 	0.193 
021801 	0.407 	0.167 	0.087 	0.189 
021802 	0.410 	0.166 	0.084 	0.189 
021803 	0.411 	0.168 	0.085 	0.182 
021804 	0.413 	0.169 	0.084 	0.184 
021805 	0.413 	0.166 	0.084 	0.184 
021806 	0.415 	0.159 	0.084 	0.190 
021807 	0.415 	0.156 	0.085 	0.188 
021808 	0.415 	0.151 	0.086 	0.187 
021809 	0.416 	0.150 	0.086 	0.184 
021810 	0.417 	0.148 	0.086 	0.183 
021811 	0.417 	0.148 	0.086 	0.184 
021812 	0.417 	0.149 	0.086 	0.183 
021813 	0.417 	0.151 	0.086 	0.182 
021814 	0.416 	0.149 	0.086 	0.190 
021815 	0.416 	0.150 	0.085 	0.195 
021816 	0.415 	0.149 	0.086 	0.194 
021817 	0.413 	0.149 	0.087 	0.187 
021818 	0.414 	0.146 	0.085 	0.185 
021819 	0.410 	0.140 	0.086 	0.187 
021820 	0.407 	0.135 	0.087 	0.185 
021821 	0.404 	0.134 	0.087 	0.186 
021822 	0.402 	0.138 	0.088 	0.194 
021823 	0.399 	0.141 	0.087 	0.200 
021824 	0.397 	0.144 	0.086 	0.197 
021825 	0.395 	0.143 	0.086 	0.193 
021826 	0.394 	0.139 	0.084 	0.194 
021827 	0.392 	0.137 	0.083 	0.193 
021828 	0.391 	0.138 	0.083 	0.192 
021829 	0.390 	0.142 	0.085 	0.191 
021830 	0.390 	0.142 	0.084 	0.192 
021831 	0.388 	0.144 	0.085 	0.189 
021832 	0.388 	0.144 	0.085 	0.193 
021833 	0.388 	0.144 	0.086 	0.195 
021834 	0.388 	0.146 	0.087 	0.195 
