Text:  THE MARKETS THE REGULATIONS THE FINANCIAL SYSTEM THE 
Conf:  1
Ref:   1BHOflzxPjI

FRAME 	X 	Y 	W 	H 
022004 	0.398 	0.145 	0.088 	0.188 
022005 	0.400 	0.145 	0.087 	0.188 
022006 	0.402 	0.146 	0.088 	0.185 
022007 	0.404 	0.147 	0.086 	0.185 
022008 	0.405 	0.146 	0.086 	0.181 
022009 	0.406 	0.145 	0.087 	0.181 
022010 	0.407 	0.145 	0.086 	0.183 
022011 	0.408 	0.147 	0.087 	0.183 
022012 	0.409 	0.147 	0.087 	0.194 
022013 	0.410 	0.148 	0.089 	0.190 
022014 	0.411 	0.149 	0.089 	0.189 
022015 	0.412 	0.148 	0.089 	0.190 
022016 	0.413 	0.147 	0.089 	0.189 
022017 	0.414 	0.147 	0.089 	0.188 
022018 	0.414 	0.148 	0.089 	0.188 
022019 	0.414 	0.149 	0.089 	0.188 
022020 	0.415 	0.151 	0.089 	0.185 
022021 	0.416 	0.151 	0.088 	0.186 
022022 	0.415 	0.152 	0.089 	0.186 
022023 	0.416 	0.153 	0.089 	0.187 
022024 	0.418 	0.152 	0.089 	0.185 
022025 	0.421 	0.153 	0.089 	0.183 
022026 	0.424 	0.155 	0.089 	0.183 
022027 	0.427 	0.157 	0.088 	0.182 
022028 	0.429 	0.159 	0.088 	0.181 
022029 	0.432 	0.159 	0.089 	0.182 
022030 	0.433 	0.160 	0.089 	0.185 
022031 	0.437 	0.160 	0.087 	0.187 
022032 	0.437 	0.159 	0.085 	0.188 
022033 	0.435 	0.157 	0.089 	0.179 
022034 	0.431 	0.151 	0.089 	0.183 
022035 	0.427 	0.147 	0.088 	0.191 
022036 	0.423 	0.145 	0.085 	0.194 
022037 	0.419 	0.144 	0.084 	0.192 
022038 	0.414 	0.142 	0.085 	0.194 
022039 	0.412 	0.144 	0.083 	0.189 
022040 	0.408 	0.146 	0.083 	0.187 
022041 	0.406 	0.149 	0.081 	0.187 
022042 	0.403 	0.152 	0.083 	0.190 
022043 	0.401 	0.160 	0.081 	0.186 
022044 	0.397 	0.167 	0.080 	0.181 
022045 	0.395 	0.168 	0.081 	0.185 
022046 	0.393 	0.165 	0.082 	0.189 
022047 	0.393 	0.159 	0.081 	0.192 
022048 	0.393 	0.158 	0.081 	0.194 
022049 	0.393 	0.158 	0.082 	0.193 
022050 	0.393 	0.161 	0.082 	0.191 
022051 	0.394 	0.161 	0.082 	0.190 
022052 	0.396 	0.158 	0.083 	0.189 
022053 	0.396 	0.157 	0.084 	0.190 
022054 	0.396 	0.156 	0.084 	0.188 
022055 	0.397 	0.155 	0.085 	0.189 
022056 	0.397 	0.153 	0.085 	0.189 
022057 	0.398 	0.152 	0.085 	0.190 
022058 	0.398 	0.151 	0.085 	0.192 
022059 	0.399 	0.150 	0.085 	0.193 
022060 	0.399 	0.147 	0.086 	0.195 
022061 	0.401 	0.142 	0.086 	0.199 
022062 	0.403 	0.140 	0.086 	0.194 
022063 	0.404 	0.140 	0.089 	0.187 
022064 	0.406 	0.139 	0.088 	0.188 
022065 	0.408 	0.140 	0.087 	0.189 
022066 	0.410 	0.144 	0.087 	0.189 
022067 	0.410 	0.143 	0.087 	0.191 
022068 	0.410 	0.150 	0.088 	0.185 
022069 	0.411 	0.155 	0.086 	0.188 
022070 	0.412 	0.157 	0.084 	0.192 
022071 	0.413 	0.163 	0.084 	0.193 
022072 	0.413 	0.169 	0.084 	0.190 
022073 	0.413 	0.170 	0.084 	0.190 
022074 	0.412 	0.174 	0.085 	0.186 
022075 	0.411 	0.178 	0.085 	0.184 
022076 	0.411 	0.178 	0.086 	0.186 
022077 	0.410 	0.177 	0.087 	0.185 
022078 	0.408 	0.176 	0.088 	0.185 
022079 	0.409 	0.175 	0.088 	0.182 
022080 	0.408 	0.175 	0.088 	0.180 
022081 	0.409 	0.171 	0.087 	0.185 
022082 	0.408 	0.170 	0.087 	0.185 
022083 	0.408 	0.168 	0.088 	0.185 
022084 	0.408 	0.166 	0.088 	0.185 
022085 	0.410 	0.166 	0.087 	0.187 
022086 	0.411 	0.168 	0.086 	0.187 
022087 	0.413 	0.169 	0.086 	0.189 
022088 	0.415 	0.172 	0.086 	0.182 
022089 	0.419 	0.174 	0.085 	0.183 
022090 	0.421 	0.173 	0.086 	0.184 
022091 	0.423 	0.172 	0.085 	0.186 
022092 	0.425 	0.172 	0.085 	0.186 
022093 	0.427 	0.172 	0.085 	0.188 
022094 	0.429 	0.173 	0.085 	0.186 
022095 	0.430 	0.172 	0.085 	0.188 
022096 	0.431 	0.171 	0.085 	0.187 
022097 	0.432 	0.172 	0.085 	0.189 
022098 	0.432 	0.171 	0.085 	0.190 
022099 	0.432 	0.170 	0.085 	0.189 
022100 	0.433 	0.171 	0.082 	0.185 
022101 	0.429 	0.168 	0.084 	0.184 
022102 	0.426 	0.164 	0.083 	0.187 
022103 	0.420 	0.161 	0.083 	0.187 
022104 	0.418 	0.160 	0.083 	0.189 
022105 	0.414 	0.162 	0.084 	0.191 

WORD START END ASDSCORE
THE 0.07 0.18 3.1
MARKETS 0.18 0.97 9.0
THE 1.09 1.17 7.8
REGULATIONS 1.17 2.15 8.3
THE 2.25 2.33 5.4
FINANCIAL 2.33 2.97 8.4
SYSTEM 2.97 3.51 6.1
THE 3.86 3.97 9.3
