Text:  LITERALLY TALKING ABOUT HOUSEHOLD A SINGLE HOUSEHOLD BUT LATER IN HIS LIFE HE RAISED HIS SIGHT TO THE NEXT 
Conf:  4
Ref:   1BHOflzxPjI

FRAME 	X 	Y 	W 	H 
022783 	0.494 	0.122 	0.087 	0.186 
022784 	0.498 	0.124 	0.085 	0.185 
022785 	0.499 	0.128 	0.086 	0.185 
022786 	0.500 	0.131 	0.086 	0.191 
022787 	0.501 	0.138 	0.084 	0.189 
022788 	0.500 	0.140 	0.083 	0.187 
022789 	0.498 	0.136 	0.084 	0.187 
022790 	0.497 	0.131 	0.084 	0.187 
022791 	0.495 	0.129 	0.085 	0.189 
022792 	0.491 	0.128 	0.086 	0.187 
022793 	0.487 	0.124 	0.087 	0.189 
022794 	0.485 	0.120 	0.085 	0.193 
022795 	0.482 	0.120 	0.083 	0.190 
022796 	0.480 	0.118 	0.080 	0.187 
022797 	0.477 	0.117 	0.080 	0.193 
022798 	0.474 	0.119 	0.081 	0.195 
022799 	0.472 	0.116 	0.082 	0.209 
022800 	0.469 	0.122 	0.081 	0.203 
022801 	0.464 	0.130 	0.083 	0.187 
022802 	0.458 	0.130 	0.088 	0.185 
022803 	0.456 	0.134 	0.087 	0.193 
022804 	0.452 	0.137 	0.087 	0.193 
022805 	0.447 	0.138 	0.086 	0.194 
022806 	0.440 	0.132 	0.085 	0.194 
022807 	0.432 	0.126 	0.090 	0.194 
022808 	0.428 	0.123 	0.089 	0.194 
022809 	0.423 	0.125 	0.087 	0.192 
022810 	0.418 	0.126 	0.085 	0.193 
022811 	0.411 	0.129 	0.086 	0.194 
022812 	0.406 	0.132 	0.088 	0.191 
022813 	0.401 	0.134 	0.090 	0.190 
022814 	0.396 	0.137 	0.088 	0.192 
022815 	0.390 	0.143 	0.087 	0.188 
022816 	0.384 	0.146 	0.087 	0.193 
022817 	0.381 	0.146 	0.088 	0.192 
022818 	0.375 	0.144 	0.090 	0.200 
022819 	0.372 	0.142 	0.088 	0.204 
022820 	0.369 	0.147 	0.088 	0.189 
022821 	0.367 	0.151 	0.086 	0.183 
022822 	0.363 	0.154 	0.086 	0.185 
022823 	0.361 	0.158 	0.086 	0.188 
022824 	0.359 	0.164 	0.084 	0.190 
022825 	0.355 	0.172 	0.087 	0.185 
022826 	0.353 	0.172 	0.087 	0.185 
022827 	0.352 	0.172 	0.086 	0.183 
022828 	0.350 	0.170 	0.085 	0.185 
022829 	0.349 	0.169 	0.085 	0.186 
022830 	0.348 	0.170 	0.085 	0.186 
022831 	0.348 	0.168 	0.086 	0.188 
022832 	0.349 	0.170 	0.086 	0.186 
022833 	0.349 	0.169 	0.086 	0.185 
022834 	0.351 	0.169 	0.087 	0.184 
022835 	0.352 	0.172 	0.088 	0.183 
022836 	0.354 	0.176 	0.088 	0.184 
022837 	0.359 	0.180 	0.084 	0.185 
022838 	0.362 	0.181 	0.083 	0.187 
022839 	0.365 	0.180 	0.083 	0.187 
022840 	0.367 	0.179 	0.084 	0.183 
022841 	0.371 	0.177 	0.087 	0.183 
022842 	0.375 	0.175 	0.088 	0.185 
022843 	0.380 	0.176 	0.088 	0.184 
022844 	0.387 	0.172 	0.085 	0.191 
022845 	0.392 	0.167 	0.083 	0.192 
022846 	0.397 	0.160 	0.083 	0.187 
022847 	0.403 	0.158 	0.084 	0.184 
022848 	0.406 	0.158 	0.085 	0.182 
022849 	0.411 	0.154 	0.085 	0.188 
022850 	0.416 	0.152 	0.085 	0.187 
022851 	0.423 	0.154 	0.083 	0.180 
022852 	0.429 	0.150 	0.084 	0.182 
022853 	0.433 	0.154 	0.087 	0.178 
022854 	0.440 	0.154 	0.086 	0.183 
022855 	0.446 	0.156 	0.084 	0.179 
022856 	0.453 	0.155 	0.083 	0.183 
022857 	0.458 	0.160 	0.084 	0.181 
022858 	0.462 	0.163 	0.085 	0.184 
022859 	0.468 	0.170 	0.082 	0.183 
022860 	0.472 	0.173 	0.082 	0.182 
022861 	0.476 	0.170 	0.081 	0.185 
022862 	0.478 	0.169 	0.081 	0.185 
022863 	0.481 	0.169 	0.082 	0.184 
022864 	0.484 	0.169 	0.081 	0.184 
022865 	0.484 	0.169 	0.083 	0.184 
022866 	0.486 	0.167 	0.083 	0.185 
022867 	0.486 	0.167 	0.085 	0.184 
022868 	0.487 	0.163 	0.083 	0.189 
022869 	0.488 	0.161 	0.084 	0.187 
022870 	0.487 	0.158 	0.085 	0.184 
022871 	0.485 	0.154 	0.086 	0.181 
022872 	0.483 	0.149 	0.088 	0.182 
022873 	0.480 	0.143 	0.089 	0.184 
022874 	0.478 	0.140 	0.087 	0.187 
022875 	0.476 	0.139 	0.085 	0.190 
022876 	0.473 	0.137 	0.083 	0.196 
022877 	0.470 	0.135 	0.083 	0.196 
022878 	0.467 	0.136 	0.085 	0.190 
022879 	0.464 	0.134 	0.086 	0.187 
022880 	0.462 	0.129 	0.088 	0.188 
022881 	0.460 	0.128 	0.090 	0.188 
022882 	0.458 	0.128 	0.089 	0.188 
022883 	0.456 	0.125 	0.089 	0.190 
022884 	0.454 	0.125 	0.089 	0.188 
022885 	0.453 	0.125 	0.087 	0.189 
022886 	0.450 	0.127 	0.087 	0.192 
022887 	0.450 	0.131 	0.084 	0.191 
022888 	0.449 	0.134 	0.083 	0.193 
022889 	0.446 	0.135 	0.084 	0.199 
022890 	0.444 	0.134 	0.084 	0.201 
022891 	0.444 	0.136 	0.083 	0.200 
022892 	0.444 	0.138 	0.083 	0.201 
022893 	0.446 	0.143 	0.083 	0.195 
022894 	0.447 	0.146 	0.084 	0.190 
022895 	0.448 	0.145 	0.087 	0.189 
022896 	0.449 	0.146 	0.087 	0.187 
022897 	0.449 	0.148 	0.089 	0.186 
022898 	0.451 	0.148 	0.087 	0.189 
022899 	0.452 	0.150 	0.087 	0.189 
022900 	0.452 	0.150 	0.088 	0.191 
022901 	0.453 	0.151 	0.087 	0.190 
022902 	0.454 	0.150 	0.087 	0.192 
022903 	0.454 	0.151 	0.088 	0.190 
022904 	0.455 	0.151 	0.087 	0.190 
022905 	0.455 	0.151 	0.088 	0.190 
022906 	0.455 	0.151 	0.089 	0.190 
022907 	0.455 	0.150 	0.089 	0.190 
022908 	0.455 	0.151 	0.089 	0.187 
022909 	0.455 	0.151 	0.088 	0.188 
022910 	0.455 	0.150 	0.089 	0.189 
022911 	0.456 	0.150 	0.087 	0.192 
022912 	0.455 	0.149 	0.086 	0.193 
022913 	0.453 	0.145 	0.089 	0.192 
022914 	0.452 	0.137 	0.088 	0.194 
022915 	0.452 	0.135 	0.088 	0.190 
022916 	0.452 	0.132 	0.087 	0.193 
022917 	0.453 	0.133 	0.087 	0.198 
022918 	0.454 	0.135 	0.087 	0.196 
022919 	0.454 	0.136 	0.087 	0.192 
022920 	0.456 	0.136 	0.089 	0.197 
022921 	0.456 	0.140 	0.089 	0.193 
022922 	0.455 	0.147 	0.090 	0.186 
022923 	0.455 	0.152 	0.091 	0.186 
022924 	0.456 	0.156 	0.089 	0.186 
022925 	0.458 	0.158 	0.085 	0.185 
022926 	0.458 	0.159 	0.084 	0.185 
022927 	0.459 	0.159 	0.084 	0.186 
022928 	0.459 	0.158 	0.084 	0.188 
022929 	0.459 	0.159 	0.085 	0.185 
022930 	0.460 	0.159 	0.085 	0.185 
022931 	0.460 	0.161 	0.087 	0.182 
022932 	0.461 	0.159 	0.087 	0.185 
022933 	0.462 	0.156 	0.087 	0.186 
022934 	0.464 	0.158 	0.083 	0.183 
022935 	0.465 	0.156 	0.083 	0.182 
022936 	0.465 	0.152 	0.085 	0.187 
022937 	0.465 	0.153 	0.084 	0.182 
022938 	0.465 	0.149 	0.086 	0.182 
022939 	0.466 	0.139 	0.085 	0.192 
022940 	0.466 	0.135 	0.085 	0.192 
022941 	0.467 	0.132 	0.086 	0.195 
022942 	0.467 	0.131 	0.086 	0.194 
022943 	0.468 	0.131 	0.085 	0.199 
022944 	0.468 	0.129 	0.084 	0.203 
022945 	0.468 	0.130 	0.084 	0.197 
022946 	0.468 	0.130 	0.085 	0.197 
022947 	0.468 	0.133 	0.086 	0.197 
022948 	0.468 	0.141 	0.086 	0.189 
022949 	0.467 	0.146 	0.086 	0.189 
022950 	0.467 	0.148 	0.085 	0.192 
022951 	0.466 	0.151 	0.084 	0.191 

WORD START END ASDSCORE
LITERALLY 0.08 0.41 5.2
TALKING 0.41 0.71 7.2
ABOUT 0.71 1.31 8.9
HOUSEHOLD 1.34 1.89 9.1
A 1.89 1.93 10.7
SINGLE 1.97 2.38 9.8
HOUSEHOLD 2.38 2.83 10.2
BUT 3.51 3.66 9.5
LATER 3.66 3.94 9.3
IN 3.94 4.01 7.3
HIS 4.01 4.20 4.3
LIFE 4.20 4.64 8.7
HE 5.11 5.29 4.8
RAISED 5.29 5.64 8.5
HIS 5.64 5.76 5.5
SIGHT 5.76 6.18 7.7
TO 6.18 6.28 8.9
THE 6.28 6.37 8.2
NEXT 6.37 6.63 9.3
