Text:  HIS HOME TOWN TWO THOUSAND YEARS LATER IN SCOTLAND 
Conf:  5
Ref:   1BHOflzxPjI

FRAME 	X 	Y 	W 	H 
023085 	0.456 	0.152 	0.086 	0.186 
023086 	0.455 	0.151 	0.086 	0.188 
023087 	0.454 	0.148 	0.087 	0.189 
023088 	0.455 	0.148 	0.086 	0.187 
023089 	0.454 	0.146 	0.086 	0.188 
023090 	0.454 	0.144 	0.084 	0.188 
023091 	0.454 	0.142 	0.082 	0.190 
023092 	0.453 	0.141 	0.083 	0.194 
023093 	0.452 	0.142 	0.084 	0.192 
023094 	0.452 	0.146 	0.083 	0.185 
023095 	0.450 	0.146 	0.085 	0.186 
023096 	0.449 	0.149 	0.086 	0.188 
023097 	0.449 	0.149 	0.085 	0.191 
023098 	0.449 	0.149 	0.084 	0.192 
023099 	0.449 	0.148 	0.084 	0.192 
023100 	0.449 	0.149 	0.084 	0.188 
023101 	0.448 	0.148 	0.084 	0.187 
023102 	0.449 	0.150 	0.084 	0.183 
023103 	0.448 	0.150 	0.085 	0.183 
023104 	0.448 	0.150 	0.085 	0.183 
023105 	0.448 	0.149 	0.085 	0.184 
023106 	0.447 	0.149 	0.086 	0.184 
023107 	0.446 	0.148 	0.086 	0.186 
023108 	0.446 	0.148 	0.087 	0.185 
023109 	0.446 	0.148 	0.087 	0.183 
023110 	0.446 	0.149 	0.088 	0.182 
023111 	0.446 	0.148 	0.088 	0.182 
023112 	0.447 	0.147 	0.087 	0.185 
023113 	0.447 	0.146 	0.087 	0.186 
023114 	0.448 	0.147 	0.087 	0.186 
023115 	0.449 	0.146 	0.086 	0.187 
023116 	0.449 	0.145 	0.086 	0.189 
023117 	0.450 	0.145 	0.086 	0.189 
023118 	0.451 	0.145 	0.086 	0.190 
023119 	0.452 	0.143 	0.085 	0.191 
023120 	0.452 	0.145 	0.086 	0.189 
023121 	0.453 	0.145 	0.086 	0.188 
023122 	0.453 	0.145 	0.087 	0.187 
023123 	0.454 	0.146 	0.086 	0.187 
023124 	0.454 	0.145 	0.086 	0.187 
023125 	0.454 	0.145 	0.087 	0.188 
023126 	0.454 	0.146 	0.087 	0.188 
023127 	0.454 	0.145 	0.087 	0.188 
023128 	0.454 	0.145 	0.088 	0.189 
023129 	0.454 	0.146 	0.088 	0.187 
023130 	0.455 	0.148 	0.087 	0.187 
023131 	0.456 	0.148 	0.087 	0.188 
023132 	0.456 	0.149 	0.086 	0.189 
023133 	0.456 	0.148 	0.086 	0.189 
023134 	0.455 	0.146 	0.085 	0.188 
023135 	0.453 	0.142 	0.084 	0.190 
023136 	0.450 	0.138 	0.085 	0.187 
023137 	0.448 	0.134 	0.085 	0.187 
023138 	0.447 	0.129 	0.083 	0.186 
023139 	0.447 	0.122 	0.082 	0.191 
023140 	0.447 	0.121 	0.082 	0.188 
023141 	0.446 	0.122 	0.083 	0.186 
023142 	0.447 	0.120 	0.082 	0.188 
023143 	0.448 	0.120 	0.083 	0.188 
023144 	0.450 	0.123 	0.082 	0.189 
023145 	0.451 	0.122 	0.081 	0.197 
023146 	0.452 	0.125 	0.082 	0.197 
023147 	0.452 	0.123 	0.082 	0.201 
023148 	0.453 	0.123 	0.083 	0.197 
023149 	0.453 	0.122 	0.083 	0.198 
023150 	0.454 	0.123 	0.082 	0.194 
023151 	0.454 	0.124 	0.082 	0.189 
023152 	0.455 	0.123 	0.082 	0.188 
023153 	0.457 	0.123 	0.082 	0.187 
023154 	0.457 	0.123 	0.083 	0.187 
023155 	0.458 	0.123 	0.082 	0.188 
023156 	0.457 	0.120 	0.084 	0.193 
023157 	0.457 	0.120 	0.084 	0.192 
023158 	0.458 	0.122 	0.085 	0.192 
023159 	0.458 	0.124 	0.085 	0.191 
023160 	0.458 	0.125 	0.087 	0.191 
023161 	0.458 	0.126 	0.087 	0.189 
023162 	0.458 	0.126 	0.087 	0.189 
023163 	0.459 	0.125 	0.087 	0.189 
023164 	0.459 	0.124 	0.087 	0.189 
023165 	0.459 	0.124 	0.088 	0.191 
023166 	0.460 	0.126 	0.088 	0.189 
023167 	0.462 	0.129 	0.088 	0.188 
023168 	0.464 	0.132 	0.087 	0.190 
023169 	0.466 	0.135 	0.085 	0.192 
023170 	0.468 	0.139 	0.085 	0.187 
023171 	0.469 	0.139 	0.087 	0.186 
023172 	0.470 	0.141 	0.087 	0.188 
