Text:  TODAY'S ECONOMY IS 300 TIMES BIGGER THAN THE ONE THAT ADAM SMITH KNEW AND IT'S BANGING INTO THE BIOSPHERE WITH IMPACTS RICOCHETING BACK ON US IF XENOPHON AND 
Conf:  1
Ref:   1BHOflzxPjI

FRAME 	X 	Y 	W 	H 
023555 	0.522 	0.254 	0.137 	0.289 
023556 	0.522 	0.258 	0.138 	0.282 
023557 	0.523 	0.257 	0.139 	0.278 
023558 	0.524 	0.254 	0.138 	0.281 
023559 	0.526 	0.253 	0.136 	0.282 
023560 	0.526 	0.253 	0.136 	0.280 
023561 	0.525 	0.253 	0.137 	0.281 
023562 	0.524 	0.253 	0.137 	0.284 
023563 	0.523 	0.250 	0.137 	0.288 
023564 	0.524 	0.242 	0.133 	0.295 
023565 	0.522 	0.229 	0.135 	0.299 
023566 	0.521 	0.229 	0.138 	0.287 
023567 	0.520 	0.224 	0.137 	0.284 
023568 	0.519 	0.221 	0.137 	0.285 
023569 	0.521 	0.225 	0.135 	0.283 
023570 	0.518 	0.224 	0.131 	0.288 
023571 	0.515 	0.229 	0.129 	0.290 
023572 	0.514 	0.228 	0.126 	0.300 
023573 	0.512 	0.234 	0.124 	0.299 
023574 	0.510 	0.234 	0.124 	0.297 
023575 	0.508 	0.233 	0.125 	0.291 
023576 	0.507 	0.228 	0.127 	0.297 
023577 	0.505 	0.225 	0.129 	0.295 
023578 	0.505 	0.224 	0.128 	0.294 
023579 	0.503 	0.221 	0.130 	0.299 
023580 	0.502 	0.220 	0.129 	0.301 
023581 	0.502 	0.220 	0.128 	0.306 
023582 	0.500 	0.222 	0.130 	0.302 
023583 	0.498 	0.221 	0.130 	0.303 
023584 	0.497 	0.221 	0.129 	0.300 
023585 	0.496 	0.214 	0.128 	0.292 
023586 	0.494 	0.205 	0.130 	0.295 
023587 	0.494 	0.197 	0.130 	0.300 
023588 	0.494 	0.195 	0.128 	0.298 
023589 	0.494 	0.192 	0.127 	0.299 
023590 	0.492 	0.195 	0.128 	0.307 
023591 	0.490 	0.202 	0.129 	0.297 
023592 	0.489 	0.208 	0.126 	0.301 
023593 	0.488 	0.211 	0.126 	0.300 
023594 	0.487 	0.212 	0.127 	0.308 
